repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
BartVandewoestyne/Effective-Modern-Cpp,6,-1,6.9,31,2079,0,3351,
ArthurSonzogni/Diagon,6,21,0,5.3,50,971,421,5832 0
Almamu/linux-wallpaperengine,6,7,0,6.3,8,183,7952,21275 0
AlbrechtL/welle.io,6,10,0,6.8,21,364,18919,102388 0
AngoraFuzzer/Angora,5,135,0,6.5,30,499,4884,26409 0
AcademySoftwareFoundation/OpenColorIO,5,485,0,8.4,364,2828,23532,184083 0
EUA/wxHexEditor,4,193,155,6.2,6,240,5294,33270 155
Drive-Trust-Alliance/sedutil,4,329,61,6,63,211,2967,9107 61
AlexFanw/HUSTER-CS,4,-1,0,5.2,3,34,44432,195361 0
Dwarf-Therapist/Dwarf-Therapist,3,0,0,5.6,101,994,6351,37098 0
DanielChappuis/reactphysics3d,3,0,0,4.9,22,320,22571,39467 0
Cocos-BCX/cocos-mainnet,3,126,47,6.1,34,85,41364,190147 47
Cisco-Talos/clamav,3,5623,75,7.5,32,145,37885,209440 75
ChunelFeng/CGraph,3,-1,0,6.4,1,137,3510,7030 0
ArkScript-lang/Ark,3,0,0,5.8,14,202,2997,8465 0
AndroidAdvanceWithGeektime/Chapter01,3,-1,0,5.5,8,144,34983,99851 0
CaoWGG/TensorRT-CenterNet,2,0,0,5.4,14,149,9651,50851 0
Ableton/link,2,-1,0,6.4,2,33,4311,24736 0
86Box/86Box,2,-1,11,6,4,10,50827,474120 11
0x90/wifi-arsenal,2,7,7,4.8,5,79,10649,24217 7
DaanDeMeyer/reproc,1,0,0,6.2,9,53,782,3963 0
ColdGrub1384/Pyto,1,256,26,5,4,53,548405,915407 26
CobaltFusion/DebugViewPP,1,0,0,3.7,4,299,9130,54654 0
CLIUtils/CLI11,1,0,0,6.5,0,56,2438,21365 0
CE-Programming/CEmu,1,-1,0,5.2,2,17,1015,25010 0
AshampooSystems/boden,1,-1,0,4.9,9,250,1688,21917 0
AsPJT/DungeonTemplateLibrary,1,0,0,6.3,0,10,5731,17901 0
AirGuanZ/Atrc,1,-1,0,5.7,0,19,13364,87207 0
AcademySoftwareFoundation/xstudio,1,0,0,5.3,9,53,11900,119737 0
3cky/mbusd,1,29,0,5.1,3,44,1072,2642 0
EasyRPG/Player,0,-1,0,7.3,0,14,24091,137318 0
DrTimothyAldenDavis/SuiteSparse,0,34,0,6.3,56,459,341295,1269166 0
Dobiasd/FunctionalPlus,0,0,0,6,0,8,7354,27889 0
DinoZ1729/Ray,0,-1,0,6.8,0,4,30,419 0
DeepRec-AI/DeepRec,0,-1,0,6.9,2,56,293812,1528945 0
Dav1dde/glad,0,-1,0,6.1,2,25,1347,6853 0
DPDK/dpdk,0,-1,334,5.9,2949,35223,404974,1859410 334
DISTORTEC/distortos,0,-1,0,4.8,9,190,154491,1338561 0
DBraun/DawDreamer,0,-1,0,5.4,6,185,125452,456323 0
CppCon/CppCon2018,0,-1,0,6,0,20,238,1520 0
CppCon/CppCon2016,0,-1,0,6,0,8,187,2509 0
CppCon/CppCon2015,0,-1,0,6,0,8,1409,4677 0
Corvusoft/restbed,0,-1,0,7,130,386,1939,16400 0
CopernicaMarketingSoftware/AMQP-CPP,0,0,0,7.8,0,82,15763,10086 0
ComputationalRadiationPhysics/picongpu,0,-1,0,8.1,0,16,61975,147611 0
ChaiScript/ChaiScript,0,0,0,6.7,1,26,6099,27654 0
CVCUDA/CV-CUDA,0,-1,0,7.2,1,11,24564,70346 0
CNugteren/CLBlast,0,-1,0,6.5,11,449,10101,58082 0
CCob/lsarelayx,0,-1,0,5.2,4,30,2240,17323 0
BambooTracker/BambooTracker,0,-1,0,5.4,1,11,14406,67465 0
AxioDL/metaforce,0,3,0,4.4,1,1,8825,203110 0
AustinBrunkhorst/CPP-Reflection,0,-1,0,6.4,3,100,1861,10421 0
AsyncAlgoTrading/aat,0,-1,14,6,2,34,7546,52373 14
Artelnics/opennn,0,0,0,7.5,108,2252,69717,411751 0
AmokHuginnsson/replxx,0,0,0,5.1,10,214,1473,7633 0
Amanieu/asyncplusplus,0,0,10,6.7,1,11,1087,2997 10
Alia5/GlosSI,0,-1,0,6.2,0,14,639,23131 0
AlexeyAB/object_threadsafe,0,-1,5.3,46,58050,6,131018,
AOMediaCodec/libavif,0,0,0,8.1,62,262,3203,21734 0
256dpi/arduino-mqtt,0,-1,0,5.2,0,16,871,1792 0
2013fangwentao/Multi_Sensor_Fusion,0,-1,0,6.2,2,23,1523,5429 0
EdgeTX/edgetx,-1,-1,0,6.1,-1,-1,351547,1231468 0
EdVince/Stable-Diffusion-NCNN,-1,-1,5.6,-1,47327,-1,129122,
EQMG/Acid,-1,-1,4.3,-1,26486,-1,113432,
EKA2L1/EKA2L1,-1,-1,4.1,-1,137674,-1,360894,
EIPStackGroup/OpENer,-1,-1,6.7,-1,5583,-1,16820,
DuffsDevice/tiny-utf8,-1,-1,6.4,-1,1280,-1,3739,
Duet3D/RepRapFirmware,-1,-1,4.7,-1,55677,-1,209512,
DualSPHysics/DualSPHysics,-1,0,5.2,-1,31092,-1,75330,
DragonFlyBSD/DragonFlyBSD,-1,0,7.6,-1,2435324,-1,9705299,
Dovyski/cvui,-1,-1,6.3,-1,1586,-1,2532,
DoubangoTelecom/ultimateALPR-SDK,-1,-1,5.9,-1,2090,-1,11627,
Dor1s/libfuzzer-workshop,-1,-1,6.3,-1,1274,-1,8774,
Dooskington/GameLad,-1,-1,6.4,-1,2734,-1,9772,
Dobiasd/frugally-deep,-1,-1,6.2,-1,709,-1,7659,
DmitryUlyanov/Multicore-TSNE,-1,0,6.5,-1,180,-1,855,
DigitalInBlue/Celero,-1,-1,5.6,-1,2720,-1,7645,
Dice-Developer-Team/Dice,-1,-1,0,5.6,-1,-1,14390,135828 0
DerrickWood/kraken2,-1,-1,7.8,-1,611,-1,4557,
Denvi/Candle,-1,-1,5.5,-1,695,-1,8503,
DeepGraphLearning/graphvite,-1,-1,6.4,-1,708,-1,3669,
DeNA/HandlerSocket-Plugin-for-MySQL,-1,0,6.3,-1,3308,-1,9195,
David-Haim/concurrencpp,-1,-1,5.5,-1,510,-1,16532,
DaedalusX64/daedalus,-1,0,4.6,-1,33802,-1,123421,
DadSchoorse/vkBasalt,-1,0,6.2,-1,3932,-1,31593,
DTolm/VkFFT,-1,-1,6.7,-1,8177,-1,65943,
DLR-RM/3DObjectTracking,-1,-1,7.6,-1,6530,-1,53250,
DISTRHO/Cardinal,-1,-1,4.1,-1,21148,-1,99532,
DDoSolitary/LxRunOffline,-1,-1,4.4,-1,12,-1,3377,
CytopiaTeam/Cytopia,-1,-1,6,-1,19579,-1,80306,
Cxbx-Reloaded/Cxbx-Reloaded,-1,0,0,5.7,-1,-1,36414,127618 0
CrowCpp/Crow,-1,-1,0,7.6,-1,-1,2564,28375 0
CristianHenzel/ClipIt,-1,0,6.3,-1,873,-1,3563,
CppCon/CppCon2020,-1,-1,0,5.8,-1,-1,1861,23542 0
CopernicaMarketingSoftware/PHP-CPP,-1,0,6.5,-1,11290,-1,7038,
Cogmasters/concord,-1,0,6.5,-1,8427,-1,26554,
ClusterLabs/pacemaker,-1,0,8.4,-1,33746,-1,129999,
Chlumsky/msdfgen,-1,-1,6.6,-1,373,-1,6815,
Chlumsky/msdf-atlas-gen,-1,-1,6,-1,192,-1,3721,
Chion82/kcptun-raw,-1,0,6.2,-1,225,-1,2561,
ChenYingpeng/caffe-yolov3,-1,-1,6,-1,130,-1,985,
ChenLittlePing/LearningVideo,-1,-1,5,-1,20970,-1,10430,
ChaoqinRobotics/LINS---LiDAR-inertial-SLAM,-1,-1,6,-1,602,-1,4803,
CelestiaProject/Celestia,-1,-1,6.6,-1,15585,-1,138869,
CedricGuillemet/ImGuizmo,-1,-1,8.1,-1,12247,-1,54190,
CastXML/CastXML,-1,0,0,7.3,-1,-1,543,5142 0
CasparCG/server,-1,-1,4.6,-1,15095,-1,91018,
CarVac/filmulator-gui,-1,-1,5.3,-1,7649,-1,24398,
Canjie-Luo/Text-Image-Augmentation,-1,0,6.4,-1,147,-1,1012,
COVESA/vsomeip,-1,-1,6.3,-1,10686,-1,80137,
COMBINE-lab/salmon,-1,-1,6.1,-1,56379,-1,227113,
CMU-Perceptual-Computing-Lab/MonocularTotalCapture,-1,-1,5.4,-1,2770,-1,18099,
CGAL/cgal,-1,-1,0,5.9,-1,-1,356579,1226001 0
CCob/BOF.NET,-1,0,4.3,-1,8009,-1,74341,
CCNYRoboticsLab/imu_tools,-1,-1,4.8,-1,937,-1,2808,
CCExtractor/ccextractor,-1,0,5.2,-1,101103,-1,396360,
Bumblebee-Project/Bumblebee,-1,0,6.3,-1,1237,-1,2763,
BrutPitt/glChAoS.P,-1,-1,4.8,-1,48029,-1,175721,
BrunoLevy/learn-fpga,-1,-1,0,6.2,-1,-1,24563,100718 0
BruceWind/AESJniEncrypt,-1,0,6.2,-1,138,-1,551,
BrightXiaoHan/CMakeTutorial,-1,0,0,6.4,-1,-1,6,481 0
BrianSidebotham/arm-tutorial-rpi,-1,-1,4.7,-1,1788,-1,8233,
BradyBrenot/huestacean,-1,-1,4.5,-1,3557,-1,18424,
BowenFu/matchit.cpp,-1,-1,0,4.4,-1,-1,261,6710 0
Bodmer/TFT_eSPI,-1,0,7.4,-1,9837,-1,282686,
BlindMindStudios/StarRuler2-Source,-1,-1,5.8,-1,78403,-1,325105,
BlazingDB/blazingsql,-1,-1,4.3,-1,6838,-1,40334,
BitMEX/api-connectors,-1,-1,5.3,-1,9023,-1,58965,
Bforartists/Bforartists,-1,-1,0,6.8,-1,-1,450461,2500973 0
BertaBescos/DynaSLAM,-1,-1,6.4,-1,7372,-1,25321,
Benjamin-Dobell/Heimdall,-1,-1,0,5,-1,-1,1419,7088 0
BehaviorTree/BehaviorTree.CPP,-1,-1,6.3,-1,11635,-1,72692,
Beep6581/RawTherapee,-1,-1,4.2,-1,33757,-1,288286,
BastilleResearch/gr-lora,-1,-1,6.2,-1,531,-1,1442,
BabylonJS/BabylonNative,-1,-1,6.7,-1,103884,-1,457057,
BYVoid/uchardet,-1,0,6.3,-1,2981,-1,5201,
BUPTLdy/Caffe_Code_Analysis,-1,0,6,-1,12684,-1,56965,
Axosoft/nsfw,-1,0,5,-1,53,-1,2357,
Avnu/OpenAvnu,-1,0,6.9,-1,20595,-1,68864,
AutoRally/autorally,-1,-1,5.4,-1,4256,-1,9249,
Ascotbe/Kernelhub,-1,0,6,-1,28306,-1,96345,
Artikash/Textractor,-1,-1,6.7,-1,14711,-1,17116,
AravisProject/aravis,-1,0,5.8,-1,10026,-1,37619,
ApsaraDB/PolarDB-for-PostgreSQL,-1,-1,8807,6.4,-1,-1,511380,1215479 8807
Apress/ray-tracing-gems,-1,-1,5.6,-1,16430,-1,113926,
AppImageCommunity/AppImageUpdate,-1,-1,5.1,-1,297,-1,2170,
ApolloAuto/apollo-platform,-1,-1,5.2,-1,60467,-1,129305,
Aorimn/dislocker,-1,0,7.8,-1,3766,-1,8707,
Angelo1211/SoftwareRenderer,-1,-1,6.4,-1,2064,-1,7830,
Angelo1211/HybridRenderingEngine,-1,-1,4.6,-1,46003,-1,125793,
AngelMonica126/GraphicAlgorithm,-1,-1,5.8,-1,12749,-1,60482,
Andersbakken/rtags,-1,0,5.9,-1,2259,-1,24137,
Ancurio/mkxp,-1,0,6.5,-1,4421,-1,28152,
AlphaQi/MTCNN-light,-1,-1,6.4,-1,78,-1,1278,
AloneMonkey/iOSREBook,-1,0,5.2,-1,22207,-1,58053,
AliveToolkit/alive2,-1,-1,0,6.7,-1,-1,1242,25349 0
AlexeyAB/Yolo_mark,-1,-1,6.5,-1,57,-1,792,
Alexays/Waybar,-1,-1,6.8,-1,887,-1,16884,
AlexAltea/orbital,-1,-1,6.4,-1,2719,-1,97428,
Aleph-One-Marathon/alephone,-1,217,-1,5.8,-1,-1,27029,202666 -1
Al1ex/WindowsElevation,-1,0,5.2,-1,9608,-1,59634,
Aegisub/Aegisub,-1,0,5.5,-1,36554,-1,263244,
Adlik/Adlik,-1,-1,5.7,-1,1397,-1,18594,
AcademySoftwareFoundation/OpenShadingLanguage,-1,-1,9.2,-1,18173,-1,99865,
AaronMR/Learning_ROS_for_Robotics_Programming_2nd_edition,-1,-1,5.8,-1,168,-1,2890,
ASDAlexander77/TypeScript2Cxx,-1,-1,0,6.5,-1,-1,404,17229 0
ARM-software/armnn,-1,0,0,6.2,-1,-1,31733,322731 0
ARM-software/ComputeLibrary,-1,-1,0,6.4,-1,-1,149051,727750 0
ARM-software/CMSIS-FreeRTOS,-1,0,4.4,-1,59168,-1,89048,
APRIL-ZJU/lidar_IMU_calib,-1,-1,6.4,-1,520,-1,2307,
ANYbotics/kindr,-1,-1,6.4,-1,5244,-1,11648,
ANYbotics/grid_map,-1,-1,6.9,-1,6561,-1,17772,
ANYbotics/elevation_mapping,-1,-1,6.5,-1,1391,-1,3036,
ANTsX/ANTs,-1,-1,0,6,-1,-1,21413,130192 0
AIRLegend/aitrack,-1,-1,5.9,-1,620,-1,4647,
9miao/CrossApp,-1,-1,5.2,-1,140248,-1,378603,
8bitbubsy/ft2-clone,-1,-1,6.4,-1,47827,-1,103508,
4paradigm/OpenMLDB,-1,-1,0,5.4,-1,-1,17830,198747 0
4lex4/scantailor-advanced,-1,-1,5.7,-1,9636,-1,66683,
386bsd/386bsd,-1,0,6,-1,275429,-1,913341,
188080501/JQTools,-1,0,5.3,-1,15983,-1,57591,
15172658790/Blog,-1,0,4.8,-1,10388,-1,48708,
0vercl0k/wtf,-1,0,0,4.4,-1,-1,55910,185754 0
0ldsk00l/nestopia,-1,0,6.2,-1,28378,-1,141472,
