repo, bugs, ossf score, complex functions, total functions
csound/csound,254,3.6,511,4210
seemoo-lab/nexmon,252,5.5,3269,29889
SerenityOS/jakt,251,7,419,2192
raysan5/raylib,250,6,157,1542
simbody/simbody,246,5.1,402,4220
muhanzhang/SEAL,242,3.7,308,897
groonga/groonga,242,5.6,1470,4255
coronalabs/corona,241,5,762,9009
skylicht-lab/skylicht-engine,240,5.1,665,6362
bminor/binutils-gdb,237,7.3,367,3620
trailofbits/cb-multios,235,5.6,2172,35525
xapian/xapian,232,5.8,1931,10254
libretro/RetroArch,231,6.7,1314,10691
libigl/libigl,227,6.4,495,4569
steveicarus/iverilog,222,7,401,5075
TheAssemblyArmada/Thyme,222,6.9,499,3952
surge-synthesizer/surge,218,6.3,481,5220
hrydgard/ppsspp,218,5.4,1694,13683
coturn/coturn,217,7.1,217,1041
vhelin/wla-dx,216,7,161,444
godotengine/godot,216,7.2,2892,29808
openvenues/libpostal,213,6,185,1184
bluekitchen/btstack,212,6.8,610,13788
ring-lang/ring,211,5.7,1050,6476
cfengine/core,211,7.2,243,2859
thalium/icebox,208,3.4,1600,16470
OpenVisualCloud/SVT-HEVC,208,5.3,336,1211
openMVG/openMVG,207,6,751,4111
php/php-src,203,7.5,2340,7708
Hamlib/Hamlib,202,7.1,808,3762
adobe-type-tools/afdko,201,6,442,3781
agraef/purr-data,200,5.1,240,3217
containers/crun,198,7.6,267,1116
stclib/STC,197,6.3,3,152
lammps/lammps,197,7.9,684,3540
ipc-sim/IPC,196,5.1,397,3352
Themaister/Granite,196,6.5,1752,15213
BespokeSynth/BespokeSynth,196,7.1,190,3100
Sneeds-Feed-and-Seed/sneedacity,193,4.9,623,4724
ETLCPP/etl,193,6.3,6154,23584
beefytech/Beef,191,5.5,279,1966
cyrusimap/cyrus-imapd,188,7.3,535,3504
git/git,187,5.4,1271,15990
PX4/PX4-Autopilot,184,4.6,2,381
vermaseren/form,183,5.7,601,1512
lagadic/visp,183,6.3,521,5668
ablab/spades,181,4.2,557,3285
bjornbytes/lovr,178,5.9,538,5674
keith2018/SoftGLRender,175,4.8,777,6405
samtools/htslib,172,7.8,329,1591
pmq20/ruby-packer,172,4,276,1759
Ettercap/ettercap,172,7.4,195,1157
LabSound/LabSound,171,6.4,72,733
adventuregamestudio/ags,170,5.9,539,7456
mit-biomimetics/Cheetah-Software,169,6,2,380
etlegacy/etlegacy,168,6,924,7477
navit-gps/navit,167,7.5,275,2219
aseprite/aseprite,167,5.3,1122,11029
SatDump/SatDump,167,5.7,802,6410
SchedMD/slurm,166,7.6,1827,8878
wiredtiger/wiredtiger,165,7.2,1389,3688
kbengine/kbengine,165,5,1866,10232
NVIDIAGameWorks/Path-Tracing-SDK,165,4.9,648,6934
OpenVSP/OpenVSP,164,6.3,944,5095
ossrs/srs,162,6.5,245,5757
WolfireGames/overgrowth,161,5.2,779,4065
google/tensorstore,160,8.4,2529,27884
bytecodealliance/wasm-micro-runtime,158,6.2,564,6392
BoomingTech/Piccolo,158,4.2,547,8248
sheredom/utf8.h,157,5.6,44,314
adaptech-cz/Tesseract4Android,156,6.5,1305,6055
tcltk/tcl,155,6.1,794,2852
yasm/yasm,154,4.7,133,1117
WerWolv/ImHex,154,5.4,1160,10714
qicosmos/iguana,153,6.3,13,305
kangjianwei/Data-Structure,150,5.9,76,2347
catsout/wallpaper-engine-kde-plugin,150,6.3,518,3484
nmwsharp/polyscope,149,6.2,437,5362
bigartm/bigartm,149,5.4,574,9836
eclipse-iceoryx/iceoryx,148,6.9,3,566
yrnkrn/zapcc,147,3.7,4415,43165
renard314/textfairy,146,4.4,972,4204
kushview/element,146,5.7,83,2685
adishavit/argh,146,6.8,25,35
nesbox/TIC-80,145,6.6,1188,10470
microsoft/msix-packaging,145,7.1,1092,9807
ddiakopoulos/libnyquist,145,7.7,50,266
Polidea/SiriusObfuscator,145,4.2,3182,27492
toggl-open-source/toggldesktop,143,3.7,677,8587
cuberite/cuberite,142,7.6,956,9774
TTimo/doom3.gpl,141,5.2,118,526
ARM-software/vulkan_best_practice_for_mobile_developers,141,6.5,1087,8569
erich666/GraphicsGems,140,6.3,124,1103
samba-team/samba,139,8.2,1545,13799
ravynsoft/ravynos,139,5.1,1150,8068
krb5/krb5,139,6,425,4661
kdave/btrfs-progs,139,5.5,389,1872
tesseract-ocr/tesseract,138,6.1,292,2530
qcad/qcad,136,7.6,1261,9480
squid-cache/squid,133,7.1,660,5311
Try/OpenGothic,133,6.9,571,6863
GoSSIP-SJTU/Armariris,133,5.1,3926,37118
ptitSeb/box64,132,5.7,346,5696
postgres/postgres,132,7.6,3393,16553
mgerhardy/vengi,132,5.5,1026,8252
lxc/lxc,131,8.8,442,2251
tdlib/td,130,6,1205,18636
punesemu/puNES,130,5.4,880,8354
metartc/metaRTC,129,6.8,37,1025
flomesh-io/pipy,129,4.8,323,5079
NVIDIA/Q2RTX,129,6.1,713,6843
turanszkij/WickedEngine,128,5.2,582,5979
open-mpi/hwloc,128,6.8,334,1449
Yixin-Hu/TetWild,127,6.2,191,1931
espeak-ng/espeak-ng,126,5.9,105,546
coin-or/Ipopt,126,6.9,87,792
JoshMarler/react-juce,125,4.4,0,7
nfs-ganesha/nfs-ganesha,124,7,835,2917
leo-arch/clifm,124,5.7,160,1046
MaJerle/stm32-usart-uart-dma-rx-tx,124,5.2,225,1820
neoml-lib/neoml,122,6.8,609,10249
OpenXRay/xray-16,122,4.8,943,16671
soedinglab/hh-suite,121,4.4,83,331
emscripten-core/emscripten,121,9,123,1243
tunabrain/tungsten,118,5.5,137,2001
thiagoralves/OpenPLC_v3,117,6.5,75,1001
freebsd/freebsd-src,117,5,1176,8052
mfem/mfem,116,7.5,748,3882
ampl/gsl,116,6.2,365,2537
StanfordLegion/legion,116,6,439,4720
MirrorYuChen/ncnn_example,116,5.7,568,2849
DanBloomberg/leptonica,116,5.7,966,3951
DISTRHO/DPF,115,3.4,5,371
sonic-pi-net/sonic-pi,114,3.3,532,6835
ptitSeb/box86,114,5.3,320,4999
freebayes/freebayes,114,5.3,260,1559
tenable/routeros,113,6.2,87,1391
pure-data/pure-data,113,7.8,203,2184
BeamMW/beam,113,6.6,737,8474
organicmaps/organicmaps,112,4.7,285,2593
rsummers11/CADLab,111,3.5,102,714
Qihoo360/QConf,111,4.8,671,4137
duckdb/duckdb,110,6.2,467,4144
ultimatepp/ultimatepp,109,6.8,637,7776
microsoft/onnxruntime,109,5.9,788,9120
versatica/mediasoup,108,5.2,1240,11526
gcc-mirror/gcc,107,6.9,170,1292
TASEmulators/desmume,107,4.6,663,6068
joncampbell123/dosbox-x,106,5.5,579,4170
KhronosGroup/KTX-Software,106,4.8,638,3343
r-lyeh-archived/scriptorium,105,5,328,2946
mltframework/mlt,105,5.5,186,1629
PolygonTek/BlueshiftEngine,105,4.6,390,2629
openvswitch/ovs,104,6.4,612,8865
open5gs/open5gs,104,5.5,2387,14652
emqx/nanomq,104,6.5,227,2693
libnice/libnice,103,6.2,1457,12273
GNOME/libxml2,103,7.2,547,3588
sleuthkit/sleuthkit,102,8,395,2435
DiligentGraphics/DiligentCore,102,5.3,1534,11082
Cisco-Talos/pyrebox,102,4.8,412,2423
vgmstream/vgmstream,101,4.9,285,1855
gideros/gideros,101,5.2,308,2236
util-linux/util-linux,100,8.2,597,4059
acassen/keepalived,100,6.7,171,1363
FreeTDS/freetds,100,6.4,178,1014
septag/rizz,99,5.6,311,2749
mgerdes/Open-Golf,99,5.1,258,2159
gwaldron/osgearth,98,5.7,26,211
OpenBoardView/OpenBoardView,98,6.5,281,2547
OGRECave/ogre-next,98,5.1,283,4770
symengine/symengine,97,6.1,65,1315
raspberrypi/rpi-imager,97,6.4,854,5183
kohler/click,96,5.2,265,2829
saghul/txiki.js,95,6.2,445,3681
vifm/vifm,93,7.6,118,3665
qhull/qhull,93,6.9,270,1010
DanielSWolf/rhubarb-lip-sync,93,4.5,305,2450
raspberrypi/userland,92,7.1,381,2751
netdata/netdata,92,7,671,4996
yourWaifu/sleepy-discord,91,5.6,510,3593
esmini/esmini,91,5.7,161,1535
TorqueGameEngines/Torque3D,91,4.9,1018,7050
MayaPosch/NymphCast,91,5.6,587,3031
exaloop/codon,90,5.6,428,4073
openocd-org/openocd,88,5,644,5141
y123456yz/reading-and-annotate-mongodb-3.6,87,4.5,740,2188
patriciogonzalezvivo/glslViewer,87,5.5,154,1623
proftpd/proftpd,86,6.5,262,1934
cgsecurity/testdisk,86,7.4,161,1297
SapphireServer/Sapphire,85,6.3,179,6228
turbolent/w2c2,84,6.1,46,454
facebookresearch/habitat-sim,84,8.8,706,7625
Sigil-Ebook/Sigil,84,6.4,570,4325
jmk-foofus/medusa,83,4.6,74,261
iondbproject/iondb,83,7.3,59,998
milkytracker/MilkyTracker,82,6.3,202,1849
HaxeFoundation/hashlink,82,5.7,252,2122
enginmanap/limonEngine,81,6.5,562,4397
phaag/nfdump,80,6,111,780
oNaiPs/droidVncServer,80,5,189,1215
liballeg/allegro5,80,6.7,219,2856
fhanau/Efficient-Compression-Tool,80,5.3,234,1148
Blizzard/s2client-api,80,6.5,410,4759
sysstat/sysstat,79,7.5,106,679
projectchrono/chrono,79,6.6,208,2969
panda3d/panda3d,79,4.5,11,399
monitoring-plugins/monitoring-plugins,79,6.8,95,372
networkupstools/nut,78,6.9,352,1851
confluentinc/librdkafka,78,8.7,341,1866
POV-Ray/povray,78,4.3,220,1324
godlikepanos/anki-3d-engine,77,3.6,789,8936
curv3d/curv,77,5,204,2598
varnishcache/varnish-cache,76,6.1,1319,2923
su2code/SU2,76,6.1,59,419
ermig1979/Simd,76,5.4,479,5783
drowe67/codec2,76,7.4,84,546
DentonW/DevIL,76,6.6,268,1566
wjakob/nanogui,75,6.9,29,861
opentomb/OpenTomb,75,5.8,180,2546
kosua20/MIDIVisualizer,75,4.5,202,1946
galkahana/HummusJS,75,6,268,2453
fogleman/Craft,75,6.4,225,2427
CloudCompare/CloudCompare,75,5.7,221,974
vittorioromeo/SSVOpenHexagon,73,5.1,404,4761
galkahana/PDF-Writer,73,6.3,293,2757
distcc/distcc,73,6.3,65,502
Gargaj/Bonzomatic,73,4.9,175,1985
yvt/openspades,72,5.7,516,3942
symforce-org/symforce,72,6.3,38,945
pineappleEA/pineapple-src,72,3.4,545,3917
ptpd/ptpd,71,6.5,49,438
pocoproject/poco,71,7.2,403,5011
nihui/waifu2x-ncnn-vulkan,71,4.5,332,2372
colmap/colmap,71,6.4,86,1415
nihui/realsr-ncnn-vulkan,70,4.4,333,2370
nihui/realcugan-ncnn-vulkan,70,4.4,362,2532
miranda-ng/miranda-ng,70,6.4,921,15725
eclipse/wakaama,70,7.7,282,1863
alibaba/AliOS-Things,70,4.7,701,5958
OGRECave/ogre,70,6.3,367,5814
DeaDBeeF-Player/deadbeef,70,6.1,419,1793
lc-soft/LCUI,69,3.4,45,1001
colobot/colobot,69,6,263,2564
CESNET/UltraGrid,69,5.2,207,1936
0ad/0ad,69,5.7,246,1770
uclouvain/openjpeg,68,6.1,283,1855
moai/moai-dev,68,5,522,4623
Aloshi/EmulationStation,68,6.4,52,1253
syoyo/tinygltf,66,7,26,212
pbek/QOwnNotes,66,3.5,610,7641
nihui/rife-ncnn-vulkan,66,4.4,355,2434
nihui/dain-ncnn-vulkan,66,4.4,337,2405
mstorsjo/fdk-aac,66,4.8,429,1786
DefTruth/lite.ai.toolkit,66,4,21,1148
tildearrow/furnace,65,5.5,921,7666
sumatrapdfreader/sumatrapdf,65,5.4,389,3284
riscv-software-src/riscv-isa-sim,65,6.8,4880,10301
nmap/ncrack,65,4.3,103,1075
mattgodbolt/zindex,65,6.6,170,1451
liuyubobobo/Play-Leetcode,65,7.2,81,3886
LouisBrunner/valgrind-macos,65,5.3,1123,7840
tfussell/xlnt,64,5.4,567,5147
lwip-tcpip/lwip,64,7,1203,3576
danmar/cppcheck,64,5.9,494,2492
CoolProp/CoolProp,64,5,144,1515
root-project/root,63,4.8,1055,14745
libjxl/libjxl,63,7,474,2599
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,63,6.4,199,925
prusa3d/Prusa-Firmware-Buddy,62,6.1,765,6991
libtcod/libtcod,62,4.6,79,986
floooh/sokol,62,6.3,337,1389
wb2osz/direwolf,60,6.4,157,634
liblava/liblava,60,5.7,536,5560
drolbr/Overpass-API,60,6.9,171,1626
OAID/AutoKernel,60,6.3,4,147
ComodoSecurity/openedr,60,5.5,258,2829
unicorn-engine/unicorn,59,6,1095,17387
torognes/vsearch,59,6.5,70,338
kanryu/quickviewer,59,4.6,396,2967
RoaringBitmap/CRoaring,59,7.4,56,861
AlexandreRouma/SDRPlusPlus,59,5.7,146,1603
libjpeg-turbo/libjpeg-turbo,58,7.6,138,772
cmusphinx/pocketsphinx,58,6.4,149,1210
LibVNC/libvncserver,58,7.3,79,492
zynaddsubfx/zynaddsubfx,57,5.4,75,1948
facebook/mysql-5.6,57,8.7,93,1059
coolsnowwolf/lede,57,5.7,86,437
chexiongsheng/build_xlua_with_libs,57,3.4,58,1803
bambulab/BambuStudio,57,4.6,333,2242
projectM-visualizer/projectm,56,6.7,61,573
Z3Prover/z3,56,6.7,755,13720
Samsung/TizenRT,56,6.5,673,7102
skylersaleh/SkyEmu,55,5.3,610,4884
ponylang/ponyc,55,6.9,112,1802
glassechidna/zxing-cpp,55,6.6,65,578
dog-qiuqiu/MobileNet-Yolo,55,5.5,70,755
ProtonVPN/android-app,55,6.2,667,3584
schismtracker/schismtracker,54,5.9,182,1362
parallel101/course,54,7.1,20,955
neka-nat/cupoch,54,5.1,245,1854
nativeformat/NFHTTP,54,6.8,304,2417
dankamongmen/notcurses,54,6.8,189,1085
RedisLabs/redisraft,54,6.7,110,1074
vesoft-inc/nebula,53,6.2,182,3519
ppwwyyxx/OpenPano,53,5.7,29,280
alliedmodders/sourcemod,53,6.5,133,625
WAVM/WAVM,53,5.5,113,3820
Esenthel/EsenthelEngine,53,5.6,350,1685
muse-sequencer/muse,52,5.1,619,4959
exult/exult,52,5.8,211,2532
capnproto/capnproto,52,7.3,271,4733
USCiLab/cereal,52,5.8,3,30
SRombauts/SQLiteCpp,52,7.5,438,3709
yodaos-project/yodaos,51,2.7,233,2097
seladb/PcapPlusPlus,51,5.5,139,1340
magiblot/tvision,51,5.6,32,805
akumuli/Akumuli,51,5.6,104,1301
Netflix/msl,51,6.3,325,2628
DFHack/dfhack,51,5.7,279,4568
thedmd/imgui-node-editor,50,4.6,123,1165
stella-emu/stella,50,6.8,85,2372
rose-compiler/rose,50,6.4,54,596
realm/realm-core,50,5.7,517,6912
maplibre/maplibre-gl-native,50,5.5,333,4152
linux-rdma/rdma-core,50,7,235,3822
lethal-guitar/RigelEngine,50,4.5,165,1956
iovisor/bcc,50,7.5,111,1277
geany/geany,50,6.8,530,5490
axiomatic-systems/Bento4,50,5.2,109,1147
SoftEtherVPN/SoftEtherVPN,50,5.3,339,4558
ton-blockchain/ton,49,5.6,610,12286
Azure/azure-iot-sdk-c,49,7.3,1054,3753
Apress/Ray-Tracing-Gems-II,49,5.2,95,1274
zeromq/czmq,48,5.5,92,811
twitter/pelikan,48,5.2,404,1292
tats/w3m,48,5.6,235,1161
smasherprog/screen_capture_lite,48,6.4,85,1057
opentoonz/opentoonz,48,5.8,375,2181
davidmoreno/onion,48,7.3,82,440
curl/curl,48,7,343,1940
chirlu/sox,48,6.4,113,760
VladyslavUsenko/basalt-mirror,48,6.3,109,1292
LomoX-Offical/nginx-openresty-windows,48,3.2,152,809
paullouisageneau/libdatachannel,47,6.3,308,1906
openscad/openscad,47,6.9,145,2011
monero-project/monero,47,7.7,648,4230
kiddin9/openwrt-packages,47,4.8,77,317
can1357/NoVmp,47,5.9,244,3440
apache/trafficserver,47,8.1,1576,9914
AcademySoftwareFoundation/openexr,47,7.9,242,1829
rbfx/rbfx,46,6.4,369,2394
openglonmetal/MGL,46,7.1,41,554
alibaba/AliSQL,46,6,895,6040
aetilius/pHash,46,7.1,2,15
ShadowsocksR-Live/shadowsocksr-native,46,5.8,260,2545
shadowsocksr-backup/shadowsocksr-libev,45,6.2,100,1170
openai/retro,45,5.5,230,2355
nfrechette/acl,45,6.5,41,233
horsicq/DIE-engine,45,5.5,515,9005
dalerank/nanogui-sdl,45,7.5,12,309
bytedance/terarkdb,45,5.6,357,4947
PureDarwin/PureDarwin,45,5.3,54,551
switch-iot/hin2n,44,4.8,82,560
paulftw/hiberlite,44,6.5,142,1222
lockedbyte/CVE-Exploits,44,4.8,408,1754
helloexp/0day,44,4.8,407,1752
glfw/glfw,44,6.7,40,539
LAStools/LAStools,44,5.5,160,1029
vtil-project/VTIL-Core,43,6,244,3386
rism-digital/verovio,43,6.7,660,6419
ish-app/ish,43,6.4,29,787
cariboulabs/cariboulite,43,6.8,384,1230
Speek-App/Speek,43,6.4,108,1737
ylmbtm/GameProject3,42,4.9,826,16561
universal-ctags/ctags,42,5.4,393,4101
koying/SPMC,42,4.8,61,471
jgaeddert/liquid-dsp,42,6.1,7,628
haka-security/haka,42,5.7,62,605
gabonator/LA104,42,5.5,219,2417
decaf-emu/decaf-emu,42,4.8,492,5405
Koihik/LuaFormatter,42,5.6,34,805
JaCzekanski/Avocado,42,4.4,206,1879
soedinglab/MMseqs2,41,5.6,364,2150
nmwsharp/geometry-central,41,6.5,112,1235
ladislav-zezula/StormLib,41,7.4,114,776
autobleem/AutoBleem,41,4.5,208,1948
alandefreitas/matplotplusplus,41,5.6,40,611
WebAssembly/wabt,41,6.7,87,1718
AtomicGameEngine/AtomicGameEngine,41,4.2,482,3786
0xnobody/vmpdump,41,5.6,241,3417
0vercl0k/wtf,41,4.6,80,995
pmoulon/CMVS-PMVS,40,5.1,65,299
mitsuba-renderer/mitsuba3,40,6.4,416,4428
loki-47-6F-64/sunshine,40,5.3,100,870
garbear/kodi-steamlink,40,5,25,241
clangen/musikcube,40,6.6,275,3303
TheAlgorithms/C,40,6.7,21,506
REDasmOrg/REDasm,40,3.9,158,2959
KhronosGroup/glslang,40,7.4,230,1345
vlm/asn1c,39,5.9,128,404
turesnake/tprPix,39,5.5,49,886
perilouswithadollarsign/cstrike15_src,39,4.8,144,1621
p7zip-project/p7zip,39,4.1,442,2372
moosefs/moosefs,39,7,468,1976
dibyendumajumdar/ravi,39,4.4,575,5495
dealii/dealii,39,8.5,827,6012
Chatterino/chatterino2,39,6.4,101,2921
vipshop/redis-migrate-tool,38,6.4,168,1135
skyline-emu/skyline,38,6.3,346,4643
robotastic/trunk-recorder,38,7.1,75,620
mabeijianxi/FFmpeg4Android,38,4.8,244,1059
cmu-db/bustub,38,7.5,135,2094
apache/arrow,38,7.9,213,2671
AcademySoftwareFoundation/MaterialX,38,6.7,102,1210
xelatihy/yocto-gl,37,5,111,871
smilehao/xlua-framework,37,4.7,91,1274
pytorch/glow,37,8.4,389,4346
mapsme/omim,37,5.5,136,1702
danoon2/Boxedwine,37,6.2,346,2415
cycfi/q,37,6.2,44,392
RavenSystem/esp-homekit-devices,37,7.3,404,3038
FirebirdSQL/firebird,37,4.6,89,978
ErosZy/WXInlinePlayer,37,4.8,116,802
saki4510t/UVCCamera,36,5.8,104,549
peng-zhihui/Peak,36,5.2,36,174
openbsd/src,36,5.5,153,3326
mixxxdj/mixxx,36,7.3,300,5023
lfortran/lfortran,36,7.2,31,471
larryli/PuTTY,36,5.6,266,2631
jrouwe/JoltPhysics,36,6.1,164,1375
gosu/gosu,36,4.7,102,660
effekseer/Effekseer,36,5.2,38,806
cisco/openh264,36,5.6,328,1575
chjj/mako,36,6.1,144,2371
athena-team/athena,36,7.1,90,1321
apache/brpc,36,7.8,173,2457
allinurl/goaccess,36,7.1,42,859
Tom94/tev,36,5.8,220,2172
Sunzxyong/Tiny,36,5,105,551
zdzhaoyong/GSLAM,35,6.4,15,372
wjakob/nori,35,4.6,145,2057
wez/atomicparsley,35,5,47,236
protocolbuffers/protobuf,35,7.1,645,5644
mindspore-ai/mindspore,35,5.6,2496,13173
keystone-engine/keystone,35,4.9,152,2326
karlstav/cava,35,6.2,14,50
horsicq/XELFViewer,35,6.6,375,5638
horsicq/Nauz-File-Detector,35,5.4,480,6452
doctest/doctest,35,5.7,25,413
dinhvh/libetpan,35,6.5,177,2255
akai-katto/dandere2x,35,5.3,1,144
acados/acados,35,6,94,746
RickdeJager/stegseek,35,4.8,16,364
NVIDIA/MatX,35,6.4,122,2366
MethanePowered/MethaneKit,35,3.9,168,1578
InteractiveComputerGraphics/SPlisHSPlasH,35,4.9,261,2092
GNOME/glib,35,8.1,1453,12272
ARM-software/armnn,35,6.2,106,1340
kungfu-origin/kungfu,34,3,180,1616
kripken/ammo.js,34,4.6,86,909
angband/angband,34,5.3,352,3245
PixarAnimationStudios/OpenSubdiv,34,7,78,754
OpenCPN/OpenCPN,34,4.2,52,532
NVIDIA/libcudacxx,34,7,35,540
tomhrr/dale,33,6.3,29,456
grke/burp,33,6.6,93,1020
erincatto/box2d,33,5.6,110,1279
cruppstahl/upscaledb,33,6.4,624,1469
SIPp/sipp,33,6.1,56,428
OpenPrinting/cups,33,9,451,1556
OpenMined/TenSEAL,33,5.5,138,1265
IoLanguage/io,33,5.3,49,890
Blosc/c-blosc,33,7.3,180,1200
xiph/flac,32,5.7,124,755
texstudio-org/texstudio,32,6.6,369,3655
mhogomchungu/zuluCrypt,32,6.4,69,1382
introlab/odas,32,6.1,15,439
google/autofdo,32,7,89,1699
chocolate-doom/chocolate-doom,32,7.4,288,3467
chenyahui/AnnotatedCode,32,4.8,356,2737
RetroShare/RetroShare,32,7.1,163,3487
wangbojing/NtyCo,31,5.8,12,152
verilator/verilator,31,6.7,353,4104
uTox/uTox,31,5.8,24,292
onnx/optimizer,31,6.9,265,3611
martijnvanbrummelen/nwipe,31,6.5,29,167
linux-test-project/ltp,31,6.6,82,2278
ketoo/NoahGameFrame,31,6.7,197,2544
karimnaaji/vectiler,31,5.5,3,27
justinmeza/lci,31,7.2,19,183
gperftools/gperftools,31,5.9,59,855
fraunhoferhhi/vvenc,31,7.2,299,1489
dartsim/dart,31,6.7,197,2673
citusdata/citus,31,8.4,634,3630
ERGO-Code/HiGHS,31,6.7,323,1811
CppMicroServices/CppMicroServices,31,7,103,1520
ArcticaProject/vcxsrv,31,4.6,84,725
obgm/libcoap,30,6.1,164,601
musescore/MuseScore,30,5.6,452,4816
melonDS-emu/melonDS,30,5.9,168,1820
megai2/d912pxy,30,5.3,8,12
lakinduakash/linux-wifi-hotspot,30,5.1,3,42
jondgoodwin/cone,30,6.4,38,406
jamulussoftware/jamulus,30,7.3,103,448
irontec/sngrep,30,7.8,25,278
geekuillaume/soundsync,30,2.7,103,448
facebook/redex,30,5.8,1,44
facebook/SPARTA,30,7.5,1,44
elfmz/far2l,30,5.8,229,2319
dreamstalker/rehlds,30,4.2,424,5539
cosmos72/twin,30,6.6,113,980
apple/swift-llbuild,30,8.3,128,1685
ZDoom/gzdoom,30,4.9,164,1013
ZDoom/Raze,30,4.5,164,1013
SanderMertens/flecs,30,6.4,777,4453
SChernykh/p2pool,30,5.6,217,1064
Restream/reindexer,30,5.6,477,5621
KhronosGroup/SPIRV-Reflect,30,8,57,242
Ewenwan/MVision,30,4.8,38,277
DynamoRIO/dynamorio,30,5.6,584,4336
DroneBridge/DroneBridge,30,4.7,42,451
rwengine/openrw,29,6.3,84,1029
pmp-library/pmp-library,29,6.3,180,1832
pachterlab/kallisto,29,5,33,168
p-gen/smenu,29,6.9,39,209
nxengine/nxengine-evo,29,5.2,165,1059
google/flatbuffers,29,9,137,1252
emersion/mrsh,29,6.4,23,359
eclipse-cyclonedds/cyclonedds,29,8.2,318,3654
berthubert/googerteller,29,5,2,20
OpenSMTPD/OpenSMTPD,29,6.2,156,1310
NatronGitHub/Natron,29,6.8,558,7122
KiCad/kicad-source-mirror,29,4.7,127,2766
xtaci/algorithms,28,6.7,0,70
xiph/opus,28,5.8,102,449
microsoft/SymCrypt,28,7,120,1709
libressl/portable,28,5.5,511,4848
libgit2/libgit2,28,6.3,545,6686
dvorka/hstr,28,6.6,16,78
coova/coova-chilli,28,5.9,82,439
