repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
LAStools/LAStools,89,1212,5.2,227,1511,9757,95486
BabylonJS/BabylonNative,89,0,6.6,349,3162,101858,436797
cgsecurity/testdisk,88,240,6.4,160,1307,28356,85635
Mauler125/r5sdk,88,0,4.8,1373,11802,347964,1236957
y123456yz/reading-and-annotate-mongodb-3.6,87,12,0.8,727,2117,804371,2861087
wangfenjin/simple,87,0,3.6,478,4008,85421,161368
rbfx/rbfx,87,1442,5.7,998,8112,524708,2851404
networkupstools/nut,87,395,7,399,2146,35892,124276
riscv-collab/riscv-openocd,86,-1,5.7,698,5623,44813,255234
moai/moai-dev,86,748,2.7,540,4735,255370,996106
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,86,95,6.5,241,1082,6042,41142
HaxeFoundation/hashlink,86,0,5.1,252,2133,134409,363015
openocd-org/openocd,85,-1,4.8,669,5394,44024,247280
nowar-fonts/Warcraft-Font-Merger,85,1044,3.8,134,1117,9970,49961
SapphireServer/Sapphire,85,453,5.9,179,6333,28245,205102
util-linux/util-linux,84,-1,7.6,565,4668,34179,174203
open-mpi/hwloc,84,43,6.3,319,1469,13501,60444
floe/backscrub,84,17,4.6,1050,5972,284,1622
xaos-project/XaoS,83,0,4,61,584,2246,26847
monitoring-plugins/monitoring-plugins,83,92,6.1,96,376,18312,76417
iondbproject/iondb,83,220,5.9,59,998,10421,18905
milkytracker/MilkyTracker,82,490,4.9,203,1853,23809,179443
liballeg/allegro5,82,535,6.1,224,2884,19493,148801
iqiyi/dpvs,81,158,6,147,1149,19614,119904
ermig1979/Simd,81,0,4.8,489,5619,32997,276162
OpenMS/OpenMS,81,55,4.3,1101,10354,248567,974968
oNaiPs/droidVncServer,80,321,2.4,189,1215,92938,307057
kiddin9/openwrt-packages,80,56,4.4,86,445,27249,219672
jmk-foofus/medusa,80,112,5.2,74,258,3595,19048
fhanau/Efficient-Compression-Tool,80,262,3.8,234,1148,6125,19169
syoyo/tinygltf,79,238,6.6,28,231,37651,192900
phaag/nfdump,79,181,6.3,122,1063,13373,66161
drowe67/codec2-dev,79,0,4.8,85,550,15998,131036
POV-Ray/povray,79,578,3.5,220,1324,249411,984333
OpenNJet/OpenNJet,79,1,3.2,233,1180,133241,1430854
Blizzard/s2client-api,77,0,4.6,410,4757,1956,17002
su2code/SU2,76,84,5.3,59,419,288581,490874
varnishcache/varnish-cache,75,346,5.8,1344,2989,26979,110387
opentomb/OpenTomb,75,58,4,180,2546,69628,286954
galkahana/HummusJS,75,493,6.6,268,2453,78920,238635
godlikepanos/anki-3d-engine,74,623,3.4,789,8932,295811,1888744
alibaba/GaiaX,74,240,3.9,90,548,7913,89045
Gargaj/Bonzomatic,73,76,3,175,1985,41552,243925
yvt/openspades,72,-1,4.8,516,3942,23492,133455
symforce-org/symforce,72,86,5.6,38,945,25440,182806
distcc/distcc,72,47,5.6,65,501,8527,27983
benikabocha/saba,72,-1,4.5,128,1694,51861,238063
OpenCPN/OpenCPN,72,178,3.8,79,865,232043,976085
vgmtrans/vgmtrans,71,4,5.9,148,1568,10750,64425
ptpd/ptpd,71,26,4.6,49,438,5582,25335
mirror/ncurses,71,64,4.3,113,806,28482,100498
KqSMea8/AirplayServer,70,1150,3.6,419,1793,89350,264972
DeutscheKI/tevr-asr-tool,70,-1,3.7,1121,7291,6,288
DeaDBeeF-Player/deadbeef,70,1147,5.6,419,1793,153124,629247
prusa3d/Prusa-Firmware-Buddy,69,631,3.5,906,9398,902102,1596884
nihui/waifu2x-ncnn-vulkan,69,0,3.9,332,2372,1812,9596
DentonW/DevIL,69,308,4.8,268,1566,10392,65470
CoolProp/CoolProp,69,51,4.4,144,1545,13741,55661
0ad/0ad,69,0,3.8,246,1770,390880,1114586
uclouvain/openjpeg,68,384,5.1,283,1855,44993,164389
nihui/realsr-ncnn-vulkan,68,0,3.8,333,2370,1811,9451
nihui/realcugan-ncnn-vulkan,68,0,3.8,362,2532,1887,12058
kosua20/MIDIVisualizer,67,432,3.9,205,1973,41460,169933
LouisBrunner/valgrind-macos,67,-1,4.2,1125,7850,142043,821262
Aloshi/EmulationStation,67,16,4.5,52,1253,2352,79054
shibatch/sleef,66,0,6.9,20,324,2866,50694
openvswitch/ovs,66,-1,5.8,629,9011,64970,310748
mstorsjo/fdk-aac,66,1133,4.6,429,1786,59353,128597
liuyubobobo/Play-Leetcode,66,30,3.8,85,4067,27268,124301
hzqst/unicorn_pe,66,76,4.3,1164,18316,85505,518471
CESNET/UltraGrid,66,0,4.7,207,2184,48105,142430
tsl0922/ImPlay,65,122,3.9,297,2576,28059,176397
mattgodbolt/zindex,65,-1,4.8,170,1451,60781,114269
OGRECave/ogre,65,563,5.7,370,5889,124365,362311
tfussell/xlnt,64,2844,2.9,567,5142,15192,59335
nihui/rife-ncnn-vulkan,64,0,3.8,355,2434,1898,12735
nihui/dain-ncnn-vulkan,64,0,3.8,337,2405,1853,10286
lwip-tcpip/lwip,64,120,4.7,1227,3699,44590,109866
drolbr/Overpass-API,64,-1,5.7,164,1725,8380,82331
NVIDIAGameWorks/RTX-Path-Tracing,64,280,2.3,224,2325,65869,289759
libtcod/libtcod,62,347,4.1,77,931,25970,68153
Murmele/Gittyup,62,0,5.2,634,7129,13654,69183
MobilityDB/MobilityDB,62,378,7.1,218,3862,73082,150498
sysstat/sysstat,61,46,6.4,102,703,23772,49388
libjpeg-turbo/libjpeg-turbo,60,182,6.3,139,770,18691,62698
asset-group/5ghoul-5g-nr-attacks,60,209,1.2,165,2351,145045,451198
ComodoSecurity/openedr,60,275,2.7,258,2829,945841,4659928
AMReX-Codes/amrex,60,278,6.2,148,1199,28952,263668
kanryu/quickviewer,59,1220,2.1,396,2967,40048,425308
dog-qiuqiu/MobileNet-Yolo,59,161,3,70,755,6226,44630
cmusphinx/pocketsphinx,59,215,4.8,149,1210,23226,57773
chexiongsheng/build_xlua_with_libs,59,-1,3,58,1819,34515,250521
amsynth/amsynth,59,27,4.8,14,254,2087,9440
S2E/s2e,59,25,5,30,773,35169,138011
zynaddsubfx/zynaddsubfx,58,2,5,80,1996,8751,46904
shader-slang/slang,58,0,5.9,676,9977,64012,350689
picolibc/picolibc,58,207,5.8,99,802,104494,369501
linuxmint/warpinator,58,1425,4.4,379,5406,246128,953267
STMicroelectronics/STM32CubeH7,58,0,4.5,303,819,774199,5874293
LibVNC/libvncserver,58,171,6.5,79,494,8124,43211
wb2osz/direwolf,57,87,6.2,172,688,32525,59145
realm/realm-core,57,0,5.2,630,8180,108370,678423
galkahana/PDF-Writer,57,929,5.5,336,3015,95407,293930
RoaringBitmap/CRoaring,57,21,6.8,59,959,8353,41241
niessner/VoxelHashing,56,0,2.4,12,420,142320,578128
airbus-cert/Yagi,56,0,3.8,233,2806,1791,5873
paullouisageneau/libdatachannel,55,-1,5.9,312,1963,2550,22036
glassechidna/zxing-cpp,55,674,4.8,65,578,8644,27844
bambulab/BambuStudio,55,128,4.8,335,2270,158077,860056
Samsung/TizenRT,55,0,4.1,673,7102,1603522,3614439
ProtonVPN/android-app,55,2336,4.3,716,3701,222005,925366
projectM-visualizer/projectm,54,0,6,77,616,18951,76604
parallel101/course,54,240,3.5,20,955,34216,139174
neka-nat/cupoch,54,461,5,245,1854,53699,240777
nativeformat/NFHTTP,54,-1,3.5,304,2417,74732,134313
mariotaku/moonlight-tv,54,272,4.9,237,2132,1360,18775
diffblue/cbmc,54,47,5.4,785,6285,72009,497567
schismtracker/schismtracker,53,271,5.3,181,1356,10370,59342
ppwwyyxx/OpenPano,53,323,3.9,29,280,13904,63557
monero-project/monero-gui,53,0,5.9,664,4492,3106,34333
exult/exult,53,599,5.2,225,2563,32752,162403
alliedmodders/sourcemod,53,85,5.5,133,624,157132,448362
AlexandreRouma/SDRPlusPlus,53,627,5,148,1639,23954,120030
zeromq/czmq,52,202,5.7,92,815,22705,50712
yodaos-project/yodaos,52,227,2,233,2097,675691,3233648
openpilot/OpenPilot,52,0,2.4,14,530,280062,623416
geany/geany,52,-1,6.7,613,5892,35806,238204
colobot/colobot,52,272,6.9,261,2529,25471,134845
oscarpilote/Ortho4XP,51,65,2.7,24,91,12847,41534
muse-sequencer/muse,51,0,4.9,621,5042,74828,265920
linux-rdma/rdma-core,51,0,6.8,235,3916,22801,167861
SIPp/sipp,51,31,5.9,69,534,5252,31519
Netflix/msl,51,642,4.3,325,2628,36109,90802
turbolent/w2c2,50,663,3.6,54,524,2271,120466
thedmd/imgui-node-editor,50,49,4.3,123,1166,11600,60634
seladb/PcapPlusPlus,50,599,5.7,195,1435,28678,92004
lethal-guitar/RigelEngine,50,367,5.1,165,1958,21344,94504
horsicq/DIE-engine,50,0,5,660,10463,327,1012
dankamongmen/notcurses,50,-1,6.1,190,1087,7707,94185
akumuli/Akumuli,50,0,3.2,104,1300,10779,55667
Rubberduckycooly/Sonic-CD-11-Decompilation,50,112,4.9,190,730,743,27127
RedisLabs/redisraft,50,381,5.7,99,868,6584,32917
tlk00/BitMagic,49,1,5.8,213,795,24523,135318
strato-emu/strato,49,1,4.9,411,5465,9810,46695
martijnvanbrummelen/nwipe,49,86,6.2,42,221,5106,16673
axiomatic-systems/Bento4,49,605,5.7,110,1151,23040,61370
Tom94/tev,49,0,5.3,193,2102,817,10049
twitter/pelikan,48,280,4.8,404,1292,7384,38677
tats/w3m,48,-1,4.1,235,1161,2058,60077
smasherprog/screen_capture_lite,48,186,4.7,85,1057,18040,70908
magiblot/tvision,48,219,5,30,828,5941,42054
logicalclocks/rondb,48,251,5.4,150,1709,1232386,3820178
google/sandboxed-api,48,223,6.8,435,5507,8781,39895
davidmoreno/onion,48,0,5.8,82,440,7074,18025
chirlu/sox,48,-1,4.3,113,760,13152,41166
VladyslavUsenko/basalt-mirror,48,-1,3.9,109,1290,13228,56357
PCRE2Project/pcre2,48,229,6.1,66,198,15519,98233
LomoX-Offical/nginx-openresty-windows,48,451,0,152,809,159973,756975
Jaysmito101/TerraForge3D,48,527,4.8,301,3169,7733,35395
DFHack/dfhack,48,0,5.7,298,4966,34825,179244
Azure/azure-iot-sdk-c,48,960,6.8,1076,3779,31248,215667
AcademySoftwareFoundation/openexr,48,1440,8.9,263,1949,25258,227764
can1357/NoVmp,47,2,3.6,244,3440,2121,4247
StereoKit/StereoKit,47,346,5,76,1429,21813,180559
KhronosGroup/OpenCL-SDK,47,14,4.9,47,661,1143,28478
Apress/Ray-Tracing-Gems-II,47,162,2.5,95,1274,72667,279470
stella-emu/stella,46,-1,6.5,89,2406,168072,357148
paperManu/splash,46,13,4.1,237,2845,19827,111034
openglonmetal/MGL,46,92,4.8,41,563,33746,190445
mitsuba-renderer/mitsuba3,46,7,5.8,431,4584,18034,71656
eteran/c-vector,46,36,5.9,20,40,370,1773
aetilius/pHash,46,162,5.5,2,15,10472,82539
ZDoom/gzdoom,46,501,4.8,310,2537,125711,707885
ZDoom/Raze,46,501,3.9,310,2537,125177,721902
ShadowsocksR-Live/shadowsocksr-native,46,1913,3.8,260,2548,2167,19689
SRombauts/SQLiteCpp,46,-1,4.6,456,3841,89868,163669
shadowsocksr-backup/shadowsocksr-libev,45,169,3.9,100,1170,8570,60085
quickjs-ng/quickjs,45,577,6,216,1659,5012,80031
haka-security/haka,45,0,3.7,62,605,2668,22664
encryptogroup/ABY,45,-1,4.3,55,773,5468,19993
dalerank/nanogui-sdl,45,118,5.8,12,309,4718,49099
bytedance/terarkdb,45,10,4.3,357,4947,60741,321783
David-Haim/concurrencpp,45,0,4.5,0,2379,488,16604
0xnobody/vmpattack,45,0,3.6,242,3401,1650,3186
switch-iot/hin2n,44,177,2.3,82,560,11738,30264
openctp/openctp,44,63,4.1,12,313,105539,122470
openai/retro,44,539,2.6,230,2355,250889,897543
lockedbyte/CVE-Exploits,44,263,1.9,408,1748,103839,462830
horsicq/XAPKDetector,44,0,4.8,612,8549,242,872
holzschu/ios_system,44,0,3.8,344,1911,134091,485189
helloexp/0day,44,263,0.5,407,1746,114368,542301
