repo, scan-build-bugs, ossf-score, bai-bugs, complex-functions, total-functions, lines-of-code, lines-of-comments
intel/hexl-fpga,-2,5.5,11,2,null,1278,10780
intel/MTMC-Temporal-Profiler,-2,5.9,0,2,null,629,1922
intel/oneAPI-Ultrasound-Beamforming-Library,-3,6.1,0,3,null,2411,16424
intel/pti-gpu,-4,6.3,-1,4,null,527,31517
intel/ipp-crypto,-4,7.3,0,4,null,56329,139342
intel/iotg_tsn_ref_sw,-4,6.5,0,4,null,1077,3493
intel/crypto-api-toolkit,-4,6.2,0,4,null,21768,51359
intel/cm-cpu-emulation,-4,5.4,2096,4,null,8457,47845
intel/aubstream,-4,7.1,0,4,null,1203,12964
intel/IA-Hardware-Composer,-4,6.2,0,4,null,6992,38368
intel/compile-time-init-build,-5,6.1,-1,5,null,1527,8634
intel/Intel-Vector-Data-Streaming-Library,-5,5.7,3,5,null,11405,52309
intel/media-driver,-10,7.2,-1,10,null,392293,2767809
intel/hexl,-13,6.2,613,13,null,2325,14938
intel/yarpgen,-15,6.2,783,15,null,1003,8251
intel/iotg-lin-gfx-libva,-15,6.4,12,15,null,6624,13280
intel/libipt,-17,7.6,378,17,null,9973,40005
intel/SGXDataCenterAttestationPrimitives,-18,8.2,-1,18,null,32848,97907
intel/safestringlib,-19,6.1,0,19,null,7320,14965
intel/libva,-21,7.1,13,21,null,11481,17006
intel/intel-qs,-21,5.4,249,21,null,4647,16252
intel/isa-l,-23,7.6,0,23,null,6238,45579
intel/igsc,-25,7.6,0,25,null,2014,17715
intel/thermal_daemon,-30,7.4,2,30,null,2669,13803
intel/zlib,-31,4.9,1591,31,null,8132,34345
intel/idxd-config,-31,6.8,39,31,null,1698,18568
intel/systemc-compiler,-32,7.2,303,32,null,53260,193142
intel/linux-vpu-driver,-32,6.5,0,32,null,15407,37378
intel/dptf,-46,7.5,9,46,null,47198,181645
intel/DML,-75,8.4,-1,75,null,8795,30840
intel/pcm,-82,6.8,-1,82,null,4085,36349
intel/intel-graphics-compiler,-83,4.8,5652,83,null,123853,861708
intel/intel-ipsec-mb,-84,6.8,704,84,null,16464,104410
intel/compute-aggregation-layer,-120,7.6,3747,120,null,26142,109945
intel/linux-sgx,-126,8.2,-1,126,null,149986,357542
intel/compute-benchmarks,-137,6.4,-1,137,null,19532,56211
intel/iotg-mgbe-undi-driver,-162,6.2,-1,162,null,465179,816868
intel/qpl,-205,8.3,0,205,null,15083,104492
intel/opencl-intercept-layer,-224,5.8,-1,224,null,3720,41800
intel/intel-device-resource-mgt-lib,-226,6.5,3237,226,null,102766,221371
intel/ideep,-302,6.2,-1,302,null,2426,23324
intel/gmmlib,-340,7.6,611,340,null,26973,79593
intel/gdb,-364,8.2,-1,364,null,553261,2997156
intel/qatlib,-392,8.8,441,392,null,87756,115806
intel/xpumanager,-530,6.4,-1,530,null,60802,254309
intel/intel-extension-for-transformers,-811,6.4,-1,811,null,10607,56692
intel/libvirt-tdx,-1311,6,-1,1311,null,89836,577539
