repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
ring-lang/ring,238,2335,3.7,1097,6794,337115,2108167
seemoo-lab/nexmon,237,2003,4.4,3293,29812,1064818,5561834
trailofbits/cb-multios,235,-1,5,2172,35525,420695,6908805
TASEmulators/fceux,235,0,3.6,235,3647,44205,259074
groonga/groonga,234,-1,6.5,1295,4548,13294,618369
pachterlab/kallisto,233,1502,5,328,1991,25210,120384
xapian/xapian,231,1,5.4,1944,11181,42748,122741
rockchip-linux/rknn-toolkit2,231,88,2.6,29,282,44389,89357
vhelin/wla-dx,228,0,5.2,173,495,3874,60302
steveicarus/iverilog,228,929,5.8,414,5134,38825,176443
Blosc/c-blosc2,227,860,4.7,392,1790,36433,116871
dethrace-labs/dethrace,226,3,5.2,396,5445,13704,201368
Hamlib/Hamlib,226,-1,6.4,864,3929,50668,258757
DarkflameUniverse/DarkflameServer,221,424,6.9,435,5539,88431,239288
openxla/iree,219,1,5.5,5348,83249,77423,319645
adobe-type-tools/afdko,216,7,5.6,442,3782,22035,168896
skylersaleh/SkyEmu,214,1679,4.9,2212,17913,201547,1658091
openvenues/libpostal,213,-1,3.4,185,1184,6733,583235
containers/crun,212,628,7.7,277,1181,2955,28014
cfengine/core,212,-1,7.3,242,2872,20279,129323
airockchip/rknn_model_zoo,212,521,3.6,330,1884,44612,128927
agraef/purr-data,211,1072,3.6,266,3577,128795,726583
OpenVisualCloud/SVT-HEVC,208,583,4.4,336,1211,18026,128202
thalium/icebox,206,595,2.9,1600,16464,1782023,5653522
surge-synthesizer/surge,203,13,5.1,601,5894,108882,350347
BespokeSynth/BespokeSynth,195,888,6.1,217,3215,28972,180599
LLNL/RAJA,194,467,6.4,20,260,31221,93384
lammps/lammps,192,442,7,669,3600,246576,1219174
beefytech/Beef,191,281,3.5,279,1965,157814,702966
lagadic/visp,185,1,5.8,471,5328,191817,569971
Stephane-D/SGDK,184,1,5.3,26,674,20282,69980
vermaseren/form,183,514,5.2,601,1513,31218,126535
TorqueGameEngines/Torque3D,180,2057,4.7,1252,9050,654853,2512526
bjornbytes/lovr,178,0,5.2,598,6040,13580,128816
keith2018/SoftGLRender,176,612,3.4,773,6379,156601,752696
flomesh-io/pipy,175,1002,4.6,733,8475,285251,1170540
samtools/htslib,174,1060,-1,339,1646,17766,66091
google-deepmind/mujoco_mpc,173,-1,6.9,600,4216,8533,22710
pmq20/ruby-packer,172,402,3.4,273,1744,182644,1447379
avrdudes/avrdude,172,221,6,276,1769,13028,100856
Ettercap/ettercap,172,0,6.4,195,1157,19548,58324
ptitSeb/box64,171,2,4.5,1689,29213,39137,215336
k2-fsa/sherpa-onnx,170,0,4.7,201,1317,4518,30407
mit-biomimetics/Cheetah-Software,169,77,3.9,2,380,36420,96346
adventuregamestudio/ags,169,225,4.7,577,7799,82365,315467
LabSound/LabSound,168,475,5.5,72,746,6519,39319
ipc-sim/IPC,167,49,4.8,349,2322,2437,27101
navit-gps/navit,166,0,4.9,275,2219,39948,183742
axmolengine/axmol,166,863,4.4,471,5516,339862,1510020
Rubberduckycooly/Sonic-Mania-Decompilation,165,141,5.7,130,599,8845,228905
wiredtiger/wiredtiger,163,137,5.6,1525,4105,83020,191765
libMesh/libmesh,162,241,4.3,190,1500,348013,1238088
WolfireGames/overgrowth,161,519,4.5,779,4065,384426,2331877
saghul/txiki.js,158,640,5.1,993,8202,89183,360288
mfem/mfem,158,-1,7.1,645,4061,65289,402281
yasm/yasm,154,358,5.4,134,1122,13344,55793
RasPlex/OpenPHT,154,694,1.9,282,2002,522916,2510453
LLNL/sundials,152,432,6.1,256,2838,87393,304247
kangjianwei/Data-Structure,150,159,3.4,76,2347,46388,103628
catsout/wallpaper-engine-kde-plugin,150,7,5.7,518,3484,50480,243623
yrnkrn/zapcc,147,1,3.2,4415,43165,894807,2602717
tcltk/tcl,147,1100,5.6,818,3019,118098,229942
renard314/textfairy,146,79,2.3,972,4204,161955,405257
adishavit/argh,146,57,5.6,25,35,652,6106
FundamentalFrequency/LMN-3-DAW,146,-1,3.8,7,399,702,14720
qcad/qcad,145,2058,5.8,1279,9721,266863,1552750
nmwsharp/polyscope,145,1102,5.8,501,5893,11642,210674
microsoft/msix-packaging,145,3627,4,1092,9825,156066,786352
kdave/btrfs-progs,145,-1,5,487,2009,19971,122859
ddiakopoulos/libnyquist,145,155,5.2,50,266,35503,151182
eclipse/omr,142,0,5.8,386,3066,208558,791746
GuitarML/NeuralPi,142,0,4.7,1,41,214,2114
google/tensorstore,141,0,7.9,2784,30613,65212,272441
ARM-software/vulkan_best_practice_for_mobile_developers,141,384,5,1087,8569,6555,21927
erich666/GraphicsGems,140,392,4.4,124,1103,15752,53725
bigartm/bigartm,140,1070,3.1,574,9836,85838,311660
julius-speech/julius,139,271,3.7,98,825,76584,175580
bochs-emu/Bochs,139,838,4.8,209,2343,51282,298105
Try/OpenGothic,137,0,5.2,587,7139,3164,63385
thunder-engine/thunder,134,279,4.9,449,3875,220598,908113
punesemu/puNES,134,1519,4.1,853,8850,119548,728561
envytools/envytools,134,48,4.8,765,5224,11749,111821
CloudCompare/CloudCompare,132,235,5.4,632,5133,71115,271977
metartc/metaRTC,131,148,4,46,1211,137792,160859
GoSSIP-SJTU/Armariris,131,1,2.5,3926,37118,720083,2092898
shaka-project/shaka-packager,128,0,6.6,1397,11045,14162,86776
artclarke/humble-video,128,1137,3.8,823,6515,393158,2253933
nfs-ganesha/nfs-ganesha,127,117,5,867,2976,67399,174691
Yixin-Hu/TetWild,127,-1,3.8,191,1931,2254,9971
StanfordLegion/legion,127,-1,4.7,623,6028,79113,448909
Sneeds-Feed-and-Seed/sneedacity,127,1093,4.5,365,3476,246869,888774
jbehley/SuMa,126,49,4.1,172,2081,2720,14116
coin-or/Ipopt,126,314,5.1,87,792,24121,99399
RobLoach/raylib-cpp,126,-1,6.2,63,707,3038,5806
OpenXRay/xray-16,126,69,4.1,912,15900,137255,804319
krb5/krb5,125,1067,5.5,422,4609,74892,301428
JoshMarler/react-juce,125,0,3.9,0,7,67544,215327
MayaPosch/NymphCast,124,769,4,973,6014,194612,820799
MaJerle/stm32-usart-uart-dma-rx-tx,124,9,4.2,225,1820,1749784,4546170
pocl/pocl,123,49,6.1,399,1220,27080,155752
KhronosGroup/KTX-Software,123,1861,5,812,4315,132007,483825
soedinglab/hh-suite,121,40,4.3,83,331,16529,168548
rburkholder/trade-frame,120,-1,6.2,434,6427,84535,228366
samba-team/samba,119,21,6.7,1393,12331,411743,1924533
espeak-ng/espeak-ng,119,174,5.2,105,546,4981,45452
ptitSeb/box86,118,0,5,356,5082,35254,151307
thiagoralves/OpenPLC_v3,117,388,4.6,75,1010,73748,213110
nanomq/nanomq,117,1212,6,261,2966,1956,25497
RandyGaul/cute_framework,117,150,5,1847,5790,49827,327671
squid-cache/squid,116,-1,6.4,620,5052,49324,203689
ampl/gsl,116,288,4.8,365,2537,64086,297929
open5gs/open5gs,114,0,5.1,2511,14959,93643,1092246
freebayes/freebayes,114,-1,3.9,260,1559,11005,130486
tenable/routeros,113,258,4.2,87,1391,2451,11473
vengi-voxel/vengi,112,0,5,995,8664,142756,703390
facebookresearch/habitat-sim,112,35,8,878,9040,31296,115786
eclipse/wakaama,112,1481,7.6,529,2614,3919,32654
rsummers11/CADLab,111,140,0.4,102,714,49780,249583
pmodels/mpich,111,-1,7,300,956,68641,419825
hanwckf/rt-n56u,111,279,2.5,212,2266,3308594,16228099
Qihoo360/QConf,111,137,2.2,671,4137,70495,217831
NVIDIA/Q2RTX,111,0,6.1,778,7339,20837,146332
DanBloomberg/leptonica,111,-1,5.1,975,3970,97539,198377
BeamMW/beam,111,65,5.7,685,8330,131071,532398
Embroidermodder/Embroidermodder,110,434,4.4,433,3525,132462,480232
pure-data/pure-data,109,934,8,204,2218,19428,126374
facebook/igl,109,-1,6.6,758,5329,13266,74976
ultimatepp/ultimatepp,108,-1,5.2,645,7870,220693,1225487
jerryuhoo/Fire,108,1,3.8,2,82,1840,10025
tksuoran/erhe,107,13,5.2,389,5782,38778,342805
r-lyeh-archived/scriptorium,105,218,2.1,328,2952,430151,1651306
pthom/hello_imgui,105,-1,5.3,376,3318,4759,36181
jlblancoc/suitesparse-metis-for-windows,105,258,4.8,278,910,261579,1190819
TASEmulators/desmume,105,-1,4.2,659,6100,121197,461733
PolygonTek/BlueshiftEngine,105,872,2.1,390,2629,239889,904850
GNOME/libxml2,105,-1,3.8,519,3606,55024,200538
vgmstream/vgmstream,104,-1,4.1,298,1904,42991,147528
DiligentGraphics/DiligentCore,104,61,5,1564,11378,60097,259508
libnice/libnice,103,-1,4.8,1457,12273,13697,38160
tildearrow/furnace,102,272,4.3,1193,9094,139310,978161
sleuthkit/sleuthkit,102,525,7.2,396,2436,93686,196210
joncampbell123/dosbox-x,102,1123,6.1,716,5308,323044,1730264
acassen/keepalived,102,182,5.9,179,1373,11126,67304
MirrorYuChen/ncnn_example,102,252,3.5,568,2849,75208,458526
mltframework/mlt,101,0,5.4,191,1677,23892,108661
gideros/gideros,101,880,3.6,308,2236,491105,1653856
FreeTDS/freetds,101,21,5,179,1034,18039,97797
OGRECave/ogre-next,100,358,4.8,287,4792,161705,464736
BabylonJS/BabylonNative,100,0,6.5,367,3180,101859,436975
septag/rizz,99,362,-1,311,2749,27876,196511
mgerdes/Open-Golf,99,78,2.5,258,2159,29148,160897
ETLCPP/etl,99,21,5.2,3435,12938,70014,249939
gwaldron/osgearth,98,143,4.8,26,211,92432,571675
OpenBoardView/OpenBoardView,98,0,3.8,281,2547,72314,132863
symengine/symengine,97,2666,5.4,65,1315,14719,111412
shader-slang/slang,97,0,6.1,692,9979,63465,338307
raspberrypi/rpi-imager,97,732,5.3,858,5217,115886,413229
GPUOpen-Tools/compressonator,97,21,5.6,206,1368,67712,323115
phaag/nfdump,96,186,5.8,127,1042,13557,65360
kohler/click,96,905,4.7,265,2829,66633,243252
vifm/vifm,94,-1,6.1,125,3742,28474,175055
qhull/qhull,93,-1,5.3,270,1010,19938,57549
raspberrypi/userland,92,168,4.3,381,2752,53506,146628
DanielSWolf/rhubarb-lip-sync,92,128,4,305,2450,129430,629649
yourWaifu/sleepy-discord,91,240,4.8,510,3593,4243,22936
steineggerlab/foldseek,91,277,5.6,629,3779,49141,419350
Matheus-Garbelini/esp32_bluetooth_classic_sniffer,91,724,2.7,272,5841,261435,520998
zxing-cpp/zxing-cpp,90,308,5.3,211,2008,6571,51589
pcloudcom/console-client,90,1134,3.4,497,4043,95713,257257
Rubberduckycooly/Sonic-1-2-2013-Decompilation,90,258,4.7,260,950,618,38293
util-linux/util-linux,89,-1,7.6,570,4726,34012,172731
openocd-org/openocd,88,-1,4.6,668,5395,44028,247254
cgsecurity/testdisk,88,241,6.4,160,1307,28306,85641
y123456yz/reading-and-annotate-mongodb-3.6,87,12,1.4,740,2188,804371,2861087
wangfenjin/simple,87,0,3.3,478,4008,85421,161368
rbfx/rbfx,87,1442,5.5,998,8112,524497,2849967
riscv-collab/riscv-openocd,86,-1,5.1,684,5581,44859,253856
moai/moai-dev,86,749,2.7,540,4737,255370,996106
enginmanap/limonEngine,86,452,3.2,567,4453,21575,97625
HaxeFoundation/hashlink,86,0,5.2,252,2132,134407,362988
nowar-fonts/Warcraft-Font-Merger,85,1044,3.8,134,1117,9970,49961
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,85,88,6.4,234,1072,5973,40191
SapphireServer/Sapphire,85,19,5.8,179,6323,28208,204988
open-mpi/hwloc,84,43,6.3,319,1465,13499,60314
floe/backscrub,84,17,4.6,1050,5972,284,1622
xaos-project/XaoS,83,0,5,61,584,2246,26738
iondbproject/iondb,83,220,5.9,59,998,10421,18905
monitoring-plugins/monitoring-plugins,82,92,6.1,96,376,18312,76441
milkytracker/MilkyTracker,82,490,4.3,203,1853,23809,179443
networkupstools/nut,81,380,6.7,391,2104,34869,121115
markaren/threepp,81,1044,5.6,201,3105,34830,215383
liballeg/allegro5,81,537,6.2,224,2875,19465,148512
iqiyi/dpvs,81,158,5.2,147,1149,19614,119904
OpenMS/OpenMS,81,55,3.9,1114,10413,250803,980907
oNaiPs/droidVncServer,80,321,2.4,189,1215,92938,307057
jmk-foofus/medusa,80,112,5.2,74,258,3595,19048
fhanau/Efficient-Compression-Tool,80,262,4,234,1148,6125,19169
esmini/esmini,80,296,5.2,175,1629,9291,83435
syoyo/tinygltf,79,238,6.5,28,231,37651,192900
POV-Ray/povray,78,578,3.5,220,1324,249411,984333
drowe67/codec2-dev,77,0,4.8,85,550,15994,130993
Blizzard/s2client-api,77,0,4.6,410,4759,1956,17002
su2code/SU2,76,84,5.8,59,419,288581,490874
ermig1979/Simd,76,0,5.2,457,5460,31919,265725
varnishcache/varnish-cache,75,345,5.7,1344,2985,26904,110250
opentomb/OpenTomb,75,58,4,180,2546,69628,286954
obgm/libcoap,75,-1,6.4,179,717,13973,54243
galkahana/HummusJS,75,493,5.4,268,2453,78920,238635
godlikepanos/anki-3d-engine,74,623,3.4,789,8936,295811,1888744
alibaba/GaiaX,74,244,3.8,90,548,7910,89046
vittorioromeo/SSVOpenHexagon,73,0,3.4,404,4762,99868,229526
polardb/polardbx-engine,73,521,1.3,1454,16300,1220875,4193030
Gargaj/Bonzomatic,73,76,3,175,1985,41552,243925
yvt/openspades,72,119,4.7,516,3942,23492,133455
symforce-org/symforce,72,86,5.6,38,945,25423,182385
openvswitch/ovs,72,-1,5.8,629,9000,64912,310344
nature-lang/nature,72,71,3.6,154,1323,6865,36247
distcc/distcc,72,47,5.6,65,503,8527,27983
benikabocha/saba,72,-1,4.5,128,1694,51861,238063
ptpd/ptpd,71,26,4.6,49,438,5582,25335
mirror/ncurses,71,64,4.3,113,806,28482,100498
KqSMea8/AirplayServer,70,1150,3.6,419,1793,89350,264972
DeutscheKI/tevr-asr-tool,70,159,3.7,1121,7291,6,288
DeaDBeeF-Player/deadbeef,70,1147,5.3,419,1793,153121,629214
nihui/waifu2x-ncnn-vulkan,69,0,3.9,332,2372,1812,9596
CoolProp/CoolProp,69,51,5,144,1545,13741,55661
0ad/0ad,69,0,3.8,246,1770,390881,1114542
vgmtrans/vgmtrans,68,122,4.6,156,1445,14170,84022
uclouvain/openjpeg,68,384,5.2,283,1855,44993,164381
nihui/realsr-ncnn-vulkan,68,0,3.8,333,2370,1811,9451
nihui/realcugan-ncnn-vulkan,68,0,3.8,362,2532,1887,12058
DentonW/DevIL,68,308,4.8,268,1566,10392,65470
kosua20/MIDIVisualizer,67,432,3.9,205,1973,41460,169933
LouisBrunner/valgrind-macos,67,-1,5,1125,7850,142043,821262
Aloshi/EmulationStation,67,16,4.5,52,1253,2352,79054
wseemann/FFmpegMediaPlayer,66,426,1.9,476,3666,61725,215299
shibatch/sleef,66,0,6.7,20,324,2866,50694
mstorsjo/fdk-aac,66,1133,4.6,429,1786,59353,128597
liuyubobobo/Play-Leetcode,66,117,,,,,
hzqst/unicorn_pe,66,76,4.5,1164,18316,85505,518473
tsl0922/ImPlay,65,122,5,297,2576,28059,176397
mattgodbolt/zindex,65,-1,4.8,170,1451,60781,114269
colobot/colobot,65,11,6.1,261,2527,25470,134625
OGRECave/ogre,65,565,6,370,5889,124418,362207
tfussell/xlnt,64,101,2.9,567,5142,15192,59335
nihui/rife-ncnn-vulkan,64,0,3.8,355,2434,1898,12735
nihui/dain-ncnn-vulkan,64,0,3.8,337,2405,1853,10286
lwip-tcpip/lwip,64,120,6,1227,3699,44590,109858
drolbr/Overpass-API,64,-1,5.3,164,1725,8380,82331
NVIDIAGameWorks/RTX-Path-Tracing,64,280,2.9,224,2325,65869,289759
prusa3d/Prusa-Firmware-Buddy,63,421,3.4,866,9035,897960,1604387
libtcod/libtcod,62,347,4.7,77,931,25970,68153
sysstat/sysstat,61,46,6.4,103,700,23634,49311
Murmele/Gittyup,61,0,5.7,632,7121,13652,69151
realm/realm-core,60,0,5.2,616,8089,108745,677352
asset-group/5ghoul-5g-nr-attacks,60,208,1.1,165,2353,145028,451134
LAStools/LAStools,60,705,5.5,221,1533,12276,115115
ComodoSecurity/openedr,60,275,2.9,258,2829,945841,4659928
AMReX-Codes/amrex,60,278,6.2,148,1197,28899,263086
kanryu/quickviewer,59,1220,2.1,396,2967,40048,425308
chexiongsheng/build_xlua_with_libs,59,-1,3,58,1819,34515,250521
amsynth/amsynth,59,27,3.9,14,254,2091,9480
zynaddsubfx/zynaddsubfx,58,2,4.8,80,1994,8751,46904
picolibc/picolibc,58,206,5.5,99,802,104302,369292
linuxmint/warpinator,58,1424,4.8,379,5406,246128,953267
libjpeg-turbo/libjpeg-turbo,58,182,6.5,138,770,18683,62699
cmusphinx/pocketsphinx,58,215,5,149,1210,23226,57773
STMicroelectronics/STM32CubeH7,58,0,5.4,303,819,774199,5874293
LibVNC/libvncserver,58,171,6.5,79,494,8089,43112
galkahana/PDF-Writer,57,929,5.1,336,3015,95409,293920
MobilityDB/MobilityDB,57,384,7.1,212,3856,74459,151087
wb2osz/direwolf,56,87,5.9,172,690,32525,59145
schismtracker/schismtracker,56,270,5.2,181,1375,10341,58578
niessner/VoxelHashing,56,0,2.4,12,420,142320,578128
airbus-cert/Yagi,56,0,3.8,233,2806,1791,5873
RoaringBitmap/CRoaring,56,21,7,59,957,8322,41129
paullouisageneau/libdatachannel,55,-1,5.8,310,1949,2521,21769
glassechidna/zxing-cpp,55,674,4.8,65,578,8644,27844
dog-qiuqiu/MobileNet-Yolo,55,161,3,70,755,6226,44630
bambulab/BambuStudio,55,128,4.5,335,2270,157128,846480
Samsung/TizenRT,55,33,4.2,673,7102,1602258,3611645
ProtonVPN/android-app,55,2336,4.3,716,3701,222005,925366
torognes/vsearch,54,123,5,69,341,6371,30531
projectM-visualizer/projectm,54,0,5.9,77,616,18954,76609
parallel101/course,54,0,1.8,20,954,34071,136906
neka-nat/cupoch,54,461,4.3,245,1854,53674,240661
nativeformat/NFHTTP,54,-1,3.7,304,2417,74732,134313
mariotaku/moonlight-tv,54,272,4.8,235,2128,1323,18647
diffblue/cbmc,54,47,5.4,781,6278,71919,496641
ppwwyyxx/OpenPano,53,323,3.9,29,280,13904,63557
monero-project/monero-gui,53,0,5.9,664,4492,3106,34333
magiblot/tvision,53,221,4.8,30,828,5944,42094
alliedmodders/sourcemod,53,85,5.5,133,625,146658,390990
AlexandreRouma/SDRPlusPlus,53,630,4.8,150,1649,23908,119753
zeromq/czmq,52,202,4.8,92,814,22703,50667
openpilot/OpenPilot,52,0,2.4,14,530,280062,623416
exult/exult,52,603,5.3,222,2536,32585,161132
USCiLab/cereal,52,237,5,2,23,10724,30813
yodaos-project/yodaos,51,227,2,233,2097,675691,3233648
oscarpilote/Ortho4XP,51,65,3.8,24,91,12847,41534
muse-sequencer/muse,51,0,4.5,621,5042,74838,265894
linux-rdma/rdma-core,51,0,6.8,234,3890,22782,167239
dankamongmen/notcurses,51,-1,6.1,190,1087,7708,94182
Netflix/msl,51,642,4.4,325,2628,36109,90802
turbolent/w2c2,50,663,3.8,54,524,2271,120466
thedmd/imgui-node-editor,50,49,4,123,1166,11600,60634
seladb/PcapPlusPlus,50,582,4.7,180,1408,27989,89528
lethal-guitar/RigelEngine,50,367,4.4,165,1958,21774,102824
horsicq/XMachOViewer,50,53,5,751,10768,160,545
horsicq/DIE-engine,50,44,5,638,10249,327,995
geany/geany,50,-1,6.4,573,5652,34199,229254
akumuli/Akumuli,50,0,3.2,104,1300,10779,55667
SIPp/sipp,50,31,5.6,69,532,5247,31518
Rubberduckycooly/Sonic-CD-11-Decompilation,50,112,4.9,190,730,743,27127
RedisLabs/redisraft,50,498,5.7,99,868,6584,32917
martijnvanbrummelen/nwipe,49,87,6.3,42,221,5105,16668
google/sandboxed-api,49,240,6.8,427,5178,8753,39311
axiomatic-systems/Bento4,49,605,5.8,110,1148,23040,61356
Tom94/tev,49,0,5.4,193,2102,815,10052
twitter/pelikan,48,280,4.8,404,1292,7384,38677
tats/w3m,48,-1,4.1,235,1161,2058,60077
smasherprog/screen_capture_lite,48,186,4.8,85,1057,18040,70908
never-lang/never,48,16,5.4,54,763,3159,31606
mitsuba-renderer/mitsuba3,48,7,5.8,426,4581,18027,71639
logicalclocks/rondb,48,251,5.5,150,1709,1232372,3820036
elfmz/far2l,48,163,5.7,589,5132,42944,400871
davidmoreno/onion,48,0,5.8,82,440,7074,18025
chirlu/sox,48,-1,4.3,113,760,13152,41166
azkadev/whisper_dart,48,156,4.2,304,1600,11923,59041
VladyslavUsenko/basalt-mirror,48,-1,3.9,109,1290,13228,56357
PCRE2Project/pcre2,48,233,5.8,66,198,15499,97410
LomoX-Offical/nginx-openresty-windows,48,451,0,152,809,159973,756975
DFHack/dfhack,48,0,5.2,292,4913,34609,178033
Azure/azure-iot-sdk-c,48,959,7.1,1076,3778,31244,215633
AcademySoftwareFoundation/openexr,48,1439,8.5,259,1945,25229,227551
osqp/osqp,47,55,5.6,54,670,5527,20622
can1357/NoVmp,47,2,3.6,244,3440,2121,4247
KhronosGroup/OpenCL-SDK,47,14,5,47,661,1143,28478
Jaysmito101/TerraForge3D,47,14,4.8,301,3169,7733,35395
Apress/Ray-Tracing-Gems-II,47,140,2.5,95,1274,72667,279470
stella-emu/stella,46,325,6.9,89,2402,167977,356950
openglonmetal/MGL,46,92,4.8,41,563,33746,190445
aetilius/pHash,46,162,5.5,2,15,10472,82539
ZDoom/gzdoom,46,337,4.8,183,1333,115983,653822
ZDoom/Raze,46,337,3.7,183,1333,115456,667831
ShadowsocksR-Live/shadowsocksr-native,46,1913,3.8,260,2548,2167,19689
SRombauts/SQLiteCpp,46,-1,4.6,456,3841,89868,163669
shadowsocksr-backup/shadowsocksr-libev,45,210,3.9,100,1170,8570,60085
encryptogroup/ABY,45,-1,4.3,55,773,5468,19993
dalerank/nanogui-sdl,45,118,5.8,12,309,4718,49099
bytedance/terarkdb,45,245,4.3,357,4947,60741,321783
David-Haim/concurrencpp,45,0,4.3,0,2379,488,16604
0xnobody/vmpattack,45,0,3.6,242,3401,1650,3186
switch-iot/hin2n,44,177,2.3,82,560,11738,30264
quickjs-ng/quickjs,44,659,6.2,216,1549,4713,87871
openctp/openctp,44,63,4.3,12,313,110985,134583
openai/retro,44,539,2.6,230,2355,250889,897543
lockedbyte/CVE-Exploits,44,263,1.9,408,1754,103839,462830
holzschu/ios_system,44,0,3.8,344,1911,134091,485189
helloexp/0day,44,263,0.5,407,1752,114368,542301
StereoKit/StereoKit,44,346,5,76,1429,21813,180559
vtil-project/VTIL-Core,43,1,5.2,244,3386,11581,109262
rism-digital/verovio,43,-1,6,701,6671,75017,262985
maplibre/maplibre-native,43,-1,6,394,4594,132974,366917
eteran/c-vector,43,31,5.8,19,38,363,1737
Speek-App/Speek,43,336,3.2,108,1733,24189,95459
