repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
DynamoRIO/drmemory,287,-1,0,4.7,811,5441,28683,134462
freesurfer/freesurfer,286,5,0,4.8,2142,10056,243710,1261397
casadi/casadi,285,11,0,5.5,388,4339,87214,185777
julius-speech/julius,278,339,97,5.7,198,1361,76584,175580
TASEmulators/fceux,276,153,0,5.8,232,3542,43320,249888
SWI-Prolog/swipl-devel,273,-1,0,7.4,469,4182,22003,156758
OpenSmalltalk/opensmalltalk-vm,267,2366,582,5,353,4610,953995,4317219
DarkflameUniverse/DarkflameServer,265,0,0,8.1,408,5412,88775,234751
wheybags/freeablo,259,-1,2583,4.9,1323,9084,212090,975094
LiangliangNan/Easy3D,259,0,0,5.6,551,4088,122020,480572
openbabel/openbabel,254,171,0,5.9,853,3515,66048,306547
csound/csound,254,0,2,3.6,511,4210,42127,212659
SerenityOS/jakt,248,-1,0,6.9,428,2306,2806,142733
simbody/simbody,246,-1,0,5.2,402,4220,118684,269106
muhanzhang/SEAL,244,-1,487,3.7,308,897,11981,75251
coronalabs/corona,241,-1,136,4.9,762,9009,340648,1045053
ring-lang/ring,238,-1,2009,5.7,1097,6784,324113,2035697
TheAssemblyArmada/Thyme,238,-1,0,6.9,529,4099,34900,256710
bminor/binutils-gdb,237,-1,2213,7.3,367,3620,559896,3018148
seemoo-lab/nexmon,236,-1,2000,5.3,3237,29777,1060255,5509333
trailofbits/cb-multios,235,-1,-1,5.6,2172,35525,420695,6908805
qicosmos/iguana,233,-1,0,6.8,20,455,4249,29275
xapian/xapian,232,-1,-1,5.8,1932,10252,43384,124114
libigl/libigl,227,-1,0,6.5,495,4569,30821,108613
steveicarus/iverilog,222,-1,915,7,401,5075,37833,172943
vhelin/wla-dx,219,-1,0,6.6,164,469,3729,55057
openvenues/libpostal,213,-1,-1,6.4,185,1184,6738,583230
bluekitchen/btstack,212,-1,73,6.8,610,13792,619357,1254408
agraef/purr-data,212,321,1074,4.6,263,3570,128773,726522
cfengine/core,211,3511,799,7.2,243,2859,19555,126424
thalium/icebox,208,-1,366,3.4,1600,16470,1782023,5653522
OpenVisualCloud/SVT-HEVC,208,41,0,5.5,336,1211,18026,128202
lammps/lammps,206,132,0,7.9,698,3616,262449,1171375
surge-synthesizer/surge,205,0,0,6.2,483,5209,105656,328713
Hamlib/Hamlib,204,15329,489,6.8,819,3776,49257,232728
dethrace-labs/dethrace,200,-1,0,6.3,386,5443,13607,198125
containers/crun,198,0,567,7.6,267,1116,2486,25138
Themaister/Granite,198,-1,280,6.5,1752,15201,17271,124935
stclib/STC,197,-1,0,6.3,3,152,3572,22340
Sneeds-Feed-and-Seed/sneedacity,193,-1,1138,4.9,623,4724,246869,888773
ETLCPP/etl,193,0,0,6.3,6154,23584,67218,230609
beefytech/Beef,191,61,29,5.8,279,1966,157761,701099
cyrusimap/cyrus-imapd,187,-1,-1,7.1,535,3507,54071,275331
vermaseren/form,183,87,515,5.5,601,1512,31195,126471
lagadic/visp,183,0,0,6.5,521,5670,185788,546233
eclipse-iceoryx/iceoryx,182,90,29,6.9,3,576,33059,117228
ablab/spades,181,237,0,4.2,557,3285,230221,1051411
bjornbytes/lovr,178,0,213,5.9,538,5674,13548,121327
keith2018/SoftGLRender,175,396,521,4.5,777,6409,156586,752107
samtools/htslib,172,1268,1024,7.8,329,1591,16025,60656
pmq20/ruby-packer,172,-1,402,4,276,1759,182644,1447379
Ettercap/ettercap,172,-1,0,7.4,195,1157,19548,58324
LabSound/LabSound,170,12,0,6.4,72,738,6502,40170
mit-biomimetics/Cheetah-Software,169,-1,0,6,2,380,36420,96346
adventuregamestudio/ags,169,2324,6,5.9,540,7456,98293,321239
etlegacy/etlegacy,168,-1,0,6,924,7477,100325,364863
navit-gps/navit,167,-1,0,7.3,275,2219,39948,183742
wiredtiger/wiredtiger,166,3,0,7.2,1392,3703,73700,169437
SatDump/SatDump,166,-1,0,5.4,805,6451,79698,379987
SchedMD/slurm,165,-1,12299,7.6,1794,8563,120830,492709
NVIDIAGameWorks/Path-Tracing-SDK,165,114,0,4.9,648,6934,65339,288032
OpenVSP/OpenVSP,164,0,0,6.3,944,5095,81276,445732
WolfireGames/overgrowth,161,-1,122,5.7,779,4065,384416,2331673
google/tensorstore,160,-1,-1,8.4,2536,27992,58513,213962
bytecodealliance/wasm-micro-runtime,158,-1,0,6.3,564,6399,20949,152340
sheredom/utf8.h,157,-1,0,5.6,44,314,517,3715
adaptech-cz/Tesseract4Android,156,1897,2697,6.5,1305,6055,171572,448735
yasm/yasm,154,713,357,6.8,134,1122,13344,55781
tcltk/tcl,154,-1,1031,6.1,791,2864,115978,223917
kangjianwei/Data-Structure,150,-1,0,5.9,76,2347,46388,103628
catsout/wallpaper-engine-kde-plugin,150,0,428,6.3,518,3484,50480,243618
nmwsharp/polyscope,149,0,274,6.2,437,5362,22590,244368
bigartm/bigartm,149,0,294,5.4,574,9836,85838,311660
yrnkrn/zapcc,147,-1,1,3.7,4415,43165,894807,2602717
renard314/textfairy,146,438,2153,4.4,972,4204,161955,405257
kushview/element,146,0,-1,5.7,83,2685,18150,113925
adishavit/argh,146,0,0,6.8,25,35,652,6106
microsoft/msix-packaging,145,6407,1557,7.1,1092,9825,156062,786241
ddiakopoulos/libnyquist,145,0,0,7.6,50,266,35503,151182
Polidea/SiriusObfuscator,145,1,1,4.2,3182,27492,1166840,3908540
toggl-open-source/toggldesktop,143,-1,0,3.2,677,8587,245078,1080983
eclipse/omr,143,349,0,6.2,386,3057,206760,785506
ARM-software/vulkan_best_practice_for_mobile_developers,141,-1,0,6.5,1087,8569,6555,21927
erich666/GraphicsGems,140,-1,0,6.3,124,1103,15735,53739
samba-team/samba,139,-1,-1,8.2,1545,13800,405695,1909105
krb5/krb5,139,-1,1066,6,425,4661,74992,304755
kdave/btrfs-progs,139,2635,-1,5.5,390,1874,17322,114572
qcad/qcad,136,-1,0,7.6,1261,9480,266812,1539762
squid-cache/squid,133,1917,-1,7.1,660,5312,50924,208695
mgerhardy/vengi,133,-1,0,5.5,1030,8287,151605,904731
Try/OpenGothic,133,-1,0,6.8,571,6867,2047,59529
GoSSIP-SJTU/Armariris,133,-1,1,5.1,3926,37118,720083,2092898
ptitSeb/box64,131,-1,0,5.5,355,6340,35454,171600
punesemu/puNES,130,1507,-1,5.4,880,8354,113815,719297
flomesh-io/pipy,129,-1,386,4.8,321,5140,134443,880409
NVIDIA/Q2RTX,129,-1,1,6,715,6843,21623,148367
open-mpi/hwloc,128,-1,-1,7.6,336,1451,13882,62944
metartc/metaRTC,128,-1,0,6.8,45,1116,135227,156703
Yixin-Hu/TetWild,127,143,904,6.2,191,1931,2254,9971
espeak-ng/espeak-ng,126,-1,0,6,105,546,4980,45428
coin-or/Ipopt,126,3584,305,6.9,87,792,24122,99324
nfs-ganesha/nfs-ganesha,125,0,0,7,837,2920,66214,171646
JoshMarler/react-juce,125,417,0,4.4,0,7,67544,215327
MaJerle/stm32-usart-uart-dma-rx-tx,124,-1,0,5.3,225,1820,1749786,4546178
neoml-lib/neoml,122,0,0,6.8,607,10262,23199,141560
OpenXRay/xray-16,122,0,69,4.6,944,16696,137057,795951
soedinglab/hh-suite,121,-1,0,4.4,83,331,16529,168548
leo-arch/clifm,121,256,0,5.6,167,1075,8528,53464
thiagoralves/OpenPLC_v3,117,344,375,5.8,75,1001,73393,210011
mfem/mfem,117,0,0,7.5,738,4021,58178,370529
ampl/gsl,116,1852,288,6.2,365,2537,64086,297809
StanfordLegion/legion,116,0,0,5.9,439,4720,65774,373056
MirrorYuChen/ncnn_example,116,15,242,5.7,568,2849,75208,458526
DanBloomberg/leptonica,116,1103,1564,5.7,967,3951,96679,197303
DISTRHO/DPF,115,-1,0,3.4,5,371,21362,102791
freebayes/freebayes,114,0,-1,5.3,260,1559,11005,130486
tenable/routeros,113,-1,0,6.2,87,1391,2451,11473
pure-data/pure-data,113,-1,899,7.4,203,2187,16769,104385
tunabrain/tungsten,111,-1,0,5.5,135,1999,20115,226213
rsummers11/CADLab,111,-1,0,3.5,102,714,49780,249583
Qihoo360/QConf,111,-1,114,4.8,669,4131,70495,217831
KhronosGroup/KTX-Software,110,202,259,4.8,749,3598,110054,397716
ptitSeb/box86,109,-1,0,5.3,335,5064,34757,143780
ultimatepp/ultimatepp,108,-1,-1,6.6,637,7784,220526,1219203
TASEmulators/desmume,107,158,-1,4.6,659,6064,121095,459657
joncampbell123/dosbox-x,106,-1,1048,6.4,579,4170,287254,1590063
r-lyeh-archived/scriptorium,105,24,0,5,328,2946,430151,1651306
mltframework/mlt,105,40,0,5.5,186,1631,23201,104249
PolygonTek/BlueshiftEngine,105,339,12,4.6,390,2629,239889,904850
openvswitch/ovs,104,9821,3578,6.4,612,8870,64082,304655
open5gs/open5gs,103,-1,0,5.5,2391,14657,90216,1066314
libnice/libnice,103,0,-1,6.2,1457,12273,13703,38173
emqx/nanomq,103,-1,0,6.1,236,2724,1608,20063
sleuthkit/sleuthkit,102,-1,526,7.8,395,2435,93678,196198
GNOME/libxml2,102,3195,-1,7.2,547,3593,56469,211431
DiligentGraphics/DiligentCore,102,-1,306,5.1,1534,11084,57998,251883
Cisco-Talos/pyrebox,102,0,112,4.8,412,2423,305189,1660669
vgmstream/vgmstream,101,701,0,4.8,285,1858,42253,145085
gideros/gideros,101,-1,712,5.2,308,2236,536204,1717835
util-linux/util-linux,100,0,-1,8,597,4063,32339,161465
acassen/keepalived,100,104,177,6.7,171,1363,11074,66624
FreeTDS/freetds,100,-1,0,6.3,178,1014,17729,96771
septag/rizz,99,-1,121,5.6,311,2749,27876,196511
mgerdes/Open-Golf,99,-1,0,5.1,258,2159,29148,160897
gwaldron/osgearth,98,29,0,5.6,26,211,91596,566226
OpenBoardView/OpenBoardView,98,384,0,6.5,281,2547,72315,132851
OGRECave/ogre-next,98,-1,0,5.6,283,4770,161240,462381
symengine/symengine,97,0,0,6.1,65,1315,14715,111351
raspberrypi/rpi-imager,97,-1,574,5.2,854,5183,115825,412699
kohler/click,96,-1,905,5.2,265,2829,66633,243252
saghul/txiki.js,95,-1,191,6.2,445,3681,4966,121418
vifm/vifm,93,-1,-1,7.6,119,3681,27350,170952
raspberrypi/userland,93,-1,0,7.2,381,2752,53488,146586
qhull/qhull,93,-1,0,6.9,270,1010,19938,57549
DanielSWolf/rhubarb-lip-sync,93,4,10,4.5,305,2450,129430,629649
yourWaifu/sleepy-discord,91,0,0,5.6,510,3593,4243,22936
esmini/esmini,91,17,271,5.6,162,1554,8655,75794
TorqueGameEngines/Torque3D,91,-1,770,5,1018,7050,562002,1930483
MayaPosch/NymphCast,91,0,0,6.1,587,3031,25763,174592
y123456yz/reading-and-annotate-mongodb-3.6,87,2622,-1,4.5,740,2188,804371,2861087
openocd-org/openocd,87,-1,-1,5,646,5226,41274,235893
proftpd/proftpd,86,-1,306,6.5,262,1934,40057,242421
cgsecurity/testdisk,86,273,243,6.9,161,1297,26654,85081
SapphireServer/Sapphire,85,0,0,6.4,179,6229,27900,203303
turbolent/w2c2,84,-1,0,6.1,46,456,2136,115700
facebookresearch/habitat-sim,84,491,36,8.8,712,7640,28665,111449
iondbproject/iondb,83,-1,0,7.3,59,998,10421,18905
phaag/nfdump,82,-1,148,6,111,786,12291,61165
milkytracker/MilkyTracker,82,-1,0,6.4,202,1849,23809,178907
HaxeFoundation/hashlink,82,-1,0,5.8,252,2122,133933,361910
enginmanap/limonEngine,81,5,0,6.3,562,4397,21575,97622
oNaiPs/droidVncServer,80,2990,321,5,189,1215,92938,307057
liballeg/allegro5,80,0,0,6.8,219,2856,19266,147079
lballabio/QuantLib,80,-1,-1,6.4,360,4100,76890,393371
iqiyi/dpvs,80,106,155,7.3,148,1143,19469,116204
fhanau/Efficient-Compression-Tool,80,62,0,4.8,234,1148,6120,19160
Blizzard/s2client-api,80,0,0,6.5,410,4759,1956,17002
projectchrono/chrono,79,1685,0,6.6,202,2949,158099,495471
panda3d/panda3d,79,-1,0,4.3,11,399,194780,638730
networkupstools/nut,79,-1,333,6.7,360,1875,30688,108574
monitoring-plugins/monitoring-plugins,79,-1,91,6.6,95,372,18210,75655
POV-Ray/povray,78,-1,578,4.3,220,1324,249411,984333
godlikepanos/anki-3d-engine,77,0,-1,3.6,789,8936,293343,1833614
drowe67/codec2,77,0,0,6.5,85,550,15994,130993
curv3d/curv,77,-1,0,3.9,204,2598,26745,95592
varnishcache/varnish-cache,76,1680,339,6.1,1326,2932,26761,109324
su2code/SU2,76,0,0,6.1,59,419,283700,485795
DentonW/DevIL,76,0,0,6.6,268,1566,10392,65470
opentomb/OpenTomb,75,-1,0,5.8,180,2546,69628,286954
kosua20/MIDIVisualizer,75,0,0,4.6,202,1946,40825,164543
galkahana/HummusJS,75,0,0,6,268,2453,78920,238635
ermig1979/Simd,75,0,0,5.4,479,5838,33908,288410
CloudCompare/CloudCompare,75,0,0,5.7,221,974,70759,267805
vittorioromeo/SSVOpenHexagon,73,138,-1,5.1,404,4762,99868,229526
galkahana/PDF-Writer,73,0,0,6.3,293,2757,93636,272728
distcc/distcc,73,1484,47,6.3,65,502,8508,27937
Gargaj/Bonzomatic,73,227,0,4.9,175,1985,35729,232907
yvt/openspades,72,0,0,6,516,3942,23492,133455
symforce-org/symforce,72,0,0,6.3,38,945,24692,175099
pineappleEA/pineapple-src,72,-1,164,3.4,545,3917,391404,2376243
ptpd/ptpd,71,307,26,6.5,49,438,5582,25335
nihui/waifu2x-ncnn-vulkan,71,0,0,4.5,332,2372,1812,9596
eclipse/wakaama,71,-1,0,7.7,282,1866,3394,28448
drolbr/Overpass-API,71,-1,385,7.6,169,1715,8309,83192
nihui/realsr-ncnn-vulkan,70,0,0,4.4,333,2370,1811,9451
nihui/realcugan-ncnn-vulkan,70,0,0,4.4,362,2532,1887,12058
miranda-ng/miranda-ng,70,-1,0,6.4,921,15725,528929,2301436
OGRECave/ogre,70,147,0,6.4,367,5813,124849,362947
DeaDBeeF-Player/deadbeef,70,1721,1147,6.1,419,1793,152235,623703
lc-soft/LCUI,69,967,313,3.6,45,1001,8633,44730
colobot/colobot,69,0,0,6,263,2564,33400,155741
0ad/0ad,69,0,0,5.7,246,1770,390332,1112170
uclouvain/openjpeg,68,837,0,6.1,283,1855,45046,164386
moai/moai-dev,68,-1,590,5,522,4623,255370,996106
Embroidermodder/Embroidermodder,68,0,0,4.9,291,2629,50615,171616
CESNET/UltraGrid,68,322,0,5.2,207,1949,47483,134109
Aloshi/EmulationStation,68,-1,0,6.4,52,1253,2352,79054
wseemann/FFmpegMediaPlayer,66,1611,426,4.1,476,3666,61725,215299
syoyo/tinygltf,66,29,0,7,26,212,37526,192394
nihui/rife-ncnn-vulkan,66,0,0,4.4,355,2434,1898,12735
nihui/dain-ncnn-vulkan,66,0,0,4.4,337,2405,1853,10286
mstorsjo/fdk-aac,66,1402,1133,4.8,429,1786,59106,128102
lwip-tcpip/lwip,66,0,0,7.6,1217,3688,44506,109451
MRPT/mrpt,66,-1,0,6.1,323,8696,135084,650266
DefTruth/lite.ai.toolkit,66,-1,0,3.9,21,1148,55222,174021
tildearrow/furnace,65,1027,74,5.7,930,7671,72874,788085
riscv-software-src/riscv-isa-sim,65,15,16328,6.8,4880,10304,13108,47391
pbek/QOwnNotes,65,0,0,3.7,610,7646,30063,165795
nmap/ncrack,65,-1,446,4.3,103,1075,32435,85130
mattgodbolt/zindex,65,-1,0,6.6,170,1451,60781,114269
liuyubobobo/Play-Leetcode,65,-1,0,,,,,
LouisBrunner/valgrind-macos,65,-1,-1,5.8,1123,7841,140814,814972
BespokeSynth/BespokeSynth,65,0,876,7.3,190,3101,28544,175466
tfussell/xlnt,64,0,0,5.4,567,5147,15192,59335
libjxl/libjxl,64,-1,1891,7,483,2653,17049,131180
CoolProp/CoolProp,64,0,0,5,144,1515,13623,55231
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,63,64,0,6.4,199,925,5334,34438
libtcod/libtcod,62,373,224,5,79,986,26396,68092
sysstat/sysstat,61,66,46,7.5,102,701,23634,49199
wb2osz/direwolf,60,-1,0,6.4,157,634,29351,53970
liblava/liblava,60,-1,0,5.5,539,5566,8052,17161
OAID/AutoKernel,60,-1,0,6.3,4,147,16274,57268
ComodoSecurity/openedr,60,0,-1,5.4,258,2829,946466,4659303
RoaringBitmap/CRoaring,59,0,11,7.7,56,861,6888,33241
AlexandreRouma/SDRPlusPlus,59,0,0,5.7,147,1605,23602,117163
zynaddsubfx/zynaddsubfx,58,-1,0,5.9,80,1985,8726,46587
torognes/vsearch,58,-1,127,6.5,70,338,6335,30405
libjpeg-turbo/libjpeg-turbo,58,185,0,7.6,138,772,18636,62490
cmusphinx/pocketsphinx,58,-1,0,5.8,149,1210,23225,57765
LibVNC/libvncserver,58,0,173,7.3,79,492,8188,43865
facebook/mysql-5.6,57,1639,185,8.4,93,1059,411173,1732497
chexiongsheng/build_xlua_with_libs,57,-1,0,3.4,58,1803,34494,248430
bambulab/BambuStudio,57,0,0,4.8,333,2242,144407,755271
projectM-visualizer/projectm,56,0,0,6.7,61,573,20221,87609
niessner/VoxelHashing,56,0,0,5.2,12,420,142320,578128
Samsung/TizenRT,56,-1,0,6.4,673,7102,1361380,3068781
prusa3d/Prusa-Firmware-Buddy,55,0,0,5.5,909,8216,887037,1495724
glassechidna/zxing-cpp,55,-1,0,6.6,65,578,8644,27844
dog-qiuqiu/MobileNet-Yolo,55,-1,0,5.5,70,755,6226,44630
ProtonVPN/android-app,55,-1,2072,6.2,667,3584,215795,884721
schismtracker/schismtracker,54,530,276,5.8,182,1362,10300,58511
parallel101/course,54,0,0,7.1,20,955,34060,135617
neka-nat/cupoch,54,0,0,5.1,245,1854,53577,240467
nativeformat/NFHTTP,54,-1,-1,6.7,304,2417,74732,134313
dankamongmen/notcurses,54,669,0,6.8,189,1085,7701,94155
RedisLabs/redisraft,54,0,18,6.7,110,1074,8662,36397
skylersaleh/SkyEmu,53,0,0,5.3,610,4884,89828,915274
ppwwyyxx/OpenPano,53,-1,0,5.7,29,280,14604,69720
monero-project/monero-gui,53,-1,0,6.3,651,4465,3106,34311
alliedmodders/sourcemod,53,-1,85,6.5,133,625,146639,390816
WAVM/WAVM,53,44,0,5.5,113,3820,9889,75790
Esenthel/EsenthelEngine,53,-1,305,5.6,350,1685,796070,3970197
exult/exult,52,847,567,5.5,212,2532,32188,151050
USCiLab/cereal,52,0,0,6.1,2,23,10724,30813
SRombauts/SQLiteCpp,52,0,0,7.5,438,3709,88041,158348
yodaos-project/yodaos,51,-1,121,2.7,233,2097,675691,3233648
seladb/PcapPlusPlus,51,1148,0,5.5,139,1340,26688,84305
realm/realm-core,51,758,0,5.6,531,7219,103094,642841
muse-sequencer/muse,51,12,0,5.1,621,4963,74344,262448
magiblot/tvision,51,648,0,5.6,32,806,5888,41209
geany/geany,51,1391,-1,6.6,534,5506,33371,224352
akumuli/Akumuli,51,-1,0,5.4,104,1301,10779,55667
Netflix/msl,51,-1,0,6.3,325,2628,36109,90802
DFHack/dfhack,51,-1,0,5.7,279,4591,32852,183732
thedmd/imgui-node-editor,50,-1,0,5.8,123,1165,12409,65566
stella-emu/stella,50,-1,312,6.6,85,2372,165562,350458
rose-compiler/rose,50,2375,360,6.4,54,596,534901,3752084
root-project/root,50,0,159,4.7,145,836,1250078,4713314
ofiwg/libfabric,50,304,209,6.4,243,3206,80623,366957
maplibre/maplibre-native,50,24,-1,6.3,330,4098,116962,297229
linux-rdma/rdma-core,50,-1,0,7.4,235,3826,22653,165413
lethal-guitar/RigelEngine,50,218,363,4.5,165,1956,21774,102731
axiomatic-systems/Bento4,50,-1,0,5,109,1147,23037,61243
ton-blockchain/ton,49,-1,0,5.5,610,12288,28658,285587
Azure/azure-iot-sdk-c,49,0,0,7.3,1054,3753,30774,214218
Apress/Ray-Tracing-Gems-II,49,-1,0,5.2,95,1274,72667,279470
zeromq/czmq,48,1368,199,5.1,92,811,22619,50624
twitter/pelikan,48,210,0,5.2,404,1292,7384,38677
tats/w3m,48,-1,-1,5,235,1161,2058,60071
smasherprog/screen_capture_lite,48,13,0,6.3,85,1057,18040,70908
opentoonz/opentoonz,48,-1,793,5.6,375,2181,219637,1042157
davidmoreno/onion,48,-1,0,7.3,82,440,7074,18025
chirlu/sox,48,0,-1,6.4,113,760,13152,41166
VladyslavUsenko/basalt-mirror,48,-1,0,6.2,109,1292,13228,56357
LomoX-Offical/nginx-openresty-windows,48,653,96,3.2,152,809,159973,756975
paullouisageneau/libdatachannel,47,0,0,6.2,308,1910,2398,20333
mitsuba-renderer/mitsuba3,47,-1,0,6.5,420,4456,16732,66762
can1357/NoVmp,47,-1,0,5.9,244,3440,2121,4247
apache/trafficserver,47,-1,-1,8.1,1622,10377,97364,420182
AcademySoftwareFoundation/openexr,47,267,0,8,250,1900,23303,219824
rism-digital/verovio,46,0,0,6.7,661,6419,73155,252589
rbfx/rbfx,46,858,0,6.7,403,2782,424255,2148605
openglonmetal/MGL,46,0,0,6.7,41,554,40163,228745
aetilius/pHash,46,0,0,7.1,2,15,10472,82539
ShadowsocksR-Live/shadowsocksr-native,46,969,1913,5.8,260,2545,2166,19637
shadowsocksr-backup/shadowsocksr-libev,45,-1,0,6.2,100,1170,8570,60085
openai/retro,45,1779,-1,5.4,230,2355,250889,897543
horsicq/DIE-engine,45,0,0,5.5,517,9033,285,898
dalerank/nanogui-sdl,45,-1,0,7.5,12,309,4718,49099
bytedance/terarkdb,45,0,0,5.6,357,4947,60741,321771
PureDarwin/PureDarwin,45,-1,0,5.3,54,551,546186,1681709
switch-iot/hin2n,44,-1,0,4.8,82,560,11738,30264
paulftw/hiberlite,44,-1,0,6.5,142,1222,36,2308
lockedbyte/CVE-Exploits,44,-1,263,4.8,408,1754,103839,462830
helloexp/0day,44,-1,263,4.8,407,1752,114112,541385
LAStools/LAStools,44,23847,0,5.4,160,1029,11871,110721
vtil-project/VTIL-Core,43,-1,0,6,244,3386,11581,109262
pisa-engine/pisa,43,0,0,7.1,71,1616,1043,21951
Speek-App/Speek,43,0,0,6.4,108,1737,24189,95459
ylmbtm/GameProject3,42,-1,0,4.9,826,16561,67600,359215
jgaeddert/liquid-dsp,42,0,166,6.1,7,628,41498,113433
haka-security/haka,42,-1,0,5.7,62,605,2668,22664
gabonator/LA104,42,32,0,4.5,219,2417,98056,367694
decaf-emu/decaf-emu,42,-1,238,4.9,492,5405,14230,186376
Koihik/LuaFormatter,42,0,0,4.7,34,805,208,8091
JaCzekanski/Avocado,42,-1,0,4.4,206,1879,3273,36520
soedinglab/MMseqs2,41,56,0,5.6,364,2147,42858,316736
nmwsharp/geometry-central,41,0,0,6.5,112,1235,8250,31116
ladislav-zezula/StormLib,41,0,0,6.5,114,776,16668,48785
autobleem/AutoBleem,41,-1,0,4.5,208,1948,88850,167026
alandefreitas/matplotplusplus,41,0,0,5.4,40,611,11582,1050194
AtomicGameEngine/AtomicGameEngine,41,-1,0,4.2,482,3786,510603,1662416
0xnobody/vmpdump,41,-1,731,5.6,241,3417,743,2258
0vercl0k/wtf,41,0,0,4.4,80,995,55910,185754
pmoulon/CMVS-PMVS,40,0,292,5.1,65,299,91258,434614
kuzudb/kuzu,40,-1,0,6.5,102,2654,28548,252245
garbear/kodi-steamlink,40,1231,4,5,25,241,163289,729662
clangen/musikcube,40,0,0,6.4,275,3301,178582,310429
REDasmOrg/REDasm,40,284,0,4,158,2959,163,7724
KhronosGroup/glslang,40,57,245,7.4,230,1345,18185,98958
vlm/asn1c,39,-1,245,5.9,128,404,8990,55255
turesnake/tprPix,39,0,0,5.5,49,886,144617,349647
perilouswithadollarsign/cstrike15_src,39,-1,93,4.8,144,1621,755203,3322945
p7zip-project/p7zip,39,-1,175,4.1,442,2372,70309,416216
