repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
Geant4/geant4,371,-1,3.3,1143,13361,616465,1243629
etternagame/etterna,368,449,3.7,1858,17805,308923,1064434
jupyter-xeus/cpp-terminal,353,152,5.8,29,330,1169,7212
bluekitchen/btstack,350,474,4,1601,31998,640843,1319699
unicode-org/icu,349,1629,8.7,814,7442,240263,987403
gphoto/libgphoto2,348,846,6.8,246,1766,32258,139222
veyon/veyon,344,0,5.2,333,1233,11661,45710
klaussilveira/qengine,343,493,3.9,917,7496,75142,426378
falkTX/Carla,340,-1,3.2,195,1849,100003,407993
alexbatalov/fallout1-ce,334,293,4.3,285,2488,8321,105677
KhronosGroup/COLLADA2GLTF,332,190,3.6,2754,15104,451,7894
alexbatalov/fallout2-ce,331,319,4.8,340,2796,10877,120235
USBhost/MX_FFmpeg,330,1363,1.6,1315,7146,368156,1916109
gammu/gammu,324,0,6,247,2051,18624,111693
ellson/MOTHBALLED-graphviz,324,-1,2.9,519,3318,33441,1062670
FreeFem/FreeFem-sources,321,-1,3.3,598,3159,42114,278388
Skulltrail192/One-Core-Api-Source,315,189,2.9,287,1986,1055136,6699146
HarbourMasters/Shipwright,310,-1,5.9,1302,13511,21321,495062
bkryza/clang-uml,308,0,5.1,51,584,22593,95433
skylicht-lab/skylicht-engine,306,-1,4.4,875,8555,207819,821512
pierreguillot/Camomile,305,968,4.1,308,4304,4493,15556
adaptech-cz/Tesseract4Android,297,893,3.3,1598,8569,171861,445888
acl-dev/acl,297,679,4.1,526,9806,179768,511400
pguyot/Einstein,293,-1,2.9,492,4975,47854,108982
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20850,1679506,5601445
micmacIGN/micmac,287,0,3.1,775,12377,247950,1640421
freesurfer/freesurfer,286,1067,2.2,2185,10343,246665,1277202
casadi/casadi,284,-1,5.2,389,4375,89690,191863
lagadic/visp,277,23,6,554,6180,198003,584476
mangoszero/server,273,-1,3.9,853,9490,41361,227355
termux/termux-x11,271,0,4.8,929,5984,415,6773
Themaister/Granite,270,-1,5.4,2494,20181,17729,132643
LiangliangNan/Easy3D,270,5,5.2,570,4270,123901,499073
csound/csound,269,2,5.1,527,4145,41407,212962
OpenSmalltalk/opensmalltalk-vm,267,594,4.4,353,4610,944059,4276019
wheybags/freeablo,259,3065,2.3,1334,9141,212090,975094
openbabel/openbabel,255,95,5.3,853,3512,66068,306799
fralx/LimeReport,252,526,4.8,119,514,20228,257375
d99kris/nchat,250,205,5.8,1856,31054,108899,523549
seemoo-lab/nexmon,249,2017,4.4,3322,29912,1065497,5566393
julius-speech/julius,248,347,3.7,174,1251,76584,175580
audeering/opensmile,248,1685,3.1,442,3310,19017,101851
simbody/simbody,246,-1,4.4,404,4227,119008,269594
muhanzhang/SEAL,244,487,0.2,308,897,11981,75251
STJr/SRB2,243,266,1.9,814,6135,96611,434306
groonga/groonga,241,-1,6.4,1310,4574,13466,619945
coronalabs/corona,241,364,3.7,763,9060,340785,1046627
bminor/binutils-gdb,240,639,5.8,379,3840,567611,3181874
nature-lang/nature,239,95,3.3,164,1340,6878,36852
pachterlab/kallisto,236,1502,4.7,328,1991,25210,120384
trailofbits/cb-multios,235,-1,5,2172,35525,420695,6908805
airockchip/rknn-toolkit2,234,109,2.6,31,306,44345,89945
Hamlib/Hamlib,232,-1,6.4,876,4001,51242,263649
steveicarus/iverilog,231,947,5.9,414,5138,38856,176649
rockchip-linux/rknn-toolkit2,231,88,2.6,29,282,44389,89357
TASEmulators/fceux,231,0,3.8,237,3664,44245,259989
flintlib/flint,230,-1,6.2,1442,11245,109686,875905
vhelin/wla-dx,228,0,4.8,173,495,3874,60302
ring-lang/ring,227,2289,3.7,1080,6714,350970,2283671
adobe-type-tools/afdko,222,7,5.4,442,3782,22035,168896
DarkflameUniverse/DarkflameServer,221,424,6.9,433,5655,88418,241341
Blosc/c-blosc2,221,861,5,475,1824,38459,119199
skylersaleh/SkyEmu,215,1679,4.9,2209,17909,201557,1658236
openvenues/libpostal,213,-1,3.3,185,1184,6733,583235
containers/crun,213,629,7.6,278,1181,2956,28092
cfengine/core,212,-1,7.3,244,2873,20327,129406
airockchip/rknn_model_zoo,212,497,2.5,330,1884,44612,128927
HarbourMasters/2ship2harkinian,212,-1,5.9,1423,14840,28856,559779
OpenVisualCloud/SVT-HEVC,208,583,4.3,336,1211,18026,128202
thalium/icebox,206,595,2.9,1600,16464,1782023,5653522
surge-synthesizer/surge,204,13,5,602,5923,108898,351617
OpenNJet/OpenNJet,204,87,4.8,673,3475,417430,1890960
flomesh-io/pipy,200,1000,4.6,736,8594,285348,1172349
LLNL/RAJA,196,473,6.4,25,266,32027,96069
agraef/purr-data,193,1024,3.6,229,2776,128795,726583
beefytech/Beef,191,103,3.8,279,1965,157743,703510
lammps/lammps,189,452,7,675,3670,248661,1235776
iree-org/iree,184,19,5.2,5437,84723,80772,334571
Stephane-D/SGDK,184,1,5.6,26,677,20664,75612
vermaseren/form,183,517,5.5,601,1513,31232,126570
TorqueGameEngines/Torque3D,180,1237,5.4,1239,8975,655764,2521258
ptitSeb/box64,179,0,4.6,1705,29272,39853,246664
BespokeSynth/BespokeSynth,179,890,6.3,222,3276,29751,187133
samtools/htslib,177,1079,7,340,1667,18027,66864
google-deepmind/mujoco_mpc,177,-1,6.9,608,4311,8712,23416
keith2018/SoftGLRender,176,684,3.4,760,6308,156601,752696
Ettercap/ettercap,174,0,6.2,195,1157,19548,58324
pmq20/ruby-packer,172,402,3.4,273,1744,182644,1447379
k2-fsa/sherpa-onnx,172,0,4.5,216,1404,5498,40162
saghul/txiki.js,170,-1,4.9,1003,8628,89387,223934
mit-biomimetics/Cheetah-Software,169,77,3.9,2,380,36420,96346
adventuregamestudio/ags,169,224,4.9,575,7826,82612,315975
inviwo/inviwo,168,424,5.9,1146,11799,179675,544687
LabSound/LabSound,168,475,4.9,72,746,6519,39319
ipc-sim/IPC,167,49,4.6,349,2322,2437,27101
navit-gps/navit,166,0,5.7,275,2219,39948,183742
axmolengine/axmol,166,859,4.4,572,6602,355307,1540343
RSDKModding/Sonic-Mania-Decompilation,165,141,5.2,130,599,8852,228908
tcltk/tcl,164,1280,5.6,810,3049,118450,230733
libMesh/libmesh,162,241,4.5,190,1500,348644,1239247
WolfireGames/overgrowth,161,519,4.1,779,4065,384426,2331877
wiredtiger/wiredtiger,158,142,5.7,1547,4135,84026,194735
yasm/yasm,155,358,5.4,134,1122,13344,55797
RasPlex/OpenPHT,154,461,1.9,282,2002,522916,2510453
catsout/wallpaper-engine-kde-plugin,151,7,5,518,3484,50480,243623
kangjianwei/Data-Structure,150,159,3.4,76,2347,46388,103628
mfem/mfem,149,-1,7.1,667,4166,67820,411631
LLNL/sundials,149,585,6.2,257,2859,89430,334226
yrnkrn/zapcc,147,1,3.2,4415,43165,894807,2602717
renard314/textfairy,146,79,2.3,972,4204,161955,405257
adishavit/argh,146,57,5.1,25,35,652,6106
FundamentalFrequency/LMN-3-DAW,146,0,3.8,7,399,702,14720
zint/zint,145,362,5.3,166,784,10830,258332
qcad/qcad,145,2058,6.2,1279,9721,268554,1558800
nmwsharp/polyscope,145,1102,5.2,501,5893,11642,210674
microsoft/msix-packaging,145,3631,3.8,1092,9825,156067,786366
ddiakopoulos/libnyquist,145,155,5.2,50,266,35503,151182
kdave/btrfs-progs,143,-1,5,492,2027,20112,123293
GuitarML/NeuralPi,142,0,4.3,1,41,214,2114
ARM-software/vulkan_best_practice_for_mobile_developers,141,384,5,1087,8569,6555,21927
erich666/GraphicsGems,140,392,4.4,124,1103,15752,53725
eclipse/omr,140,874,6.9,479,2454,209102,794029
bochs-emu/Bochs,140,819,5,207,2337,51097,300943
bigartm/bigartm,140,1071,3.1,574,9836,85838,311660
avrdudes/avrdude,140,229,5.9,283,1783,13169,101525
dpjudas/SurrealEngine,137,753,5.9,603,5125,37903,308595
Try/OpenGothic,137,0,5.5,573,7385,3178,63574
DavidColson/Polybox,136,87,4.6,468,4940,119354,518939
punesemu/puNES,134,1519,4,853,8851,119568,728666
metartc/metaRTC,134,148,3.5,46,1211,137768,160859
envytools/envytools,134,16,4.8,765,5224,11749,111821
StanfordLegion/legion,133,-1,4.7,620,5958,79176,451585
CloudCompare/CloudCompare,132,235,5.6,632,5134,71123,272073
thunder-engine/thunder,131,277,5.1,454,3924,222221,919321
GoSSIP-SJTU/Armariris,131,1,2.5,3926,37118,720083,2092898
pocl/pocl,129,40,6,407,1244,27675,157799
RobLoach/raylib-cpp,129,-1,6.2,63,707,3047,5834
shaka-project/shaka-packager,128,0,6.6,1399,11051,14240,87702
bjornbytes/lovr,128,117,5.2,590,6029,13747,132642
Yixin-Hu/TetWild,127,-1,3.8,191,1931,2254,9971
Sneeds-Feed-and-Seed/sneedacity,127,1093,4.8,365,3476,246869,888774
jbehley/SuMa,126,49,4.6,172,2081,2720,14116
coin-or/Ipopt,126,314,5.2,87,792,24127,99406
OpenXRay/xray-16,126,69,4.2,881,15711,121503,745472
nanomq/nanomq,125,1355,5.9,267,3001,2049,26538
KhronosGroup/KTX-Software,125,-1,4.8,815,4322,133090,489060
JoshMarler/react-juce,125,0,3.9,0,7,67544,215327
soedinglab/hh-suite,124,38,4,83,331,16529,168548
rburkholder/trade-frame,124,-1,6.2,436,6475,84862,230553
krb5/krb5,124,1086,5.7,422,4617,75367,302120
MayaPosch/NymphCast,124,769,2.8,973,6010,194612,820799
MaJerle/stm32-usart-uart-dma-rx-tx,124,10,4.2,225,1820,1749784,4546170
DynamoRIO/drmemory,124,211,3.9,923,6048,28685,134537
vengi-voxel/vengi,121,0,5,1031,9004,148668,738152
ptitSeb/box86,120,0,4.6,360,5085,35357,152499
open5gs/open5gs,120,0,4.9,2568,14948,94125,1096292
espeak-ng/espeak-ng,120,174,5,105,546,4988,45474
facebook/igl,119,-1,6.6,879,6250,13901,77894
RandyGaul/cute_framework,118,150,5.3,1849,5792,50706,328267
w111liang222/lidar-slam-detection,117,426,2.2,179,1983,111603,392593
tildearrow/furnace,117,313,4.2,1229,9207,143320,1211921
thiagoralves/OpenPLC_v3,117,388,4.7,75,1009,73751,213152
Chowdhury-DSP/BYOD,117,0,4.1,12,332,1234,33953
hanwckf/rt-n56u,116,332,2.5,230,2417,3308594,16228099
ampl/gsl,116,288,4.6,365,2537,64086,297929
squid-cache/squid,114,-1,6.4,619,5041,49294,203409
tenable/routeros,113,258,4.2,87,1391,2451,11473
NVIDIA/Q2RTX,113,0,5.8,791,7467,20837,146339
facebookresearch/habitat-sim,112,35,8.3,888,9078,33165,118852
BeamMW/beam,112,65,6.1,687,8359,131064,533026
ultimatepp/ultimatepp,111,-1,5.5,751,8023,244267,1281747
rsummers11/CADLab,111,140,0.2,102,714,49780,249583
Qihoo360/QConf,111,137,2,669,4131,70495,217831
DanBloomberg/leptonica,111,-1,5.2,975,3972,97649,198487
TheAssemblyArmada/Thyme,110,226,5.3,836,6185,38006,313230
pure-data/pure-data,109,872,7.3,204,2235,19658,127049
pthom/hello_imgui,107,-1,4.9,376,3394,9523,55630
enginmanap/limonEngine,106,452,4.8,574,4700,21638,98098
r-lyeh-archived/scriptorium,105,218,2.1,328,2946,430151,1651306
jlblancoc/suitesparse-metis-for-windows,105,258,3.8,278,910,261579,1190819
TASEmulators/desmume,105,-1,4.3,659,6100,121210,461718
Rust-GCC/gccrs,105,562,5.9,166,1265,1713922,6299463
PolygonTek/BlueshiftEngine,105,864,2.1,377,2558,239889,904850
vgmstream/vgmstream,104,-1,4.6,315,2012,43300,148487
FreeTDS/freetds,104,-1,5.2,180,1034,18046,97948
DiligentGraphics/DiligentCore,104,62,5.4,1680,12192,64396,274498
libnice/libnice,103,-1,3.8,1457,12273,13697,38160
DCurrent/openbor,103,29,4,233,1631,62585,216743
joncampbell123/dosbox-x,102,1123,6.1,716,5302,323213,1732447
MirrorYuChen/ncnn_example,102,210,3.5,568,2849,75208,458526
sleuthkit/sleuthkit,101,532,6.6,396,2439,94725,198559
mltframework/mlt,101,0,5.6,191,1678,24405,111392
gideros/gideros,101,881,3.6,308,2236,491052,1654595
acassen/keepalived,101,182,5.8,179,1372,11141,67458
markaren/threepp,100,1222,5.6,305,4076,43974,254158
ETLCPP/etl,100,15,5.4,3576,13234,71303,257005
mgerdes/Open-Golf,99,78,2.5,258,2159,29148,160897
OGRECave/ogre-next,99,880,4.9,285,4792,161931,465637
gwaldron/osgearth,98,143,4.7,26,211,92181,570543
OpenBoardView/OpenBoardView,98,0,4,281,2547,72314,132863
symengine/symengine,97,2665,6,65,1318,14723,111476
raspberrypi/rpi-imager,97,732,5.5,862,5239,115886,413223
kohler/click,97,905,4.7,265,2829,66633,243252
GPUOpen-Tools/compressonator,97,21,4.7,206,1368,67712,323115
GNOME/libxml2,97,-1,5.3,512,3576,53504,190808
vifm/vifm,94,-1,6.1,123,3756,28586,175794
Samsung/ONE,94,4,5,768,5410,191538,558096
torognes/vsearch,93,118,4.7,69,364,6541,30956
qhull/qhull,93,-1,5.3,270,1010,19938,57549
DanielSWolf/rhubarb-lip-sync,93,128,3.6,305,2450,129430,629649
raspberrypi/userland,92,168,4.3,381,2752,53506,146628
yourWaifu/sleepy-discord,91,240,4.8,510,3593,4243,22936
steineggerlab/foldseek,91,277,5.1,630,3783,49153,419600
Matheus-Garbelini/esp32_bluetooth_classic_sniffer,91,724,2.7,272,5841,261435,520998
LAStools/LAStools,91,1208,5,230,1525,9794,95806
zxing-cpp/zxing-cpp,90,465,5.6,214,2011,6589,51763
pcloudcom/console-client,90,1134,3.4,497,4043,95713,257257
RSDKModding/RSDKv4-Decompilation,90,244,4.8,260,946,608,38275
BabylonJS/BabylonNative,89,0,6.7,349,3164,101864,437163
cgsecurity/testdisk,88,240,6.4,160,1307,28356,85635
Mauler125/r5sdk,88,0,5.1,1373,11812,348343,1238240
y123456yz/reading-and-annotate-mongodb-3.6,87,12,1,727,2117,804371,2861087
wangfenjin/simple,87,0,3.6,478,4008,85421,161368
riscv-collab/riscv-openocd,87,-1,5.1,700,5626,44998,255736
rbfx/rbfx,87,104,5.6,998,8112,524545,2852580
networkupstools/nut,87,397,6.7,401,2130,36105,125428
openocd-org/openocd,86,-1,4.5,673,5395,44084,247496
moai/moai-dev,86,749,2.7,540,4735,255370,996106
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,86,95,6.3,241,1082,6042,41142
HaxeFoundation/hashlink,86,0,5,252,2133,134409,363007
nowar-fonts/Warcraft-Font-Merger,85,1044,3.8,134,1117,9970,49961
SapphireServer/Sapphire,85,454,6.7,179,6367,28250,205774
util-linux/util-linux,84,-1,7.3,565,4674,34190,174385
floe/backscrub,84,17,4.6,1050,5972,284,1622
xaos-project/XaoS,83,0,3.9,61,584,2246,26847
monitoring-plugins/monitoring-plugins,83,92,6,96,376,18312,76417
jerryuhoo/Fire,83,0,4.8,16,661,2318,14743
iondbproject/iondb,83,220,6.1,59,998,10421,18905
milkytracker/MilkyTracker,82,490,4.9,203,1853,23809,179443
liballeg/allegro5,82,539,5.8,224,2887,19506,148947
iqiyi/dpvs,81,158,5.5,147,1149,19614,119904
esmini/esmini,81,298,5.2,177,1660,9499,84953
ermig1979/Simd,81,0,5,505,5666,33486,278961
OpenMS/OpenMS,81,55,4,1101,10354,248580,975245
oNaiPs/droidVncServer,80,321,2.4,189,1215,92938,307057
kiddin9/openwrt-packages,80,56,4.4,86,445,27463,221920
jmk-foofus/medusa,80,112,4.1,74,258,3595,19048
fhanau/Efficient-Compression-Tool,80,262,3.9,234,1148,6125,19169
drowe67/codec2-dev,79,0,4.8,85,550,15998,131036
POV-Ray/povray,79,578,3.5,220,1324,249411,984333
phaag/nfdump,78,182,6.2,122,1178,13468,67596
Blizzard/s2client-api,77,0,4.6,410,4757,1956,17002
su2code/SU2,76,84,5.6,59,419,288581,490874
varnishcache/varnish-cache,75,345,5.8,1351,2999,27099,110768
syoyo/tinygltf,75,238,6.6,28,231,37666,193087
opentomb/OpenTomb,75,58,4,180,2546,69628,286954
galkahana/HummusJS,75,493,6.5,268,2453,78920,238635
godlikepanos/anki-3d-engine,74,623,4.6,789,8932,299614,1944669
eclipse-wakaama/wakaama,74,1644,7.6,172,800,4031,32891
alibaba/GaiaX,74,240,4,90,561,8331,92211
distcc/distcc,73,49,4.7,65,503,8534,28043
Gargaj/Bonzomatic,73,76,3,175,1985,41552,243925
yvt/openspades,72,119,4.8,516,3942,23492,133455
vgmtrans/vgmtrans,72,4,5.9,149,1583,10760,64524
symforce-org/symforce,72,86,5.6,38,945,25440,182806
benikabocha/saba,72,-1,4.3,128,1694,51861,238063
OpenCPN/OpenCPN,72,178,3.7,79,865,232171,976968
ptpd/ptpd,71,26,4.6,49,438,5582,25335
mirror/ncurses,71,64,4.3,113,806,28482,100498
KqSMea8/AirplayServer,70,1150,3.6,419,1793,89350,264972
DeutscheKI/tevr-asr-tool,70,-1,3.7,1121,7291,6,288
DeaDBeeF-Player/deadbeef,70,1147,5.7,419,1793,153128,629419
prusa3d/Prusa-Firmware-Buddy,69,631,3.6,906,9398,902102,1596887
nihui/waifu2x-ncnn-vulkan,69,0,3.9,332,2372,1812,9596
DentonW/DevIL,69,308,4.8,268,1566,10392,65470
CoolProp/CoolProp,69,51,4.3,144,1545,13741,55661
0ad/0ad,69,0,3.8,246,1770,390881,1114647
uclouvain/openjpeg,68,384,5.4,283,1855,44998,164399
nihui/realsr-ncnn-vulkan,68,0,3.8,333,2370,1811,9451
nihui/realcugan-ncnn-vulkan,68,0,3.8,362,2532,1887,12058
kosua20/MIDIVisualizer,67,432,3.9,205,1973,41460,169933
artclarke/humble-video,67,1137,3.8,390,3100,393158,2253933
LouisBrunner/valgrind-macos,67,-1,4.2,1125,7850,142043,821262
Aloshi/EmulationStation,67,16,4.5,52,1253,2352,79054
wseemann/FFmpegMediaPlayer,66,426,1.9,476,3662,61725,215299
shibatch/sleef,66,1,6.8,20,353,2946,51992
openvswitch/ovs,66,-1,5.8,630,9012,64968,310808
openctp/openctp,66,107,4.1,23,618,108936,125935
mstorsjo/fdk-aac,66,1133,4.6,429,1786,59353,128597
liuyubobobo/Play-Leetcode,66,139,,,,,
hzqst/unicorn_pe,66,76,3.9,1164,18316,85505,518471
tsl0922/ImPlay,65,122,3.9,297,2576,28059,176398
mattgodbolt/zindex,65,-1,4.8,170,1451,60781,114269
OGRECave/ogre,65,566,6.1,371,5892,124315,362780
tfussell/xlnt,64,2848,2.9,567,5142,15192,59335
nihui/rife-ncnn-vulkan,64,0,3.8,355,2434,1898,12735
nihui/dain-ncnn-vulkan,64,0,3.8,337,2405,1853,10286
lwip-tcpip/lwip,64,120,5.1,1227,3699,44590,109866
drolbr/Overpass-API,64,-1,5.3,164,1725,8380,82331
NVIDIAGameWorks/RTX-Path-Tracing,64,280,1.8,224,2325,65869,289759
li-plus/chatglm.cpp,63,-1,5.5,279,2880,218,4108
libtcod/libtcod,62,347,5.2,77,931,25971,68247
eclipse-sumo/sumo,62,0,4.1,588,5467,163052,450124
Murmele/Gittyup,62,0,5.2,634,7129,13654,69222
MobilityDB/MobilityDB,62,380,7.1,221,3870,73333,150991
CESNET/UltraGrid,61,0,4.9,207,2191,48180,142794
xapian/xapian,60,1,5.2,1758,11109,43056,122746
mitsuba-renderer/mitsuba3,60,7,5.8,495,5129,18397,78131
liblava/liblava,60,46,5,559,5882,8256,17567
libjpeg-turbo/libjpeg-turbo,60,182,6.5,140,770,18691,62698
asset-group/5ghoul-5g-nr-attacks,60,209,1.2,165,2351,145045,451198
ComodoSecurity/openedr,60,275,2.7,258,2829,945841,4659928
AMReX-Codes/amrex,60,274,6.2,148,1201,29807,266927
kanryu/quickviewer,59,1220,2.1,396,2967,40048,425308
dog-qiuqiu/MobileNet-Yolo,59,161,3,70,755,6226,44630
cmusphinx/pocketsphinx,59,215,4.8,149,1210,23226,57773
chexiongsheng/build_xlua_with_libs,59,-1,3,58,1819,34515,250521
amsynth/amsynth,59,27,4.8,14,254,2087,9440
S2E/s2e,59,25,5.1,30,769,35458,138616
zynaddsubfx/zynaddsubfx,58,2,4.6,80,1996,8751,46904
shader-slang/slang,58,0,6,681,10029,64457,356169
picolibc/picolibc,58,215,5.7,98,801,105112,370531
linuxmint/warpinator,58,1422,4.6,379,5406,246128,953267
STMicroelectronics/STM32CubeH7,58,0,4,303,819,774199,5874293
LibVNC/libvncserver,58,171,5.7,79,494,8124,43211
wb2osz/direwolf,57,87,6.2,172,688,32525,59145
parallel101/course,57,251,3.7,23,1061,34720,146900
galkahana/PDF-Writer,57,959,6,335,3019,95458,294160
RoaringBitmap/CRoaring,57,21,6.7,59,959,8355,41253
realm/realm-core,56,0,5,627,8167,108257,678145
niessner/VoxelHashing,56,0,2.4,12,420,142320,578128
nathhB/nbnet,56,34,4.3,13,116,2232,13722
airbus-cert/Yagi,56,0,3.8,233,2806,1791,5873
paullouisageneau/libdatachannel,55,-1,5.8,312,1974,2568,22149
glassechidna/zxing-cpp,55,674,4.8,65,578,8644,27844
bambulab/BambuStudio,55,128,4.2,335,2270,158176,861917
Samsung/TizenRT,55,33,4.2,673,7102,1652175,3678162
ProtonVPN/android-app,55,2336,4.3,716,3701,222005,925366
projectM-visualizer/projectm,54,0,5.9,77,617,19016,76652
neka-nat/cupoch,54,461,5,245,1854,53706,240779
nativeformat/NFHTTP,54,-1,3.5,304,2417,74732,134313
mariotaku/moonlight-tv,54,272,4.9,237,2134,1363,18849
geany/geany,54,-1,6.5,614,5903,35851,238270
diffblue/cbmc,54,47,5.4,786,6287,72176,500045
ppwwyyxx/OpenPano,53,323,3.9,29,280,13904,63557
monero-project/monero-gui,53,0,5.9,664,4492,3106,34333
exult/exult,53,599,5.2,225,2563,32757,162441
alliedmodders/sourcemod,53,85,5.5,133,624,146607,391045
SIPp/sipp,53,31,5.9,69,534,5252,31519
AlexandreRouma/SDRPlusPlus,53,627,4.9,148,1641,23953,120032
zeromq/czmq,52,203,5.6,92,816,22736,50891
yodaos-project/yodaos,52,227,2,233,2097,675691,3233648
schismtracker/schismtracker,52,269,5.1,187,1387,10683,61969
openpilot/OpenPilot,52,0,2.4,14,530,280062,623416
colobot/colobot,52,269,6.9,261,2529,25471,134845
oscarpilote/Ortho4XP,51,65,2.5,24,91,12847,41534
muse-sequencer/muse,51,0,4.9,621,5042,74828,265920
linux-rdma/rdma-core,51,0,6.6,235,3918,22801,167924
akumuli/Akumuli,51,0,3.2,104,1300,10779,55667
PCRE2Project/pcre2,51,229,6.4,66,199,15562,98275
Netflix/msl,51,642,4.3,325,2628,36109,90802
turbolent/w2c2,50,663,3.7,54,524,2271,120472
thedmd/imgui-node-editor,50,49,4.4,123,1166,11600,60634
seladb/PcapPlusPlus,50,621,6.8,197,1457,29421,93938
lethal-guitar/RigelEngine,50,367,5.1,165,1958,21344,94504
horsicq/DIE-engine,50,0,5,666,10546,327,1033
dankamongmen/notcurses,50,-1,6,191,1085,7725,94238
RedisLabs/redisraft,50,498,5.7,99,868,6584,32917
RSDKModding/RSDKv3-Decompilation,50,112,4.9,190,730,743,27131
tlk00/BitMagic,49,1,5.8,213,795,24512,135323
strato-emu/strato,49,1,4.9,411,5465,9810,46695
martijnvanbrummelen/nwipe,49,86,6.2,42,221,5106,16673
axiomatic-systems/Bento4,49,605,5.2,110,1151,23040,61370
Tom94/tev,49,0,5.2,195,2110,817,10049
twitter/pelikan,48,280,4.8,404,1292,7384,38677
tats/w3m,48,-1,4.1,235,1161,2058,60077
smasherprog/screen_capture_lite,48,186,4.7,85,1057,18040,70908
rism-digital/verovio,48,-1,5.4,730,6858,81639,264846
magiblot/tvision,48,219,5,30,828,5941,42054
logicalclocks/rondb,48,251,5.5,150,1709,1232410,3820235
google/sandboxed-api,48,223,6.8,435,5508,8855,40032
davidmoreno/onion,48,0,5.8,82,440,7074,18025
chirlu/sox,48,-1,4.3,113,760,13152,41166
VladyslavUsenko/basalt-mirror,48,-1,3.9,109,1290,13228,56357
LomoX-Offical/nginx-openresty-windows,48,451,0,152,809,159973,756975
Jaysmito101/TerraForge3D,48,527,4.8,301,3169,7733,35395
DFHack/dfhack,48,0,5.1,302,4978,34897,180392
Azure/azure-iot-sdk-c,48,960,6.8,1076,3779,31248,215667
AcademySoftwareFoundation/openexr,48,1440,8.7,263,1949,25258,227764
can1357/NoVmp,47,2,3.6,244,3440,2121,4247
StereoKit/StereoKit,47,346,4.9,76,1429,21813,180559
KhronosGroup/OpenCL-SDK,47,14,4.8,47,661,1143,28478
Apress/Ray-Tracing-Gems-II,47,140,2.5,95,1274,72667,279470
stella-emu/stella,46,-1,6.5,89,2409,168180,357273
paperManu/splash,46,13,4.9,239,2849,19903,111303
openglonmetal/MGL,46,92,4.8,41,563,33746,190445
eteran/c-vector,46,36,5.1,20,40,370,1773
aetilius/pHash,46,162,5.5,2,15,10472,82539
ZDoom/gzdoom,46,501,5,310,2537,125712,708047
