repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
eclipse-iceoryx/iceoryx,182,83,29,6.9,3,576,33810,119154
keith2018/SoftGLRender,181,396,690,4.7,779,6415,156601,752682
ablab/spades,181,190,198,4.2,557,3285,230221,1051411
bjornbytes/lovr,178,0,0,5.9,538,5674,13548,121320
nature-lang/nature,174,-1,254,6.2,67,680,4943,23422
pmq20/ruby-packer,172,-1,402,4,276,1759,182644,1447379
deepmind/mujoco_mpc,172,-1,-1,7.6,559,3844,6697,17570
adventuregamestudio/ags,172,2438,55,6,536,7464,98669,320522
Ettercap/ettercap,172,72,0,6.9,195,1157,19548,58324
stclib/STC,171,-1,7,6.2,7,161,3612,22907
samtools/htslib,171,1779,1029,7.9,330,1599,16208,60986
LabSound/LabSound,170,524,477,5.3,72,738,6502,40170
mit-biomimetics/Cheetah-Software,169,-1,77,6,2,380,36420,96346
etlegacy/etlegacy,168,-1,185,6.3,924,7479,100364,364786
wiredtiger/wiredtiger,167,3,0,7.2,1411,3715,73968,170107
navit-gps/navit,167,-1,0,6.9,275,2219,39948,183742
SchedMD/slurm,165,-1,-1,7.6,1804,8579,121355,496611
SatDump/SatDump,165,4,-1,5.4,811,6478,78303,371789
OpenVSP/OpenVSP,164,0,60,6.3,944,5095,81288,448082
tcltk/tcl,162,-1,1170,6.1,804,2891,116077,225601
WolfireGames/overgrowth,161,-1,518,6,779,4065,384416,2331673
sheredom/utf8.h,157,-1,6,5.5,44,314,517,3715
adaptech-cz/Tesseract4Android,156,1891,893,6.5,1305,6055,171572,448735
yasm/yasm,154,292,357,6.9,134,1122,13344,55785
RasPlex/OpenPHT,153,-1,694,4.4,282,1993,522916,2510453
kangjianwei/Data-Structure,150,-1,159,5.9,76,2347,46388,103628
nmwsharp/polyscope,149,0,922,6.2,437,5368,22613,244453
bigartm/bigartm,149,0,1072,5.3,574,9836,85838,311660
yrnkrn/zapcc,147,-1,1,3.7,4415,43165,894807,2602717
renard314/textfairy,146,438,79,4.4,972,4204,161955,405257
adishavit/argh,146,0,57,6.8,25,35,652,6106
microsoft/msix-packaging,145,6309,3631,7.1,1092,9825,156062,786241
ddiakopoulos/libnyquist,145,0,155,7.2,50,266,35503,151182
toggl-open-source/toggldesktop,143,-1,65,3.1,677,8587,245078,1080983
kdave/btrfs-progs,143,3106,-1,5.5,461,1943,18913,118927
eclipse/omr,143,349,0,6.2,386,3059,207418,788754
ARM-software/vulkan_best_practice_for_mobile_developers,141,-1,395,6.5,1087,8569,6555,21927
samba-team/samba,140,-1,21,8.2,1546,13823,406110,1909378
neoml-lib/neoml,140,0,141,6.8,606,10321,23683,144043
erich666/GraphicsGems,140,-1,392,6.3,124,1103,15735,53739
krb5/krb5,139,-1,1083,5.2,425,4662,74992,304777
qcad/qcad,136,-1,1751,7.6,1261,9480,266901,1540011
flomesh-io/pipy,136,-1,1306,4.8,320,5238,142789,892055
axmolengine/axmol,135,0,211,5.2,160,2745,314950,1498216
ptitSeb/box64,134,-1,0,5.3,388,6490,35972,177431
envytools/envytools,134,9003,18,6.6,765,5224,11750,111819
CloudCompare/CloudCompare,134,891,208,5.9,622,5084,70772,267995
punesemu/puNES,133,1507,1498,5.2,822,8493,116834,714892
mgerhardy/vengi,133,490,0,5.5,1054,8735,155688,924810
Try/OpenGothic,133,-1,0,6.7,581,6922,2088,60245
GoSSIP-SJTU/Armariris,133,-1,1,5.1,3926,37118,720083,2092898
squid-cache/squid,132,1917,-1,7.1,662,5346,50559,207652
miranda-ng/miranda-ng,130,-1,17,5,1877,33218,531426,2350907
espeak-ng/espeak-ng,130,1008,178,6,104,501,4980,45427
metartc/metaRTC,129,-1,147,6.8,45,1105,135222,156547
NVIDIA/Q2RTX,129,-1,0,6.7,715,6838,21562,148036
Yixin-Hu/TetWild,127,143,-1,6.4,191,1931,2254,9971
coin-or/Ipopt,126,3971,305,6.9,87,792,24122,99324
nfs-ganesha/nfs-ganesha,125,0,-1,7,839,2926,66357,171986
JoshMarler/react-juce,125,417,-1,4.3,0,7,67544,215327
MaJerle/stm32-usart-uart-dma-rx-tx,124,-1,4,5.5,225,1820,1749784,4546170
KhronosGroup/KTX-Software,123,613,166,4.5,795,4247,127034,458925
OpenXRay/xray-16,122,0,307,4.9,944,16705,137072,796681
util-linux/util-linux,121,0,-1,8.2,613,4527,32525,164963
soedinglab/hh-suite,121,-1,38,4.4,83,331,16529,168548
mfem/mfem,119,0,-1,7.5,694,3995,59381,375577
thiagoralves/OpenPLC_v3,117,356,382,6.3,75,1001,73575,212472
pocl/pocl,116,2,37,6.5,318,897,22333,124965
ampl/gsl,116,2046,288,6.2,365,2537,64086,297809
MirrorYuChen/ncnn_example,116,15,210,5.7,568,2849,75208,458526
DanBloomberg/leptonica,116,1262,-1,5.7,970,3954,96832,197556
pure-data/pure-data,115,916,903,8.1,205,2219,19365,125925
hanwckf/rt-n56u,115,-1,323,2.9,223,2365,3308594,16228099
DISTRHO/DPF,115,-1,172,3.4,5,371,21362,102791
freebayes/freebayes,114,0,-1,4.7,260,1559,11005,130486
StanfordLegion/legion,114,0,-1,6.4,438,4724,67205,377232
tenable/routeros,113,-1,258,6.2,87,1391,2451,11473
tunabrain/tungsten,111,954,0,5.5,135,1999,20115,226213
rsummers11/CADLab,111,-1,140,3.7,102,714,49780,249583
Qihoo360/QConf,111,211,137,4.8,669,4131,70495,217831
ultimatepp/ultimatepp,109,-1,-1,6.8,639,7816,220563,1220440
facebookresearch/habitat-sim,109,491,35,8.8,782,8197,27984,109455
NVIDIAGameWorks/Path-Tracing-SDK,109,114,305,4.8,429,4532,65441,289370
joncampbell123/dosbox-x,106,-1,1048,6.8,579,4170,287361,1591063
eclipse/wakaama,106,-1,561,6.8,326,2158,3394,28448
GNOME/libxml2,106,3078,-1,7.2,547,3593,56499,211547
r-lyeh-archived/scriptorium,105,24,219,5,328,2952,430151,1651306
emqx/nanomq,105,275,1084,6.2,237,2749,1756,21802
TASEmulators/desmume,105,155,-1,4.7,659,6066,121091,460053
PolygonTek/BlueshiftEngine,105,339,-1,4.6,390,2629,239889,904850
openvswitch/ovs,104,10223,3608,6.4,613,8907,64341,306331
open5gs/open5gs,104,-1,0,5.7,2410,14678,90242,1068467
openxla/iree,103,-1,-1,5.9,4457,68171,66007,272463
libnice/libnice,103,0,-1,6.1,1457,12273,13703,38173
sleuthkit/sleuthkit,102,-1,526,7.9,395,2435,93679,196196
DiligentGraphics/DiligentCore,102,-1,56,5.3,1538,11104,58274,252802
vgmstream/vgmstream,101,429,-1,5.2,285,1855,42352,145226
mltframework/mlt,101,40,-1,5.6,187,1642,23270,104652
gideros/gideros,101,-1,881,5.3,308,2236,536281,1718258
acassen/keepalived,100,-1,177,6.7,171,1364,11073,66676
FreeTDS/freetds,100,-1,10,6.2,178,1014,17729,96771
septag/rizz,99,-1,362,5.6,311,2749,27876,196511
mgerdes/Open-Golf,99,-1,-1,5.1,258,2159,29148,160897
gwaldron/osgearth,98,29,143,5.4,26,211,91687,567044
OpenBoardView/OpenBoardView,98,480,0,6.4,281,2547,72315,132852
OGRECave/ogre-next,98,-1,350,4.9,283,4772,161248,462469
symengine/symengine,97,0,16,5.6,65,1315,14715,111351
raspberrypi/rpi-imager,97,-1,732,5.2,854,5183,115827,412720
ptitSeb/box86,97,-1,0,5.1,339,5128,34809,145223
kohler/click,96,-1,905,5.2,265,2829,66633,243252
saghul/txiki.js,95,-1,447,5,445,3681,4966,121418
OpenMS/OpenMS,94,0,6,4.9,1267,10853,321578,855446
vifm/vifm,93,79,-1,7.4,120,3695,27418,171541
raspberrypi/userland,93,-1,168,6.4,381,2752,53488,146586
qhull/qhull,93,44,-1,6.9,270,1010,19938,57549
DanielSWolf/rhubarb-lip-sync,93,4,128,4.6,305,2450,129430,629649
esmini/esmini,92,17,270,5.5,163,1559,8696,76129
yourWaifu/sleepy-discord,91,0,240,5.6,510,3593,4243,22936
TorqueGameEngines/Torque3D,91,2202,1338,4.8,1018,7050,562207,1931322
MayaPosch/NymphCast,91,0,260,5.7,587,3031,25763,174595
ETLCPP/etl,89,0,15,6.2,3083,11739,70140,232657
y123456yz/reading-and-annotate-mongodb-3.6,87,2309,12,4.5,740,2188,804371,2861087
cgsecurity/testdisk,86,297,243,6.3,161,1297,26654,85081
openocd-org/openocd,85,337,-1,5.4,655,5286,41587,238261
nowar-fonts/Warcraft-Font-Merger,85,-1,1044,4.6,134,1117,9970,49961
SapphireServer/Sapphire,85,0,442,6.4,179,6327,28208,204975
turbolent/w2c2,84,-1,647,6.2,46,458,2136,115750
monitoring-plugins/monitoring-plugins,84,-1,91,6.7,95,372,18218,75784
HaxeFoundation/hashlink,84,-1,0,5,252,2121,133935,361908
jmk-foofus/medusa,83,-1,112,4.6,74,261,3521,18883
iondbproject/iondb,83,-1,220,7.3,59,998,10421,18905
phaag/nfdump,82,-1,150,6,115,827,12712,62987
milkytracker/MilkyTracker,82,396,490,6.9,203,1853,23809,179443
ermig1979/Simd,81,0,0,5.4,500,6097,34625,297708
enginmanap/limonEngine,81,5,452,5.5,562,4397,21575,97622
oNaiPs/droidVncServer,80,3020,321,5,189,1215,92938,307057
liballeg/allegro5,80,0,533,6.8,219,2856,19269,147101
iqiyi/dpvs,80,-1,155,7.3,148,1143,19469,116204
fhanau/Efficient-Compression-Tool,80,61,199,4.8,234,1148,6123,19171
Blizzard/s2client-api,80,0,0,6.5,410,4759,1956,17002
syoyo/tinygltf,79,29,238,7.3,28,231,37540,192521
projectchrono/chrono,79,1676,0,6.3,202,2949,158280,497788
panda3d/panda3d,79,-1,0,4.3,11,399,194797,638896
networkupstools/nut,79,-1,333,7,361,1875,30720,108668
POV-Ray/povray,78,-1,578,4.3,220,1324,249411,984333
godlikepanos/anki-3d-engine,77,0,-1,2.7,789,8936,293343,1833614
drowe67/codec2,77,0,0,6.7,85,550,15994,130993
curv3d/curv,77,378,0,4,204,2598,26745,95592
varnishcache/varnish-cache,76,1605,343,6.1,1325,2934,26784,109545
su2code/SU2,76,0,84,5.9,59,419,283700,485795
DentonW/DevIL,76,0,308,6.6,268,1566,10392,65470
opentomb/OpenTomb,75,-1,58,5.8,180,2546,69628,286954
kosua20/MIDIVisualizer,75,0,421,4.4,202,1946,40825,164543
galkahana/HummusJS,75,0,494,7.1,268,2453,78920,238635
catsout/wallpaper-engine-kde-plugin,74,0,148,6.3,274,1740,50480,243618
vittorioromeo/SSVOpenHexagon,73,138,0,4,404,4762,99868,229526
galkahana/PDF-Writer,73,0,922,6.3,293,2761,93703,272988
distcc/distcc,73,1484,47,6.3,65,502,8508,27938
Gargaj/Bonzomatic,73,227,76,4.2,175,1985,41552,243925
yvt/openspades,72,0,-1,5.7,516,3942,23492,133455
symforce-org/symforce,72,0,48,6.3,38,945,24804,175262
pineappleEA/pineapple-src,72,844,589,3.4,545,3918,392026,2386412
ptpd/ptpd,71,307,26,6.5,49,438,5582,25335
nihui/waifu2x-ncnn-vulkan,71,0,0,4.7,332,2372,1812,9596
drolbr/Overpass-API,71,-1,385,7.4,169,1715,8309,83192
tildearrow/furnace,70,1027,229,5.9,982,7911,74348,796202
nihui/realsr-ncnn-vulkan,70,0,0,4.4,333,2370,1811,9451
nihui/realcugan-ncnn-vulkan,70,0,0,4.4,362,2532,1887,12058
OGRECave/ogre,70,145,-1,6.7,368,5850,124568,362692
DeaDBeeF-Player/deadbeef,70,1697,1147,6.2,419,1793,152234,624002
lc-soft/LCUI,69,968,313,3.5,45,1001,8633,44730
colobot/colobot,69,0,302,5.8,263,2564,33400,155741
0ad/0ad,69,0,0,5.7,246,1770,389713,1110903
vgmtrans/vgmtrans,68,95,122,4.2,138,1355,24474,151660
uclouvain/openjpeg,68,901,384,5.1,283,1855,45046,164386
moai/moai-dev,68,-1,748,5,522,4623,255370,996106
Embroidermodder/Embroidermodder,68,0,206,5.1,291,2629,40158,164758
CESNET/UltraGrid,68,320,0,5.2,212,1988,47780,135488
Aloshi/EmulationStation,68,-1,-1,6.4,52,1253,2352,79054
mariotaku/moonlight-tv,67,222,98,5.4,230,2029,1249,17484
artclarke/humble-video,67,-1,1137,6.3,390,3100,393158,2253933
wseemann/FFmpegMediaPlayer,66,1612,426,4.1,476,3666,61725,215299
nihui/rife-ncnn-vulkan,66,0,0,4.4,355,2434,1898,12735
nihui/dain-ncnn-vulkan,66,0,0,4.4,337,2405,1853,10286
mstorsjo/fdk-aac,66,1803,1133,4.7,429,1786,59106,128102
lwip-tcpip/lwip,66,0,119,7.6,1217,3688,44531,109508
liuyubobobo/Play-Leetcode,66,-1,7,7.2,84,4051,27206,123978
LouisBrunner/valgrind-macos,66,-1,-1,6,1121,7830,141219,818252
DefTruth/lite.ai.toolkit,66,-1,80,4.8,21,1148,55222,174021
riscv-software-src/riscv-isa-sim,65,10,-1,6.8,5272,10382,14284,49331
pbek/QOwnNotes,65,0,1050,3.5,610,7670,30088,166281
mattgodbolt/zindex,65,-1,-1,6.6,170,1451,60781,114269
tfussell/xlnt,64,0,2844,5.4,567,5147,15192,59335
CoolProp/CoolProp,64,0,102,5,144,1515,13618,55289
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,63,64,70,6.2,199,925,5334,34438
libtcod/libtcod,62,373,348,5.4,79,987,26461,68222
Samsung/TizenRT,62,-1,0,6.3,830,8179,1719085,4156681
sysstat/sysstat,61,65,46,7.3,103,701,23636,49222
wb2osz/direwolf,60,372,89,6.4,157,634,29351,53970
liblava/liblava,60,-1,318,5.5,544,5586,8160,17292
OAID/AutoKernel,60,-1,0,6.3,4,147,16274,57268
ComodoSecurity/openedr,60,0,62,5,258,2829,946466,4659303
AMReX-Codes/amrex,60,-1,111,6.5,144,1121,27615,253570
kanryu/quickviewer,59,-1,1220,4.6,396,2967,40048,425308
RoaringBitmap/CRoaring,59,0,-1,7.9,57,883,7038,34037
AlexandreRouma/SDRPlusPlus,59,0,624,5.7,147,1605,23604,117196
zynaddsubfx/zynaddsubfx,58,-1,2,5.8,80,1994,8747,46883
torognes/vsearch,58,1419,127,6.5,69,339,6335,30442
libjpeg-turbo/libjpeg-turbo,58,173,192,7.6,138,769,18644,62518
cmusphinx/pocketsphinx,58,3510,215,6,149,1210,23225,57765
LibVNC/libvncserver,58,0,171,7.3,79,494,8206,43803
facebook/mysql-5.6,57,1639,185,8.6,93,1059,411216,1732538
chexiongsheng/build_xlua_with_libs,57,-1,-1,3.6,58,1803,34494,248430
bambulab/BambuStudio,57,0,128,4.3,333,2242,152176,801553
projectM-visualizer/projectm,56,0,128,6.3,61,573,20221,87609
niessner/VoxelHashing,56,0,0,5.2,12,420,142320,578128
prusa3d/Prusa-Firmware-Buddy,55,0,421,5.2,909,8216,887037,1495724
libjxl/libjxl,55,246,-1,7.4,478,2649,16841,131249
glassechidna/zxing-cpp,55,359,674,6.6,65,578,8644,27844
dog-qiuqiu/MobileNet-Yolo,55,-1,161,5.5,70,755,6226,44630
ProtonVPN/android-app,55,-1,2337,6.2,716,3701,222005,925366
schismtracker/schismtracker,54,619,276,5.2,183,1364,10301,58534
parallel101/course,54,0,237,5.5,20,954,34071,136906
neka-nat/cupoch,54,0,461,5.2,245,1854,53577,240467
nativeformat/NFHTTP,54,-1,-1,6.2,304,2417,74732,134313
dankamongmen/notcurses,54,669,-1,6.3,189,1085,7701,94155
skylersaleh/SkyEmu,53,0,74,5.4,610,4884,89831,917661
ppwwyyxx/OpenPano,53,-1,348,5.6,29,280,14604,69720
alliedmodders/sourcemod,53,609,85,6.5,133,625,146646,390865
WAVM/WAVM,53,-1,180,5.5,113,3820,9889,75790
Esenthel/EsenthelEngine,53,1736,622,5.6,350,1685,796877,3975736
zeromq/czmq,52,1321,202,5.4,92,814,22706,50656
exult/exult,52,847,567,5.5,212,2532,32193,151051
akumuli/Akumuli,52,-1,0,5.3,104,1301,10779,55667
USCiLab/cereal,52,0,237,6.2,2,23,10724,30813
SRombauts/SQLiteCpp,52,0,-1,6.9,450,3785,89051,161445
yodaos-project/yodaos,51,-1,126,2.7,233,2097,675691,3233648
seladb/PcapPlusPlus,51,1320,67,5.6,142,1363,26994,85133
realm/realm-core,51,764,369,5.7,533,7307,103218,645408
muse-sequencer/muse,51,12,0,4.9,620,5020,74571,263522
magiblot/tvision,51,621,214,5.5,32,807,5895,41223
geany/geany,51,1361,-1,6.5,534,5506,33371,224352
Netflix/msl,51,-1,344,6.2,325,2628,36109,90802
DFHack/dfhack,51,-1,0,5.9,281,4608,32486,183432
thedmd/imgui-node-editor,50,-1,44,5.8,123,1165,12409,65566
stella-emu/stella,50,-1,319,6.6,85,2378,166677,353770
maplibre/maplibre-native,50,24,-1,6.1,328,4086,116975,297306
linux-rdma/rdma-core,50,-1,0,7.3,235,3833,22666,165755
lethal-guitar/RigelEngine,50,244,365,4.8,165,1956,21774,102731
horsicq/DIE-engine,50,0,214,5.5,591,9739,327,960
RedisLabs/redisraft,50,0,780,6.9,99,867,6298,30973
AcademySoftwareFoundation/openexr,50,278,1416,9.3,254,1905,24614,223687
simsong/bulk_extractor,49,-1,367,4.8,73,758,5787,31954
axiomatic-systems/Bento4,49,-1,606,6.3,110,1148,23036,61277
Apress/Ray-Tracing-Gems-II,49,-1,140,5.2,95,1274,72667,279470
twitter/pelikan,48,210,280,5.2,404,1292,7384,38677
tats/w3m,48,-1,-1,5.3,235,1161,2058,60077
smasherprog/screen_capture_lite,48,13,186,6.7,85,1057,18040,70908
rism-digital/verovio,48,0,-1,6.2,666,6482,73586,254207
opentoonz/opentoonz,48,-1,956,5.7,375,2181,220324,1050094
davidmoreno/onion,48,43,0,7.3,82,440,7074,18025
chirlu/sox,48,0,-1,6.4,113,760,13152,41166
VladyslavUsenko/basalt-mirror,48,-1,-1,6.2,109,1292,13228,56357
LomoX-Offical/nginx-openresty-windows,48,649,451,3.2,152,809,159973,756975
osqp/osqp,47,0,55,6.2,54,670,5527,20622
mitsuba-renderer/mitsuba3,47,-1,7,6.6,421,4461,16775,66906
kiddin9/openwrt-packages,47,103,45,4.8,82,336,23452,202177
can1357/NoVmp,47,-1,-1,5.7,244,3440,2121,4247
Azure/azure-iot-sdk-c,47,0,616,7.2,1054,3751,30776,214233
ton-blockchain/ton,46,-1,0,5.5,610,12301,28656,285918
paullouisageneau/libdatachannel,46,0,-1,6.5,309,1912,2420,20573
openglonmetal/MGL,46,0,92,6.7,41,554,40163,228745
aetilius/pHash,46,0,162,7.1,2,15,10472,82539
ShadowsocksR-Live/shadowsocksr-native,46,952,1913,5.1,260,2548,2167,19689
shadowsocksr-backup/shadowsocksr-libev,45,-1,168,6.2,100,1170,8570,60085
openai/retro,45,1769,539,5.4,230,2355,250889,897543
encryptogroup/ABY,45,-1,-1,6.3,55,773,5468,19993
dalerank/nanogui-sdl,45,-1,118,7.3,12,309,4718,49099
bytedance/terarkdb,45,0,10,5.5,357,4947,60741,321783
PureDarwin/PureDarwin,45,-1,-1,5.3,54,551,546186,1681709
switch-iot/hin2n,44,-1,177,4.8,82,560,11738,30264
rose-compiler/rose,44,2874,347,6.4,51,577,531931,3748461
paulftw/hiberlite,44,-1,-1,6.5,142,1222,36,2308
lockedbyte/CVE-Exploits,44,-1,263,4.8,408,1754,103839,462830
helloexp/0day,44,-1,263,4.1,407,1752,114368,542271
LAStools/LAStools,44,24095,665,5.4,160,1029,11871,110721
vtil-project/VTIL-Core,43,-1,2,6,244,3386,11581,109262
pisa-engine/pisa,43,0,-1,5.9,71,1616,1043,21951
Speek-App/Speek,43,0,-1,5.3,108,1737,24189,95459
ylmbtm/GameProject3,42,-1,19,4.8,826,16561,67600,359215
koying/SPMC,42,-1,50,4.8,61,471,177348,710344
jgaeddert/liquid-dsp,42,0,158,5.9,7,608,41281,113564
horsicq/XELFViewer,42,0,0,6.6,460,6521,165,513
haka-security/haka,42,-1,0,5.7,62,605,2668,22664
gabonator/LA104,42,32,-1,4.6,219,2417,98056,367694
decaf-emu/decaf-emu,42,-1,1,4.9,492,5405,14230,186376
Koihik/LuaFormatter,42,0,0,4.5,34,805,208,8091
JaCzekanski/Avocado,42,-1,449,4.4,206,1879,3273,36520
soedinglab/MMseqs2,41,56,276,5.5,363,2147,42860,316845
nmwsharp/geometry-central,41,0,895,6.2,114,1239,8255,31147
ladislav-zezula/StormLib,41,0,304,7.4,114,779,16682,48874
autobleem/AutoBleem,41,-1,0,4.5,208,1948,88850,167026
AtomicGameEngine/AtomicGameEngine,41,-1,673,4.2,482,3786,510603,1662416
0xnobody/vmpdump,41,-1,1,5.6,241,3417,743,2258
0vercl0k/wtf,41,0,1261,5.3,80,1001,56035,186022
