repo, bugs, ossf score, complex functions, total functions
SchedMD/slurm,131,4.3,860,4287
tdlib/td,130,5.3,487,10294
fluent/fluent-bit,130,4.3,671,5151
lxc/lxc,129,4.3,96,528
openvenues/libpostal,128,4.3,143,998
bitnine-oss/agensgraph,128,5.3,1206,6293
google/sandboxed-api,127,4.9,553,8131
postgres/postgres,126,4.3,3354,16088
dfranx/SHADERed,121,5.3,255,1671
WerWolv/ImHex,121,4.3,973,9258
bytecodealliance/wasm-micro-runtime,119,4.3,464,5341
OpenXRay/xray-16,119,5.3,179,2871
Kitware/VTK,119,5.3,322,2681
BoomingTech/Piccolo,117,5.3,536,7910
emscripten-core/emscripten,115,5.3,123,1243
pure-data/pure-data,114,4.3,203,2176
ptitSeb/box86,114,4.3,316,4516
DanBloomberg/leptonica,114,5.3,808,3178
sonic-pi-net/sonic-pi,113,4.9,532,6835
nesbox/TIC-80,113,4.3,801,7469
apple/turicreate,113,5.3,599,6425
organicmaps/organicmaps,112,4.3,291,2669
Qihoo360/QConf,111,4.3,669,4131
TASEmulators/desmume,107,5.3,646,5946
joncampbell123/dosbox-x,106,5.3,579,4170
gcc-mirror/gcc,106,5.3,166,1249
Farama-Foundation/ViZDoom,105,4.7,458,3931
mltframework/mlt,104,5.3,182,1613
InsightSoftwareConsortium/ITK,103,5.3,821,5606
Cisco-Talos/pyrebox,102,5.3,252,1062
git/git,101,5.3,1033,13294
acassen/keepalived,100,5.3,170,1363
mgerdes/Open-Golf,99,5.3,258,2159
util-linux/util-linux,98,5.3,597,4036
gwaldron/osgearth,98,5.3,26,211
openocd-org/openocd,97,4.3,638,5139
syoyo/tinygltf,95,4.3,26,212
saghul/txiki.js,95,4.3,445,3681
raspberrypi/userland,94,4.3,381,2746
tesseract-ocr/tesseract,93,4.3,207,1739
DanielSWolf/rhubarb-lip-sync,93,5.3,305,2450
rui314/mold,91,5.3,454,2873
open5gs/open5gs,91,4.3,1465,9063
google/filament,91,5.3,1034,6645
MayaPosch/NymphCast,91,5.3,587,3031
vifm/vifm,90,5.3,120,3650
vgmstream/vgmstream,87,5.3,192,1124
patriciogonzalezvivo/glslViewer,87,5.3,151,1612
openvswitch/ovs,86,4.3,475,7085
cgsecurity/testdisk,86,4.3,161,1297
ponylang/ponyc,83,4.3,330,4792
milkytracker/MilkyTracker,82,5.3,202,1849
toggl-open-source/toggldesktop,81,5.3,337,5545
netdata/netdata,81,5.3,991,7363
mfem/mfem,81,5.3,384,1800
versatica/mediasoup,80,5.3,388,3408
tunabrain/tungsten,80,5.3,53,701
raspberrypi/rpi-imager,80,5.3,689,4218
liballeg/allegro5,80,4.3,219,2856
aseprite/aseprite,79,5.3,447,4082
confluentinc/librdkafka,78,4.3,334,1851
POV-Ray/povray,78,4.3,220,1324
F-Stack/f-stack,78,5.3,747,6703
networkupstools/nut,77,5.3,342,1817
varnishcache/varnish-cache,76,4.3,1314,2914
su2code/SU2,76,4.9,59,419
wjakob/nanogui,75,4.3,29,861
opentomb/OpenTomb,75,4.3,180,2546
galkahana/HummusJS,75,5.3,268,2453
fogleman/Craft,75,4.7,225,2427
GStreamer/gstreamer,75,5.3,3093,15167
CloudCompare/CloudCompare,75,4.3,221,974
distcc/distcc,73,5.3,65,502
Gargaj/Bonzomatic,73,4.3,175,1985
colmap/colmap,70,5.3,89,1241
alibaba/AliOS-Things,70,5.3,701,5958
lc-soft/LCUI,69,5.3,45,1001
0ad/0ad,69,4.3,246,1770
Aloshi/EmulationStation,67,5.3,52,1253
mstorsjo/fdk-aac,66,4.7,429,1786
ZLMediaKit/ZLMediaKit,66,4.7,212,5654
pineappleEA/pineapple-src,65,4.3,527,3168
seemoo-lab/nexmon,64,5.3,569,3844
oneapi-src/oneTBB,62,4.3,59,559
gongminmin/KlayGE,62,4.3,462,3703
floooh/sokol,62,4.3,336,1389
capnproto/capnproto,62,5.3,267,4639
Sigil-Ebook/Sigil,62,4.7,570,4325
DeaDBeeF-Player/deadbeef,62,4.7,366,1554
arangodb/arangodb,61,5.3,276,2470
ETLCPP/etl,61,4.3,3216,11948
Blizzard/s2client-api,61,4.3,325,3666
wb2osz/direwolf,60,5.3,157,634
libjpeg-turbo/libjpeg-turbo,58,4.3,138,772
cmusphinx/pocketsphinx,58,5.3,149,1210
nfs-ganesha/nfs-ganesha,57,4.3,811,2883
linux-nvme/nvme-cli,57,4.7,117,1334
facebook/mysql-5.6,57,5.3,93,1059
coolsnowwolf/lede,57,5.3,86,437
SerenityOS/serenity,57,5.3,294,3402
ComodoSecurity/openedr,57,5.3,255,2660
squid-cache/squid,56,4.3,685,5534
projectM-visualizer/projectm,56,4.3,61,573
dog-qiuqiu/MobileNet-Yolo,55,4.3,70,755
RoaringBitmap/CRoaring,55,4.3,50,686
root-project/root,54,5.3,936,12728
ProtonVPN/android-app,54,5.3,667,3584
MRPT/mrpt,54,4.3,181,3057
ppwwyyxx/OpenPano,53,4.3,29,280
ermig1979/Simd,53,4.3,82,699
SRombauts/SQLiteCpp,52,4.3,438,3709
KhronosGroup/Vulkan-Samples,52,5.3,256,2070
yodaos-project/yodaos,51,4.3,233,2097
sysstat/sysstat,51,4.3,103,668
magiblot/tvision,51,5.3,32,805
DFHack/dfhack,51,5.3,270,4438
thedmd/imgui-node-editor,50,5.3,123,1165
supercollider/supercollider,50,5.3,159,2635
parallel101/course,50,4.3,19,946
hrydgard/ppsspp,50,5.3,426,3376
azerothcore/azerothcore-wotlk,50,5.3,204,2187
axiomatic-systems/Bento4,50,4.3,109,1147
SoftEtherVPN/SoftEtherVPN,50,5.3,339,4558
AcademySoftwareFoundation/openexr,49,4.3,242,1824
zeromq/czmq,48,4.3,90,810
twitter/pelikan,48,5.3,404,1292
opentoonz/opentoonz,48,4.3,375,2181
davidmoreno/onion,48,5.3,82,440
curl/curl,48,4.3,336,1865
seladb/PcapPlusPlus,47,4.7,140,1299
ShadowsocksR-Live/shadowsocksr-native,47,4.3,260,2545
ylmbtm/GameProject3,46,4.3,824,16557
sumatrapdfreader/sumatrapdf,46,5.3,387,3280
facebook/hermes,46,5.3,212,1763
alibaba/AliSQL,46,5.3,895,6040
paullouisageneau/libdatachannel,45,4.7,308,1898
openai/retro,45,4.3,230,2355
PureDarwin/PureDarwin,45,4.3,54,551
jgaeddert/liquid-dsp,44,4.3,7,624
helloexp/0day,44,5.3,407,1752
glfw/glfw,44,4.3,40,538
facebookincubator/velox,44,5.3,69,1099
lammps/lammps,43,5.3,416,2116
ish-app/ish,43,4.3,29,782
godlikepanos/anki-3d-engine,43,5.3,903,8786
nihui/waifu2x-ncnn-vulkan,42,5.3,294,1919
dankamongmen/notcurses,42,5.3,189,1085
alandefreitas/matplotplusplus,41,5.3,40,611
WebAssembly/wabt,41,4.9,78,1522
Vita3K/Vita3K,41,5.3,148,2197
AtomicGameEngine/AtomicGameEngine,41,5.3,482,3786
vtil-project/VTIL-Core,40,5.3,244,3386
can1357/NoVmp,40,5.3,244,3440
yrnkrn/zapcc,39,4.3,475,5005
perilouswithadollarsign/cstrike15_src,39,5.3,144,1621
moosefs/moosefs,39,4.3,468,1976
liuyubobobo/Play-Leetcode,39,4.3,35,2118
geany/geany,39,4.7,525,5424
davisking/dlib,39,5.3,530,4428
wiredtiger/wiredtiger,38,4.3,1263,3611
BespokeSynth/BespokeSynth,38,5.3,104,1878
xelatihy/yocto-gl,37,5.3,111,871
projectchrono/chrono,37,4.3,172,2356
pocoproject/poco,37,4.3,148,2597
mapsme/omim,37,5.3,136,1702
allinurl/goaccess,37,5.3,42,854
RavenSystem/esp-homekit-devices,37,4.3,404,3038
FirebirdSQL/firebird,37,5.3,89,978
ErosZy/WXInlinePlayer,37,5.3,116,802
surge-synthesizer/surge,36,5.3,479,5207
saki4510t/UVCCamera,36,4.3,104,549
iovisor/bcc,36,4.3,110,1271
gosu/gosu,36,5.3,102,660
effekseer/Effekseer,36,4.3,34,744
cisco/openh264,36,4.3,328,1575
apache/brpc,36,4.9,172,2457
Sunzxyong/Tiny,36,4.3,105,551
koute/bytehound,35,5.3,164,1345
keystone-engine/keystone,35,5.3,152,2326
akai-katto/dandere2x,35,4.3,1,144
InteractiveComputerGraphics/SPlisHSPlasH,35,5.3,261,2092
GNOME/glib,35,4.3,1446,12257
xiph/flac,34,5.3,121,746
patrikhuber/eos,34,5.3,0,6
kungfu-origin/kungfu,34,5.3,180,1616
PixarAnimationStudios/OpenSubdiv,34,4.3,78,754
NVIDIA/libcudacxx,34,4.3,35,540
skyline-emu/skyline,33,5.3,325,4349
karlstav/cava,33,5.3,13,48
erincatto/box2d,33,4.3,110,1278
angband/angband,33,4.3,352,3252
TheAlgorithms/C,33,4.3,17,435
IoLanguage/io,33,5.3,49,890
chocolate-doom/chocolate-doom,32,5.3,288,3458
cemu-project/Cemu,32,4.3,327,4865
verilator/verilator,31,5.3,50,811
php/php-src,31,5.3,496,1699
ossrs/srs,31,4.3,59,855
linux-test-project/ltp,31,4.3,82,2278
gperftools/gperftools,31,4.3,59,855
doctest/doctest,31,4.9,25,410
chenyahui/AnnotatedCode,31,5.3,356,2737
GoSSIP-SJTU/Armariris,31,5.3,451,4689
symforce-org/symforce,30,4.3,37,914
nfrechette/acl,30,4.3,41,233
musescore/MuseScore,30,4.3,443,4674
melonDS-emu/melonDS,30,4.7,168,1802
megai2/d912pxy,30,5.3,8,12
lakinduakash/linux-wifi-hotspot,30,4.3,3,42
ketoo/NoahGameFrame,30,5.3,197,2544
facebook/redex,30,4.3,1,44
elfmz/far2l,30,4.9,224,2307
decaf-emu/decaf-emu,30,4.3,217,2406
citusdata/citus,30,4.3,621,3492
apple/swift-llbuild,30,4.3,128,1687
USCiLab/cereal,30,4.3,3,30
NVIDIA/Q2RTX,30,4.3,584,5870
Ewenwan/MVision,30,5.3,38,277
turanszkij/WickedEngine,29,5.3,542,5440
openbsd/src,29,4.3,153,3326
horsicq/DIE-engine,29,5.3,216,4914
berthubert/googerteller,29,4.3,2,20
KiCad/kicad-source-mirror,29,5.3,127,2766
DynamoRIO/dynamorio,29,5.3,574,4299
xtaci/algorithms,28,4.3,0,70
xiph/opus,28,5.3,102,449
libressl/portable,28,4.3,521,4852
libgit2/libgit2,28,5.3,544,6666
dvorka/hstr,28,5.3,16,78
danmar/cppcheck,28,5.3,398,2059
alibaba/GCanvas,28,4.3,31,400
PowerDNS/pdns,28,4.3,260,2559
zlib-ng/zlib-ng,27,4.3,57,387
tmux/tmux,27,5.3,248,1957
supertuxkart/stk-code,27,5.3,220,1182
rwengine/openrw,27,4.3,84,1029
mtcp-stack/mtcp,27,4.3,100,851
loki-47-6F-64/sunshine,27,5.3,100,870
libretro/RetroArch,27,4.3,354,2379
kripken/ammo.js,27,5.3,86,909
ardera/flutter-pi,27,5.3,29,306
JoeyDeVries/LearnOpenGL,27,5.3,8,367
InteractiveComputerGraphics/PositionBasedDynamics,27,4.7,177,1683
zmap/zmap,26,4.3,25,202
vesoft-inc/nebula,26,5.3,64,1016
swig/swig,26,5.3,290,1544
strukturag/libde265,26,4.3,65,525
paroj/gltut,26,4.3,59,1050
mixxxdj/mixxx,26,5.3,138,2141
jemalloc/jemalloc,26,4.3,179,1605
jacksonliam/mjpg-streamer,26,5.3,17,82
cmu-db/bustub,26,5.3,135,2108
LiteOS/LiteOS,26,4.3,182,1487
p-gen/smenu,25,4.3,38,202
merbanan/rtl_433,25,4.3,96,949
Tencent/MMKV,25,4.3,40,1022
GarageGames/Torque2D,25,4.9,19,142
xoseperez/espurna,24,4.3,41,461
traildb/traildb,24,4.3,25,222
stepmania/stepmania,24,5.3,296,1890
peng-zhihui/Peak,24,4.3,36,174
mpromonet/v4l2rtspserver,24,4.3,114,1328
mgba-emu/mgba,24,5.3,296,1890
kohler/gifsicle,24,4.3,41,320
ithewei/libhv,24,5.3,53,650
guanzhi/GmSSL,24,4.3,263,1604
felixguendling/cista,24,5.3,2,46
cuberite/cuberite,24,4.3,578,6466
WayneD/rsync,24,4.3,171,716
OpenAtomFoundation/TencentOS-tiny,24,5.3,19,1153
KhronosGroup/glslang,24,4.9,229,1344
simbody/simbody,23,4.3,113,1295
openssh/openssh-portable,23,4.3,256,2005
istoreos/istoreos,23,5.3,22,262
OSGeo/PROJ,23,5.3,23,455
CGAL/cgal,23,5.3,0,38
wondertrader/wondertrader,22,4.3,167,1867
google/re2,22,4.3,59,621
alibaba/MNN,22,4.3,263,2914
Tencent/ncnn,22,4.3,217,932
FreeRDP/FreeRDP,22,5.3,262,1961
zeromq/libzmq,21,4.3,70,909
sustrik/libdill,21,5.3,43,521
google/sentencepiece,21,5.3,51,751
LizardByte/Sunshine,21,4.3,57,671
BinomialLLC/basis_universal,21,4.3,223,1211
sustrik/libmill,20,5.3,22,337
stedolan/jq,20,4.3,130,905
okbob/pspg,20,4.3,68,265
aircrack-ng/aircrack-ng,20,4.3,167,928
Tencent/libco,20,4.3,2,90
SOCI/soci,20,5.3,26,771
zlgopen/awtk,19,4.3,283,2067
warmcat/libwebsockets,19,4.3,150,1189
ton-blockchain/ton,19,4.3,91,2174
simongog/sdsl-lite,19,4.3,38,141
pioneerspacesim/pioneer,19,4.3,155,1906
opencv/opencv,19,5.3,329,2499
olikraus/u8g2,19,5.3,10,650
nlohmann/json,19,5.3,79,312
nanomsg/nng,19,5.3,95,1684
micropython/micropython,19,5.3,241,2241
google/orbit,19,4.9,53,1134
bytedance/terarkdb,19,5.3,120,2108
arkdb/inception,19,5.3,20,435
apache/trafficserver,19,5.3,513,3369
abseil/abseil-cpp,19,5.3,49,1038
Syllo/nvtop,19,4.7,34,140
Snaipe/Criterion,19,5.3,75,475
Smorodov/Multitarget-tracker,19,5.3,103,966
OpenVPN/openvpn,19,4.3,438,1515
LibrePCB/LibrePCB,19,5.3,67,959
FLIF-hub/FLIF,19,4.3,42,239
DaveGamble/cJSON,19,4.3,17,239
yuzu-emu/yuzu-mainline,18,4.3,83,376
yuzu-emu/yuzu,18,4.3,83,376
wenet-e2e/wenet,18,4.3,202,2198
vinniefalco/LuaBridge,18,4.3,57,2278
unicorn-engine/unicorn,18,4.3,427,5526
tfussell/xlnt,18,4.3,536,4858
pytorch/glow,18,4.3,237,2526
particle-iot/device-os,18,4.3,29,652
nanocurrency/nano-node,18,4.5,67,1185
martinus/robin-hood-hashing,18,4.7,31,154
marcobambini/gravity,18,4.3,81,751
libimobiledevice/ideviceinstaller,18,5.3,4,11
k4zmu2a/SpaceCadetPinball,18,4.9,143,1310
iNavFlight/inav,18,5.3,11,119
guillaumeblanc/ozz-animation,18,5.3,302,1393
generalized-intelligence/GAAS,18,5.3,76,501
flutter/codelabs,18,5.3,2565,11502
boazsegev/facil.io,18,5.3,26,486
Themaister/Granite,18,4.3,834,7443
IntelRealSense/librealsense,18,5.3,127,1630
sass/node-sass,17,5.3,58,782
recastnavigation/recastnavigation,17,5.3,121,1100
quickfix/quickfix,17,4.3,90,1447
prusa3d/PrusaSlicer,17,4.3,153,1053
nmap/nmap,17,5.3,119,950
mitsuba-renderer/mitsuba2,17,4.3,87,1151
homenc/HElib,17,5.3,31,749
facebook/zstd,17,5.3,445,2258
exaloop/codon,17,5.3,238,2262
LibreSprite/LibreSprite,17,4.3,544,4255
tmate-io/tmate,16,5.3,133,1094
scanlime/fadecandy,16,5.3,25,298
qicosmos/cinatra,16,4.3,0,45
pgbackrest/pgbackrest,16,4.3,649,2604
panda3d/panda3d,16,4.3,11,398
libcpr/cpr,16,5.3,144,993
foonathan/memory,16,5.3,38,260
facebookresearch/habitat-sim,16,4.3,207,2621
cisco/joy,16,5.3,94,725
audacity/audacity,16,5.3,39,577
anbox/anbox,16,5.3,19,640
Tencent/TNN,16,4.3,227,2137
TH3xACE/SUDO_KILLER,16,4.3,200,838
Project-OSRM/osrm-backend,16,4.3,121,1346
xournalpp/xournalpp,15,4.3,48,1614
westes/flex,15,5.3,30,199
torproject/tor,15,5.3,1363,5450
stellar/stellar-core,15,5.3,108,716
posva/catimg,15,4.3,3,21
ossia/score,15,4.3,19,503
openthread/openthread,15,5.3,380,3084
libevent/libevent,15,4.3,403,1588
horsicq/XELFViewer,15,5.3,163,3001
algorand/go-algorand,15,5.3,54,492
ValveSoftware/vogl,15,4.3,354,2659
SanderMertens/flecs,15,4.3,724,4114
GarageGames/Torque3D,15,5.3,296,1995
BrunoLevy/geogram,15,4.3,478,3633
zeldaret/botw,14,4.3,86,3358
werman/noise-suppression-for-voice,14,4.9,11,228
rubinius/rubinius,14,5.3,56,552
premake/premake-core,14,4.3,190,1363
nanomsg/nanomsg,14,5.3,78,525
microsoft/SEAL,14,4.3,125,999
linux-can/can-utils,14,4.3,48,207
letoram/arcan,14,4.3,18,186
grpc/grpc,14,4.9,122,1787
esnet/iperf,14,4.3,38,244
buaazp/zimg,14,4.3,39,343
TheTumultuousUnicornOfDarkness/CPU-X,14,4.7,27,350
IntelLabs/control-flag,14,4.3,10,86
InoriRus/Kyty,14,5.3,449,3830
Harvey-OS/harvey,14,5.3,16,100
DefTruth/lite.ai.toolkit,14,5.3,11,842
qt-creator/qt-creator,13,4.3,102,2228
pangweiwei/slua,13,4.3,10,605
p-ranav/argparse,13,4.3,36,678
ntop/PF_RING,13,5.3,280,1594
mariadb-corporation/MaxScale,13,5.3,62,207
joan2937/pigpio,13,5.3,82,396
janet-lang/janet,13,5.3,73,854
iree-org/iree,13,5.3,271,1758
hunspell/hunspell,13,4.3,72,307
hackerschoice/gsocket,13,5.3,71,357
facebookresearch/ELF,13,4.3,15,245
electronicarts/EASTL,13,4.3,85,986
doxygen/doxygen,13,4.3,235,2860
digego/extempore,13,5.3,41,252
Bitcoin-ABC/bitcoin-abc,13,4.3,60,289
wangyu-/UDPspeeder,12,4.3,19,217
treefrogframework/treefrog-framework,12,4.3,42,345
toitlang/toit,12,5.3,448,3760
sourcey/libsourcey,12,5.3,186,1940
rurban/smhasher,12,4.3,11,422
pmem/pmdk,12,4.3,14,163
nomacs/nomacs,12,4.7,44,1681
microsoft/mimalloc,12,5.3,6,273
memcached/memcached,12,4.3,114,576
lz4/lz4,12,4.3,43,369
lbryio/lbrycrd,12,5.3,35,154
jrouwe/JoltPhysics,12,4.3,163,1335
godotengine/godot,12,5.3,1000,10396
facebook/yoga,12,5.3,36,740
erwincoumans/tiny-differentiable-simulator,12,4.3,27,299
boostorg/beast,12,5.3,69,973
bitcoin-core/secp256k1,12,4.3,65,242
XRPLF/rippled,12,4.3,30,108
Tencent/xLua,12,4.3,32,1483
Roblox/luau,12,5.3,605,4458
RavenProject/Ravencoin,12,4.7,53,237
PJLab-ADG/SensorsCalibration,12,5.3,61,782
FreeCAD/FreeCAD,12,5.3,129,1480
AntiMicroX/antimicrox,12,4.3,88,1194
znc/znc,11,4.3,113,1563
zcash/zcash,11,4.3,80,849
vergecurrency/verge,11,4.7,63,269
texstudio-org/texstudio,11,5.3,368,3647
sylefeb/Silice,11,4.3,126,3447
steemit/steem,11,5.3,85,729
rpng/open_vins,11,5.3,59,360
qtumproject/qtum,11,4.3,79,858
osandov/drgn,11,5.3,107,1177
metacall/core,11,4.3,23,702
lucasb-eyer/pydensecrf,11,5.3,4,10
libsdl-org/SDL,11,4.3,392,2639
kripken/BananaBread,11,5.3,14,74
kingToolbox/WindTerm,11,5.3,1097,6147
jonas/tig,11,5.3,50,642
harfbuzz/harfbuzz,11,4.3,181,1011
google/tensorstore,11,5.3,524,5296
ggerganov/imtui,11,5.3,118,788
duncanthrax/scream,11,5.3,4,15
dogecoin/dogecoin,11,4.3,53,746
avast/retdec,11,4.3,125,3653
SerenityOS/jakt,11,4.3,189,1270
Sapd/HeadsetControl,11,4.3,3,68
Mbed-TLS/mbedtls,11,5.3,234,1604
HardySimpson/zlog,11,5.3,16,169
Haivision/srt,11,5.3,59,619
BitFunnel/NativeJIT,11,4.3,18,227
AprilRobotics/apriltag,11,4.3,28,243
0vercl0k/wtf,11,4.3,12,651
yshui/picom,10,4.3,107,477
rsyslog/rsyslog,10,5.3,382,1688
owntone/owntone-server,10,5.3,89,2261
mrc-ide/covid-sim,10,4.3,47,184
minetest/minetest,10,4.3,10,494
microsoft/cpprestsdk,10,4.3,235,1311
memononen/nanosvg,10,4.3,13,117
litehtml/litehtml,10,4.3,99,903
libsndfile/libsndfile,10,5.3,76,1090
kuba--/zip,10,5.3,20,76
kkos/oniguruma,10,5.3,100,594
google/flatbuffers,10,5.3,111,1108
ggerganov/ggwave,10,4.3,99,793
cryfs/cryfs,10,5.3,91,2423
atomvm/AtomVM,10,4.3,18,339
andlabs/libui,10,5.3,0,274
Tencent/sluaunreal,10,4.3,15,742
SuperTux/supertux,10,4.3,104,2800
Provenance-Emu/Provenance,10,5.3,133,853
BrunoLevy/learn-fpga,10,5.3,60,534
Bareflank/hypervisor,10,5.3,2,47
zhaojh329/rtty,9,4.3,18,95
wangyu-/tinyfecVPN,9,5.3,11,109
taviso/ctypes.sh,9,5.3,22,269
sqlitebrowser/sqlitebrowser,9,4.3,99,1557
shadowsocks/simple-obfs,9,5.3,31,245
schwabe/ics-openvpn,9,5.3,24,107
riscv-software-src/riscv-isa-sim,9,4.9,788,1580
openjdk/jfx,9,4.3,179,937
oatpp/oatpp,9,4.3,41,631
nmathewson/libevent_obsolete,9,5.3,350,1395
ndrplz/self-driving-car,9,4.3,23,245
mitsuba-renderer/mitsuba3,9,4.3,75,894
madMAx43v3r/chia-plotter,9,4.3,119,1566
leela-zero/leela-zero,9,5.3,20,221
hzqst/VmwareHardenedLoader,9,4.3,72,929
gsliepen/tinc,9,4.3,101,786
google/zopfli,9,5.3,47,319
dariomanesku/cmftStudio,9,5.3,1,4
danielkrupinski/Osiris,9,5.3,127,1185
capstone-engine/capstone,9,5.3,72,954
ariya/phantomjs,9,4.3,16,304
VirusTotal/yara,9,4.7,95,678
LeelaChessZero/lc0,9,5.3,42,409
Genivia/ugrep,9,4.3,101,285
xiph/rnnoise,8,5.3,6,45
wangyu-/udp2raw,8,5.3,24,292
tinyproxy/tinyproxy,8,4.3,12,185
stevemk14ebr/PolyHook_2_0,8,5.3,139,784
openvinotoolkit/openvino,8,4.3,172,1719
open-quantum-safe/liboqs,8,4.3,148,5593
neurobin/shc,8,5.3,2,15
miniupnp/miniupnp,8,4.3,42,192
microsoft/ShaderConductor,8,4.3,1317,14757
meganz/sdk,8,4.3,492,5720
kokkos/kokkos,8,4.3,10,159
intel/linux-sgx,8,5.3,126,992
idealvin/coost,8,5.3,33,390
greenplum-db/gpdb,8,5.3,27,1472
gqrx-sdr/gqrx,8,4.3,19,450
google/swiftshader,8,5.3,173,2214
flameshot-org/flameshot,8,5.3,16,883
dgiese/dustcloud,8,5.3,20,192
apple/swift-corelibs-libdispatch,8,4.3,34,516
Studio3T/robomongo,8,4.3,247,1453
Cockatrice/Cockatrice,8,4.3,35,1280
CloverHackyColor/CloverBootloader,8,4.9,24,268
Bionus/imgbrd-grabber,8,4.3,249,2371
AlexandreRouma/SDRPlusPlus,8,5.3,140,1518
winscp/winscp,7,4.3,29,613
tezc/sc,7,4.3,52,651
tensor-compiler/taco,7,4.3,58,921
rapiz1/DungeonRush,7,4.3,10,126
protocolbuffers/upb,7,4.3,12,451
osmc/osmc,7,4.3,30,201
ompl/ompl,7,5.3,71,1060
libuv/libuv,7,4.9,110,1024
libharu/libharu,7,5.3,30,722
irungentoo/toxcore,7,4.7,47,763
hpjansson/chafa,7,5.3,86,889
h2o/h2o,7,5.3,92,424
google/brotli,7,5.3,32,298
ggerganov/whisper.cpp,7,5.3,34,227
gbdev/rgbds,7,4.3,60,420
fetlang/fetlang,7,4.9,9,128
eranpeer/FakeIt,7,5.3,4,199
equalsraf/neovim-qt,7,5.3,30,501
asmuth/clip,7,5.3,9,456
alibaba/ilogtail,7,4.3,179,1160
WAVM/WAVM,7,4.3,113,3820
ValveSoftware/GameNetworkingSockets,7,4.3,123,713
PCSX2/pcsx2,7,5.3,17,135
Awesome-HarmonyOS/HarmonyOS,7,5.3,138,1088
AcademySoftwareFoundation/MaterialX,7,4.3,101,1143
wasm3/wasm3,6,4.3,107,1044
vstakhov/libucl,6,5.3,60,241
scarsty/kys-cpp,6,5.3,39,559
protocolbuffers/protobuf,6,4.3,523,3805
phusion/passenger,6,4.7,54,353
ninja-build/ninja,6,4.7,27,598
nextcloud/desktop,6,4.3,283,2645
mysql/mysql-server,6,4.3,18,138
microsoft/winget-cli,6,5.3,97,436
microsoft/snmalloc,6,4.3,7,103
microsoft/AirSim,6,4.3,28,530
meganz/MEGAcmd,6,4.3,335,3064
madler/zlib,6,4.5,29,209
lightvector/KataGo,6,4.3,165,1187
lief-project/LIEF,6,5.3,60,2132
libssh2/libssh2,6,5.3,88,448
lexborisov/myhtml,6,4.3,43,607
jonasmr/microprofile,6,5.3,14,170
facontidavide/PlotJuggler,6,4.3,80,2715
curv3d/curv,6,4.3,138,1621
WasmEdge/WasmEdge,6,4.3,56,1272
