repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
FreeFem/FreeFem-sources,319,-1,4.6,598,3159,42114,278388
Skulltrail192/One-Core-Api-Source,311,0,3.9,287,1986,1054362,6690337
skylicht-lab/skylicht-engine,308,-1,4.4,804,7977,206159,804956
HarbourMasters/Shipwright,308,19,5.9,1295,13560,22218,496512
pierreguillot/Camomile,305,968,4.4,308,4304,4493,15556
adaptech-cz/Tesseract4Android,295,893,4.2,1598,8569,171861,445888
acl-dev/acl,295,681,4.1,526,9804,179556,509514
DynamoRIO/drmemory,294,215,4.1,923,6048,28685,134537
mangoszero/server,291,-1,3.4,849,9495,41361,227353
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20852,1679506,5601445
freesurfer/freesurfer,286,1044,2.1,2215,10428,246119,1273265
micmacIGN/micmac,284,0,2.8,775,12374,246268,1633038
casadi/casadi,284,-1,5,389,4367,88788,189462
julius-speech/julius,277,356,3.7,195,1351,76584,175580
TheAssemblyArmada/Thyme,276,226,6.5,834,6182,38000,312540
termux/termux-x11,271,0,4.8,927,5941,274,4214
OpenSmalltalk/opensmalltalk-vm,267,582,3.9,353,4610,948641,4301854
LiangliangNan/Easy3D,264,5,5,570,4267,123558,497786
Themaister/Granite,262,-1,5.8,2454,19787,17695,132030
wheybags/freeablo,260,3064,2.3,1334,9143,212090,975094
openbabel/openbabel,255,96,5.6,853,3512,66068,306793
csound/csound,254,2,3.8,511,4210,42127,212659
simbody/simbody,246,-1,4.8,403,4221,118818,269343
audeering/opensmile,246,1686,3.1,442,3310,19017,101851
muhanzhang/SEAL,243,487,0.2,308,897,11981,75251
STJr/SRB2,242,266,3.3,814,6137,96611,434306
coronalabs/corona,239,-1,4.1,763,9060,340770,1046582
seemoo-lab/nexmon,237,2003,4.4,3293,29808,1064686,5561555
trailofbits/cb-multios,235,-1,5,2172,35525,420695,6908805
groonga/groonga,234,-1,6.3,1289,4537,13258,617727
pachterlab/kallisto,233,1502,5,328,1991,25210,120384
xapian/xapian,231,1,5.4,1944,11180,42624,122405
rockchip-linux/rknn-toolkit2,231,88,2.7,29,282,44389,89357
vhelin/wla-dx,228,0,5.5,173,495,3872,60294
steveicarus/iverilog,228,929,5.8,414,5134,38825,176443
ring-lang/ring,227,2289,3.7,1080,6714,336896,2106300
Hamlib/Hamlib,227,-1,6.4,862,3929,50604,256150
dethrace-labs/dethrace,226,450,5.2,396,5445,13704,201368
bminor/binutils-gdb,222,1209,5.8,398,4127,564223,3168811
adobe-type-tools/afdko,216,7,5.8,442,3782,22035,168896
openxla/iree,215,1,5.6,5278,82283,76693,316814
skylersaleh/SkyEmu,214,1679,4.8,2212,17913,201545,1657873
KhronosGroup/Vulkan-Samples,214,-1,6.8,1436,12789,20425,100843
openvenues/libpostal,213,-1,3.5,185,1184,6733,583235
cfengine/core,212,-1,7.3,242,2872,20278,129272
airockchip/rknn_model_zoo,212,497,2.7,324,1864,43639,120987
containers/crun,210,620,7.6,273,1173,2951,27968
OpenVisualCloud/SVT-HEVC,208,583,4.4,336,1211,18026,128202
thalium/icebox,206,595,2.9,1600,16464,1782023,5653522
surge-synthesizer/surge,203,13,4.7,600,5889,108791,349810
agraef/purr-data,199,1039,3.6,240,3219,128795,726583
TASEmulators/fceux,197,0,3.8,234,3628,44148,258146
ipc-sim/IPC,196,2,4.4,397,3356,2436,27097
BespokeSynth/BespokeSynth,195,887,6,215,3197,28877,180044
LLNL/RAJA,194,467,6.4,20,260,31221,93384
lammps/lammps,192,442,7,668,3595,246520,1218655
beefytech/Beef,191,207,3.6,279,1962,157795,702305
bjornbytes/lovr,186,0,5.3,585,6048,13580,128939
vermaseren/form,183,514,5,601,1513,31200,126500
ablab/spades,181,1184,3.6,557,3284,230221,1051411
keith2018/SoftGLRender,176,612,3.7,773,6379,156601,752696
ptitSeb/box64,175,0,4.6,1675,29146,38957,210584
samtools/htslib,174,1055,6,338,1642,17735,65833
google-deepmind/mujoco_mpc,173,7,6.9,600,4215,8533,22699
pmq20/ruby-packer,172,402,3.4,273,1744,182644,1447379
avrdudes/avrdude,172,221,6,276,1771,12945,100857
RasPlex/OpenPHT,172,828,1.9,296,2144,522916,2510453
Ettercap/ettercap,172,0,6.3,195,1157,19548,58324
k2-fsa/sherpa-onnx,170,0,4.6,197,1261,4182,28500
mit-biomimetics/Cheetah-Software,169,77,3.9,2,380,36420,96346
adventuregamestudio/ags,169,214,4.6,578,7751,81897,314060
flomesh-io/pipy,168,1001,4.4,730,8415,280401,1167938
LabSound/LabSound,168,475,5.5,72,746,6519,39319
navit-gps/navit,166,0,5.3,275,2219,39948,183742
axmolengine/axmol,166,863,4.2,471,5512,339031,1507424
Rubberduckycooly/Sonic-Mania-Decompilation,165,141,5.5,130,599,8845,228905
libMesh/libmesh,162,241,4.3,190,1500,347845,1237448
WolfireGames/overgrowth,161,518,4.2,779,4065,384416,2331762
mfem/mfem,159,-1,7.1,638,4011,64142,397884
SatDump/SatDump,158,263,4.8,907,7023,86266,439918
wiredtiger/wiredtiger,155,137,5.7,1522,4092,82293,190127
saghul/txiki.js,155,0,5,987,8181,89181,342444
yasm/yasm,154,358,5.4,134,1122,13344,55793
LLNL/sundials,152,432,6.1,256,2838,87393,304247
tcltk/tcl,151,1137,5.6,775,2905,116520,224963
kangjianwei/Data-Structure,150,159,3.4,76,2347,46388,103628
catsout/wallpaper-engine-kde-plugin,150,7,5.2,518,3484,50480,243623
yrnkrn/zapcc,147,1,3.2,4415,43165,894807,2602717
renard314/textfairy,146,79,2.3,972,4204,161955,405257
adishavit/argh,146,57,5.3,25,35,652,6106
FundamentalFrequency/LMN-3-DAW,146,0,3.8,7,399,702,14720
qcad/qcad,145,2058,6.2,1279,9721,266784,1552486
microsoft/msix-packaging,145,3627,4.3,1092,9825,156066,786352
kdave/btrfs-progs,145,-1,5,484,2012,19746,122540
ddiakopoulos/libnyquist,145,155,5.2,50,266,35503,151182
eclipse/omr,142,0,5.8,386,3066,208445,791311
GuitarML/NeuralPi,142,0,4.7,1,41,214,2114
google/tensorstore,141,0,8,2779,30503,65014,271186
ARM-software/vulkan_best_practice_for_mobile_developers,141,384,5,1087,8569,6555,21927
erich666/GraphicsGems,140,392,4.6,124,1103,15752,53725
bigartm/bigartm,140,1071,3.1,574,9836,85838,311660
OpenVSP/OpenVSP,139,60,4.4,944,5095,78792,439221
cyberus-technology/virtualbox-kvm,137,4546,1.9,1225,7671,2596729,8977546
nmwsharp/polyscope,136,935,5.7,461,5549,23330,248698
Try/OpenGothic,136,0,5.7,587,7124,3140,63218
thunder-engine/thunder,134,279,4.9,449,3875,220593,907099
punesemu/puNES,134,1519,3.9,853,8838,119505,727972
envytools/envytools,134,42,4.8,765,5224,11749,111821
CloudCompare/CloudCompare,132,235,5.6,630,5123,71072,271279
metartc/metaRTC,131,148,4,46,1211,137792,160859
GoSSIP-SJTU/Armariris,131,1,2.5,3926,37118,720083,2092898
shaka-project/shaka-packager,128,0,6.6,1397,11045,14162,86775
squid-cache/squid,127,-1,6.4,644,5253,49383,203608
nfs-ganesha/nfs-ganesha,127,117,5,866,2969,67381,174492
krb5/krb5,127,1090,5.3,424,4662,74918,303085
Yixin-Hu/TetWild,127,-1,3.8,191,1931,2254,9971
Sneeds-Feed-and-Seed/sneedacity,127,1093,4.6,365,3476,246869,888774
jbehley/SuMa,126,49,4.1,172,2081,2720,14116
coin-or/Ipopt,126,314,5.1,87,792,24121,99399
RobLoach/raylib-cpp,126,-1,6.2,63,707,2986,5643
OpenXRay/xray-16,126,69,4.1,913,15908,137365,804457
JoshMarler/react-juce,125,0,3.9,0,7,67544,215327
MaJerle/stm32-usart-uart-dma-rx-tx,124,9,4.3,225,1820,1749784,4546170
MayaPosch/NymphCast,122,764,4,968,5952,193511,809910
soedinglab/hh-suite,121,34,4.5,83,331,16529,168548
rburkholder/trade-frame,120,-1,4.5,434,6420,84343,227605
pocl/pocl,120,41,6.4,398,1216,26832,154774
samba-team/samba,119,21,6.7,1393,12330,411497,1923170
espeak-ng/espeak-ng,119,174,5.2,105,546,4981,45452
ptitSeb/box86,118,0,5,356,5082,35254,151167
thiagoralves/OpenPLC_v3,117,382,4.1,75,1001,73642,212648
nanomq/nanomq,117,1206,5.9,260,2969,1968,25512
StanfordLegion/legion,117,-1,4.2,442,4764,68304,384440
RandyGaul/cute_framework,117,150,5.1,1847,5795,44798,314618
KhronosGroup/KTX-Software,117,1855,4.9,799,4257,131698,480814
ampl/gsl,116,288,4.8,365,2537,64086,297929
vengi-voxel/vengi,114,0,5,985,8544,142466,697540
pure-data/pure-data,114,904,5.7,205,2220,19369,125994
freebayes/freebayes,114,-1,3.9,260,1559,11005,130486
tenable/routeros,113,258,4.2,87,1391,2451,11473
open5gs/open5gs,113,0,4.8,2503,14923,93346,1089953
hanwckf/rt-n56u,112,288,2.5,219,2328,3308594,16228099
facebookresearch/habitat-sim,112,35,8,878,9038,31256,115707
eclipse/wakaama,112,1481,7.6,529,2614,3919,32654
rsummers11/CADLab,111,140,0.2,102,714,49780,249583
Qihoo360/QConf,111,137,2.2,671,4137,70495,217831
NVIDIA/Q2RTX,111,0,6.1,780,7334,20848,146397
BeamMW/beam,111,65,5.6,685,8330,131073,532380
facebook/igl,109,-1,6.6,756,5309,12843,71459
TorqueGameEngines/Torque3D,109,1288,4.6,946,6715,611414,2338212
ultimatepp/ultimatepp,108,-1,5.2,645,7870,220692,1225388
jerryuhoo/Fire,108,0,3.8,2,82,1840,10025
tksuoran/erhe,107,13,5.5,387,5762,38778,342805
pthom/hello_imgui,106,-1,5.2,376,3289,4769,36165
GNOME/libxml2,106,-1,4.5,525,3598,54751,198191
r-lyeh-archived/scriptorium,105,218,2.1,328,2946,430151,1651306
jlblancoc/suitesparse-metis-for-windows,105,258,4.8,278,910,261579,1190819
TASEmulators/desmume,105,-1,3.8,659,6100,121195,461709
PolygonTek/BlueshiftEngine,105,-1,2.1,390,2629,239889,904850
vgmstream/vgmstream,104,-1,4.2,298,1902,42987,147480
DiligentGraphics/DiligentCore,104,61,5,1564,11378,60079,259383
libnice/libnice,103,-1,4.7,1457,12273,13697,38160
sleuthkit/sleuthkit,102,525,7,396,2436,93685,196218
joncampbell123/dosbox-x,102,1123,6.2,716,5308,322785,1726353
MirrorYuChen/ncnn_example,102,210,3.5,568,2849,75208,458526
mltframework/mlt,101,0,5.5,191,1677,23866,108511
gideros/gideros,101,881,3.6,308,2236,491077,1653396
FreeTDS/freetds,101,-1,4.2,178,1024,17975,97205
tildearrow/furnace,100,265,4.1,1151,8807,138536,964955
acassen/keepalived,100,182,6,178,1368,11118,67151
BabylonJS/BabylonNative,100,0,6.5,367,3178,101855,436697
septag/rizz,99,362,3.2,311,2749,27876,196511
mgerdes/Open-Golf,99,78,2.5,258,2159,29148,160897
ETLCPP/etl,99,21,5.8,3435,12938,70014,249939
OpenBoardView/OpenBoardView,98,0,3.6,281,2547,72314,132862
symengine/symengine,97,2666,5.8,65,1315,14719,111412
shader-slang/slang,97,0,5.4,682,9897,63189,333763
raspberrypi/rpi-imager,97,732,5.3,858,5217,115886,413229
GPUOpen-Tools/compressonator,97,21,5.7,206,1368,67712,323115
kohler/click,96,905,4.7,265,2829,66633,243252
vifm/vifm,94,-1,5.9,125,3737,28335,174630
qhull/qhull,93,-1,5.3,270,1010,19938,57549
OGRECave/ogre-next,93,148,4.7,283,4772,161219,462564
raspberrypi/userland,92,168,4.3,381,2752,53506,146628
yourWaifu/sleepy-discord,91,0,4.8,510,3593,4243,22936
util-linux/util-linux,91,-1,7.2,570,4716,34010,172425
steineggerlab/foldseek,91,277,5.6,628,3779,49126,419163
phaag/nfdump,91,151,5.9,125,991,13300,65085
Matheus-Garbelini/esp32_bluetooth_classic_sniffer,91,724,2.7,272,5841,261435,520998
Rubberduckycooly/Sonic-1-2-2013-Decompilation,90,258,4.7,260,950,618,38288
cgsecurity/testdisk,88,241,6.4,160,1307,28306,85639
y123456yz/reading-and-annotate-mongodb-3.6,87,12,1.4,740,2188,804371,2861087
wangfenjin/simple,87,0,3.6,478,4008,85421,161368
rbfx/rbfx,87,1442,5.5,998,8112,524473,2849884
riscv-collab/riscv-openocd,86,-1,5.7,683,5566,44872,253671
openocd-org/openocd,86,-1,4.9,664,5365,44200,246524
moai/moai-dev,86,748,2.7,540,4737,255370,996106
enginmanap/limonEngine,86,-1,3.2,567,4453,21575,97625
nowar-fonts/Warcraft-Font-Merger,85,1044,3.8,134,1117,9970,49961
artclarke/humble-video,85,1137,3.8,442,3567,393158,2253933
SapphireServer/Sapphire,85,19,5.8,179,6323,28208,204988
open-mpi/hwloc,84,43,6,317,1465,13477,60211
floe/backscrub,84,17,4.6,1050,5972,284,1622
xaos-project/XaoS,83,0,5,61,584,2246,26738
jmk-foofus/medusa,83,112,5.1,74,261,3522,18897
iondbproject/iondb,83,220,5.9,59,998,10421,18905
esmini/esmini,83,295,5.3,174,1606,9254,82484
HaxeFoundation/hashlink,83,0,5.2,252,2129,134407,362901
milkytracker/MilkyTracker,82,490,4,203,1853,23809,179443
networkupstools/nut,81,0,6.7,390,2102,34688,120752
monitoring-plugins/monitoring-plugins,81,91,6.1,95,375,18278,76336
OpenMS/OpenMS,81,55,3.8,1125,10497,252822,988119
oNaiPs/droidVncServer,80,321,2.4,189,1215,92938,307057
liballeg/allegro5,80,537,6.1,224,2874,19462,148480
fhanau/Efficient-Compression-Tool,80,262,4.1,234,1148,6125,19169
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,80,74,6.3,217,1000,5736,38008
syoyo/tinygltf,79,238,6.2,28,231,37635,192870
markaren/threepp,79,1042,5.8,201,3111,34832,215324
kiddin9/openwrt-packages,78,56,4.4,86,443,26353,214547
POV-Ray/povray,78,578,3.5,220,1324,249411,984333
ermig1979/Simd,77,0,5.2,457,5459,31885,265288
drowe67/codec2-dev,77,0,4.8,85,550,15994,130993
Blizzard/s2client-api,77,0,4.6,410,4759,1956,17002
su2code/SU2,76,84,5.8,59,419,288581,490874
varnishcache/varnish-cache,75,346,6,1343,2982,26894,110099
opentomb/OpenTomb,75,58,4,180,2546,69628,286954
obgm/libcoap,75,-1,6.6,178,718,13908,53648
galkahana/HummusJS,75,494,5.4,268,2453,78920,238635
godlikepanos/anki-3d-engine,74,623,3.4,789,8936,295811,1888744
alibaba/GaiaX,74,244,3.9,90,548,7910,89004
vittorioromeo/SSVOpenHexagon,73,0,3.4,404,4762,99868,229526
distcc/distcc,73,47,4.7,65,502,8508,27938
Gargaj/Bonzomatic,73,76,3,175,1985,41552,243925
yvt/openspades,72,119,4.7,516,3942,23492,133455
symforce-org/symforce,72,86,5.6,38,945,25423,182385
openvswitch/ovs,72,-1,5.8,627,8996,64861,310087
nature-lang/nature,72,66,3.6,151,1273,6683,34874
benikabocha/saba,72,-1,4.5,128,1694,51861,238063
ptpd/ptpd,71,26,4.6,49,438,5582,25335
shibatch/sleef,70,0,6.7,26,514,2765,50437
KqSMea8/AirplayServer,70,1150,3.6,419,1793,89350,264972
DeutscheKI/tevr-asr-tool,70,159,3.7,1121,7291,6,288
nihui/waifu2x-ncnn-vulkan,69,0,3.9,332,2372,1812,9596
0ad/0ad,69,0,3.8,246,1770,390883,1114521
vgmtrans/vgmtrans,68,122,4.7,156,1444,14170,83970
uclouvain/openjpeg,68,384,5.3,283,1855,44993,164381
nihui/realsr-ncnn-vulkan,68,0,3.8,333,2370,1811,9451
nihui/realcugan-ncnn-vulkan,68,0,3.8,362,2532,1887,12058
kosua20/MIDIVisualizer,67,432,3.9,205,1973,41460,169933
LouisBrunner/valgrind-macos,67,-1,5,1125,7850,142043,821262
Aloshi/EmulationStation,67,-1,4.5,52,1253,2352,79054
wseemann/FFmpegMediaPlayer,66,426,1.9,476,3666,61725,215299
mstorsjo/fdk-aac,66,1133,5.2,429,1786,59353,128597
liuyubobobo/Play-Leetcode,66,131,,,,,
CESNET/UltraGrid,66,0,4.9,205,2128,47911,140994
tsl0922/ImPlay,65,122,5,297,2576,28059,176397
mattgodbolt/zindex,65,-1,4.8,170,1451,60781,114269
colobot/colobot,65,11,6.8,261,2527,25470,134625
OGRECave/ogre,65,561,5.7,369,5889,124424,362208
tfussell/xlnt,64,101,2.9,567,5142,15192,59335
nihui/rife-ncnn-vulkan,64,0,3.8,355,2434,1898,12735
nihui/dain-ncnn-vulkan,64,0,3.8,337,2405,1853,10286
lwip-tcpip/lwip,64,111,6,1227,3699,44590,109858
NVIDIAGameWorks/Path-Tracing-SDK,64,280,2.3,224,2325,65871,289759
prusa3d/Prusa-Firmware-Buddy,63,421,3.1,866,9033,897961,1604325
LAStools/LAStools,63,705,5.5,221,1527,12268,115347
libtcod/libtcod,62,347,4.7,77,931,25970,68153
sysstat/sysstat,61,46,6.4,103,700,23634,49311
Murmele/Gittyup,61,0,5.5,632,7120,13650,69065
asset-group/5ghoul-5g-nr-attacks,60,208,0.6,165,2353,145028,451134
AMReX-Codes/amrex,60,174,6.2,144,1186,28478,261057
realm/realm-core,59,0,5.4,614,8070,108236,674691
liblava/liblava,59,322,5,548,5705,8207,17450
kanryu/quickviewer,59,1220,2.1,396,2967,40048,425308
chexiongsheng/build_xlua_with_libs,59,-1,3,58,1819,34515,250521
amsynth/amsynth,59,27,4,14,254,2091,9480
zynaddsubfx/zynaddsubfx,58,2,4.6,80,1994,8747,46902
picolibc/picolibc,58,214,5.5,99,801,104207,369065
linuxmint/warpinator,58,1425,4.9,379,5406,246128,953267
libjpeg-turbo/libjpeg-turbo,58,189,6.5,138,769,18682,62557
cmusphinx/pocketsphinx,58,215,5.7,149,1210,23226,57773
STMicroelectronics/STM32CubeH7,58,0,5.4,303,819,773460,5872735
LibVNC/libvncserver,58,171,5.9,79,494,8181,43603
galkahana/PDF-Writer,57,929,5.9,336,3015,95409,293920
wb2osz/direwolf,56,87,5.7,172,690,32525,59145
niessner/VoxelHashing,56,0,2.4,12,420,142320,578128
airbus-cert/Yagi,56,0,3.8,233,2806,1791,5873
RoaringBitmap/CRoaring,56,21,7.1,59,957,8317,41111
paullouisageneau/libdatachannel,55,-1,5.7,310,1945,2500,21671
glassechidna/zxing-cpp,55,674,4.8,65,578,8644,27844
dog-qiuqiu/MobileNet-Yolo,55,161,3,70,755,6226,44630
bambulab/BambuStudio,55,130,4.8,335,2270,156534,834008
Samsung/TizenRT,55,33,4.2,673,7102,1601511,3610330
ProtonVPN/android-app,55,2336,4.3,716,3701,222005,925366
torognes/vsearch,54,123,5,69,341,6363,30543
schismtracker/schismtracker,54,270,5.2,182,1375,10338,58606
projectM-visualizer/projectm,54,0,6,77,616,18954,76609
parallel101/course,54,243,1.8,20,954,34071,136906
neka-nat/cupoch,54,461,4.9,245,1854,53674,240661
nativeformat/NFHTTP,54,-1,3.7,304,2417,74732,134313
mariotaku/moonlight-tv,54,274,4.8,232,2113,1270,18255
diffblue/cbmc,54,47,5.4,778,6275,71873,495988
dankamongmen/notcurses,54,-1,6.3,189,1086,7706,94162
ppwwyyxx/OpenPano,53,323,3.9,29,280,13904,63557
monero-project/monero-gui,53,0,5.9,664,4491,3106,34333
magiblot/tvision,53,221,4.8,30,828,5944,42094
alliedmodders/sourcemod,53,85,5.4,133,625,146658,390990
AlexandreRouma/SDRPlusPlus,53,630,4.8,150,1649,23908,119753
zeromq/czmq,52,202,4.8,92,814,22700,50657
openpilot/OpenPilot,52,0,2.4,14,530,280062,623416
exult/exult,52,600,5,222,2536,32575,161054
USCiLab/cereal,52,237,5,2,23,10724,30813
yodaos-project/yodaos,51,227,2,233,2097,675691,3233648
seladb/PcapPlusPlus,51,561,4.9,179,1403,27961,89010
oscarpilote/Ortho4XP,51,65,3.9,24,91,12847,41534
muse-sequencer/muse,51,0,4.4,621,5042,74838,265894
linux-rdma/rdma-core,51,0,6.8,238,3882,22780,167025
Netflix/msl,51,642,4.4,325,2628,36109,90802
AcademySoftwareFoundation/openexr,51,1437,8.1,258,1939,25089,227255
turbolent/w2c2,50,663,4.4,54,524,2270,120463
thedmd/imgui-node-editor,50,49,5.1,123,1166,11600,60634
lethal-guitar/RigelEngine,50,367,4.3,165,1958,21774,102824
horsicq/XMachOViewer,50,55,5,746,10716,160,545
horsicq/DIE-engine,50,24,5,634,10158,327,991
google/sandboxed-api,50,240,6.8,426,5159,8727,38773
geany/geany,50,-1,6.7,567,5613,33843,227701
akumuli/Akumuli,50,0,3.2,104,1300,10779,55667
Rubberduckycooly/Sonic-CD-11-Decompilation,50,112,4.9,190,730,743,27126
RedisLabs/redisraft,50,498,5.7,99,868,6584,32917
martijnvanbrummelen/nwipe,49,56,5.8,41,214,4964,16343
axiomatic-systems/Bento4,49,604,5.2,110,1148,23040,61347
SIPp/sipp,49,31,5.9,69,533,5248,31495
twitter/pelikan,48,280,4.8,404,1292,7384,38677
tats/w3m,48,-1,4.1,235,1161,2058,60077
smasherprog/screen_capture_lite,48,186,4.9,85,1057,18040,70908
never-lang/never,48,39,5.4,54,763,3159,31606
mitsuba-renderer/mitsuba3,48,7,5.9,425,4582,18012,71614
logicalclocks/rondb,48,251,5.2,150,1709,1230151,3809322
elfmz/far2l,48,162,5.1,583,5116,42826,400080
davidmoreno/onion,48,0,5.8,82,440,7074,18025
chirlu/sox,48,-1,4.3,113,760,13152,41166
VladyslavUsenko/basalt-mirror,48,-1,3.9,109,1290,13228,56357
PCRE2Project/pcre2,48,233,6.5,66,198,15474,97339
LomoX-Offical/nginx-openresty-windows,48,451,0,152,809,159973,756975
osqp/osqp,47,55,4.9,54,670,5527,20622
can1357/NoVmp,47,2,3.6,244,3440,2121,4247
KhronosGroup/OpenCL-SDK,47,14,5.4,47,661,1143,28478
Jaysmito101/TerraForge3D,47,14,5,301,3169,7733,35395
Azure/azure-iot-sdk-c,47,934,7,1071,3776,31217,215336
Apress/Ray-Tracing-Gems-II,47,140,2.5,95,1274,72667,279470
stella-emu/stella,46,320,6.8,89,2402,167977,356945
openglonmetal/MGL,46,92,4.8,41,563,33746,190445
aetilius/pHash,46,162,5.5,2,15,10472,82539
ZDoom/gzdoom,46,337,4.9,183,1333,115977,653541
ZDoom/Raze,46,337,3.7,183,1333,115456,667831
ShadowsocksR-Live/shadowsocksr-native,46,1913,3.8,260,2548,2167,19689
SRombauts/SQLiteCpp,46,-1,4.6,456,3841,89868,163669
shadowsocksr-backup/shadowsocksr-libev,45,210,3.9,100,1170,8570,60085
quickjs-ng/quickjs,45,643,6.2,214,1519,4688,87359
encryptogroup/ABY,45,-1,4.3,55,773,5468,19993
dalerank/nanogui-sdl,45,118,5.8,12,309,4718,49099
bytedance/terarkdb,45,245,4.3,357,4947,60741,321783
0xnobody/vmpattack,45,0,3.6,242,3401,1650,3186
switch-iot/hin2n,44,177,2.3,82,560,11738,30264
openctp/openctp,44,63,4.1,12,313,103283,129702
openai/retro,44,539,2.6,230,2355,250889,897543
lockedbyte/CVE-Exploits,44,263,1.9,408,1754,103839,462830
horsicq/XAPKDetector,44,22,4.8,597,8381,242,869
holzschu/ios_system,44,0,4,344,1911,131047,466552
helloexp/0day,44,263,0.5,407,1752,114368,542301
StereoKit/StereoKit,44,346,5,76,1429,21813,180559
vtil-project/VTIL-Core,43,1,5.2,244,3386,11581,109262
rism-digital/verovio,43,-1,5.5,701,6668,74995,262948
maplibre/maplibre-native,43,-1,6,394,4590,132997,366283
Speek-App/Speek,43,338,3.2,108,1733,24189,95459
ylmbtm/GameProject3,42,29,1.9,828,16603,67595,359718
mixxxdj/mixxx,42,32,5.9,300,5103,38048,256481
ladislav-zezula/StormLib,42,303,5.9,114,779,16764,49135
koying/SPMC,42,50,2.4,61,471,177348,710344
jgaeddert/liquid-dsp,42,153,5.1,7,597,41322,114208
horsicq/XPEViewer,42,0,4.8,460,6465,160,496
horsicq/XELFViewer,42,0,4.8,483,6713,165,521
haka-security/haka,42,0,3.7,62,605,2668,22664
gabonator/LA104,42,119,2.1,219,2417,97977,368466
decaf-emu/decaf-emu,42,1,4.1,492,5405,14231,186383
NVlabs/flip,42,168,5.1,2,18,3824,21625
Koihik/LuaFormatter,42,0,4.4,34,805,208,8091
JaCzekanski/Avocado,42,471,4.3,206,1879,3273,36519
solodon4/Mach7,41,166,4.3,373,1092,32958,76242
soedinglab/MMseqs2,41,277,5.7,364,2150,42923,317304
paulftw/hiberlite,41,7,4.6,142,1222,36,2308
nmwsharp/geometry-central,41,900,4.7,116,1265,8314,31569
autobleem/AutoBleem,41,1,2,208,1948,88850,167026
