repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
samtools/htslib,171,1418,1036,7.7,333,1606,17526,64269
LabSound/LabSound,170,918,477,5.9,72,738,6502,40170
wiredtiger/wiredtiger,169,3,0,7.2,1423,3761,74731,174419
mit-biomimetics/Cheetah-Software,169,-1,77,6,2,380,36420,96346
navit-gps/navit,166,154,0,6.9,275,2219,39948,183742
etlegacy/etlegacy,166,-1,185,6.4,924,7491,100595,365721
SchedMD/slurm,166,-1,-1,7.6,1813,8599,121571,498719
SatDump/SatDump,166,6,367,5.6,834,6646,78858,380175
WolfireGames/overgrowth,161,-1,517,4.9,779,4065,384416,2331673
sheredom/utf8.h,157,-1,6,5.8,44,314,517,3716
adaptech-cz/Tesseract4Android,157,1725,893,6.4,1307,6039,171863,445879
yasm/yasm,154,651,358,6.7,134,1122,13344,55793
tcltk/tcl,153,-1,1159,6.1,806,2891,116224,224326
ptitSeb/box64,151,-1,0,5.1,1587,27781,36185,185118
kangjianwei/Data-Structure,150,-1,159,5.9,76,2347,46388,103628
catsout/wallpaper-engine-kde-plugin,150,0,7,6.4,518,3484,50480,243619
yrnkrn/zapcc,147,-1,1,3.7,4415,43165,894807,2602717
renard314/textfairy,146,422,79,4.4,972,4204,161955,405257
adishavit/argh,146,0,57,6.8,25,35,652,6106
qcad/qcad,145,-1,2058,7.6,1279,9721,270501,1559446
microsoft/msix-packaging,145,6231,3631,6.7,1092,9825,156066,786352
ddiakopoulos/libnyquist,145,0,155,6.9,50,266,35503,151182
Polidea/SiriusObfuscator,145,1,46,4.2,3182,27492,1166840,3908540
nmwsharp/polyscope,143,0,922,6.2,437,5386,22661,244624
kdave/btrfs-progs,143,3332,-1,5.4,464,1969,19256,119707
eclipse/omr,142,349,0,6.2,386,3059,207751,789743
toggl-open-source/toggldesktop,141,-1,65,2.7,677,8587,245078,1080983
samba-team/samba,141,-1,21,8.2,1552,13831,406612,1912027
ARM-software/vulkan_best_practice_for_mobile_developers,141,-1,384,6.5,1087,8569,6555,21927
erich666/GraphicsGems,140,-1,392,6.3,124,1103,15735,53739
bigartm/bigartm,140,0,1071,5.3,574,9836,85838,311660
OpenVSP/OpenVSP,139,0,-1,6.3,944,5095,81444,449426
flomesh-io/pipy,138,774,1306,4.8,322,5287,142927,893817
squid-cache/squid,137,1712,-1,7.1,659,5358,50614,207446
Try/OpenGothic,135,-1,0,6.9,581,7006,2129,61317
envytools/envytools,134,-1,19,6.5,765,5224,11750,111819
punesemu/puNES,133,1507,1498,5,822,8493,116834,714890
CloudCompare/CloudCompare,132,788,0,6,622,5085,70772,268018
axmolengine/axmol,131,0,226,5.3,165,2755,315472,1486912
GoSSIP-SJTU/Armariris,131,-1,1,5.1,3926,37118,720083,2092898
miranda-ng/miranda-ng,130,-1,17,5,1877,33218,535380,2363336
metartc/metaRTC,129,-1,146,6.6,46,1099,135163,157198
google/tensorstore,129,-1,287,8.4,2697,29562,63977,264220
TorqueGameEngines/Torque3D,128,3046,2194,5.3,1216,8430,640657,2579690
NVIDIA/Q2RTX,128,-1,0,6.4,717,6850,21365,148366
Yixin-Hu/TetWild,127,143,905,6.3,191,1931,2254,9971
Sneeds-Feed-and-Seed/sneedacity,127,-1,1093,5.2,365,3476,246869,888774
coin-or/Ipopt,126,3585,307,6.7,87,792,24122,99331
espeak-ng/espeak-ng,125,513,185,5.9,105,546,4981,45433
JoshMarler/react-juce,125,404,0,4.2,0,7,67544,215327
MaJerle/stm32-usart-uart-dma-rx-tx,124,-1,1,4.9,225,1820,1749784,4546170
nfs-ganesha/nfs-ganesha,123,0,121,7,841,2926,66501,172199
RobLoach/raylib-cpp,123,0,-1,6.7,66,719,2889,5498
OpenXRay/xray-16,123,0,304,4.7,945,16745,135844,795283
soedinglab/hh-suite,121,-1,38,4.5,83,331,16529,168548
RandyGaul/cute_framework,121,-1,150,5.4,1847,5789,44685,314380
mfem/mfem,118,0,-1,7.5,714,4031,60796,383203
thiagoralves/OpenPLC_v3,117,355,382,6.5,75,1001,73575,212472
KhronosGroup/KTX-Software,117,639,1856,4.8,798,4247,127123,458966
ampl/gsl,116,1892,288,6.6,365,2537,64086,297928
pure-data/pure-data,115,912,903,8.1,205,2219,19365,125925
pocl/pocl,115,2,37,7,354,1022,24747,142277
hanwckf/rt-n56u,115,-1,323,2.9,223,2365,3308594,16228099
DISTRHO/DPF,115,-1,172,3.4,5,371,21362,102791
freebayes/freebayes,114,0,-1,4.8,260,1559,11005,130486
StanfordLegion/legion,114,0,-1,6.4,438,4724,67205,377232
tenable/routeros,113,-1,249,6.2,87,1391,2451,11473
tunabrain/tungsten,111,879,-1,5.5,135,1999,20115,226213
Qihoo360/QConf,111,207,137,4.8,669,4131,70495,217831
facebookresearch/habitat-sim,110,485,-1,8.7,780,8228,29500,111828
eclipse/wakaama,110,-1,628,7.6,332,2178,3439,28889
DanBloomberg/leptonica,110,1163,-1,5.9,974,3962,97307,197988
ultimatepp/ultimatepp,109,-1,-1,6.8,643,7853,220574,1221237
NVIDIAGameWorks/Path-Tracing-SDK,109,114,305,4.9,429,4532,65453,289820
mgerhardy/vengi,108,472,0,5.5,931,8084,138181,667710
emqx/nanomq,107,255,1106,6.6,243,2790,1751,22736
openxla/iree,106,-1,-1,6,4783,72283,68191,283286
tksuoran/erhe,105,-1,13,6.9,385,5693,38154,340722
r-lyeh-archived/scriptorium,105,24,219,5,328,2952,430151,1651306
TASEmulators/desmume,105,158,-1,4.6,659,6096,121138,460846
PolygonTek/BlueshiftEngine,105,339,-1,4.6,390,2629,239889,904850
open5gs/open5gs,104,-1,0,5.1,2429,15012,91415,1073688
vgmstream/vgmstream,103,467,-1,4.8,289,1864,42445,145787
libnice/libnice,103,0,-1,6.4,1457,12273,13703,38173
sleuthkit/sleuthkit,102,-1,526,7.6,395,2435,93679,196200
joncampbell123/dosbox-x,102,-1,1123,6.7,716,5305,320620,1714224
MirrorYuChen/ncnn_example,102,15,210,5.8,568,2849,75208,458526
Cisco-Talos/pyrebox,102,2072,112,4.8,412,2423,305189,1660669
mltframework/mlt,101,40,-1,5.8,187,1650,23419,106336
gideros/gideros,101,-1,875,5.2,308,2236,536749,1723404
acassen/keepalived,101,-1,179,6.3,177,1365,11077,66907
GNOME/libxml2,100,2833,-1,7.2,545,3598,56404,211256
FreeTDS/freetds,100,-1,-1,7.2,177,1020,17781,97202
septag/rizz,99,-1,362,5.6,311,2749,27876,196511
mgerdes/Open-Golf,99,-1,-1,5.1,258,2159,29148,160897
gwaldron/osgearth,98,29,143,5.2,26,211,91939,568654
OpenBoardView/OpenBoardView,98,474,0,6.1,281,2547,72314,132862
DiligentGraphics/DiligentCore,98,-1,1,5.5,1440,10926,59205,254845
symengine/symengine,97,0,2655,5.4,65,1315,14715,111351
raspberrypi/rpi-imager,97,-1,732,5.4,854,5185,115830,412785
ptitSeb/box86,97,-1,0,4.9,338,5142,34784,145778
ETLCPP/etl,97,0,15,6.2,3181,11887,68079,237730
openvswitch/ovs,96,9870,-1,6.4,613,8913,64405,306781
kohler/click,96,-1,905,5.2,265,2829,66633,243252
GPUOpen-Tools/compressonator,96,-1,21,5.4,205,1372,67072,306026
saghul/txiki.js,95,-1,638,5.1,445,3681,4966,121418
util-linux/util-linux,94,0,-1,8.6,603,4165,32673,166748
vifm/vifm,93,44,-1,7.8,120,3700,27525,171778
raspberrypi/userland,93,-1,168,6.4,381,2752,53488,146587
qhull/qhull,93,44,-1,6.9,270,1010,19938,57549
OGRECave/ogre-next,93,-1,-1,5.4,283,4772,161129,462334
DanielSWolf/rhubarb-lip-sync,92,4,128,4.1,305,2450,129430,629649
yourWaifu/sleepy-discord,91,0,240,5.4,510,3593,4243,22936
steineggerlab/foldseek,91,75,-1,5.3,626,3771,49062,418317
MayaPosch/NymphCast,91,0,260,5.1,587,3031,25763,174595
julius-speech/julius,90,339,263,5.7,80,726,76584,175580
Rubberduckycooly/Sonic-1-2-2013-Decompilation,90,-1,258,5.2,260,948,612,38251
y123456yz/reading-and-annotate-mongodb-3.6,87,2309,12,4.5,740,2188,804371,2861087
rbfx/rbfx,87,2972,1442,6.4,998,8112,524297,2848116
moai/moai-dev,86,-1,749,5,540,4737,255370,996106
cgsecurity/testdisk,86,294,243,7.2,162,1300,26771,85246
openocd-org/openocd,85,331,-1,5.4,656,5289,43242,242779
nowar-fonts/Warcraft-Font-Merger,85,-1,1044,4.6,134,1117,9970,49961
SapphireServer/Sapphire,85,0,435,6.1,179,6323,28208,204975
turbolent/w2c2,84,-1,647,6.2,46,458,2138,115763
open-mpi/hwloc,84,4864,43,7.4,314,1444,13349,59548
monitoring-plugins/monitoring-plugins,84,-1,91,6.7,95,372,18217,75863
floe/backscrub,84,26,17,6.6,1050,5972,284,1622
HaxeFoundation/hashlink,84,-1,0,5.2,252,2126,134392,362525
jmk-foofus/medusa,83,-1,112,4.6,74,261,3521,18883
iondbproject/iondb,83,-1,220,7.3,59,998,10421,18905
phaag/nfdump,82,-1,151,6,115,827,12714,62995
milkytracker/MilkyTracker,82,328,490,6.9,203,1853,23809,179443
ermig1979/Simd,82,0,0,5.4,501,6190,35251,300663
enginmanap/limonEngine,82,5,-1,5.5,562,4397,21575,97622
tildearrow/furnace,81,1027,229,5.7,1055,8246,75316,804294
OpenMS/OpenMS,81,0,5,4.2,1143,10370,254646,993486
oNaiPs/droidVncServer,80,2760,321,5,189,1215,92938,307057
liballeg/allegro5,80,0,536,6.5,222,2867,19338,147766
iqiyi/dpvs,80,-1,155,6.4,148,1143,19469,116204
fhanau/Efficient-Compression-Tool,80,61,265,4.7,234,1148,6123,19171
syoyo/tinygltf,79,29,238,7.2,28,231,37544,192579
projectchrono/chrono,79,1505,0,6.3,202,2969,158717,499331
networkupstools/nut,79,-1,333,7,364,1893,30992,109677
esmini/esmini,79,17,274,5.3,164,1587,8830,77368
POV-Ray/povray,78,-1,578,4,220,1324,249411,984333
panda3d/panda3d,77,-1,0,4.3,11,399,195217,640763
drowe67/codec2-dev,77,0,0,5.9,85,550,15994,130993
curv3d/curv,77,373,270,3.9,204,2598,26745,95592
Blizzard/s2client-api,77,0,0,6.5,410,4759,1956,17002
varnishcache/varnish-cache,76,1690,343,6.1,1330,2944,26807,109348
su2code/SU2,76,0,84,6,59,419,284338,489604
facebook/igl,76,0,-1,6,376,3562,11254,64351
opentomb/OpenTomb,75,-1,58,5.8,180,2546,69628,286954
galkahana/HummusJS,75,0,494,7.3,268,2453,78920,238635
godlikepanos/anki-3d-engine,74,-1,-1,2.8,789,8936,293343,1833614
vittorioromeo/SSVOpenHexagon,73,138,0,4,404,4762,99868,229526
galkahana/PDF-Writer,73,0,929,6.3,292,2773,93868,273570
distcc/distcc,73,1470,47,6.4,65,502,8508,27938
Gargaj/Bonzomatic,73,227,76,3.8,175,1985,41552,243925
yvt/openspades,72,0,-1,5.4,516,3942,23492,133455
symforce-org/symforce,72,0,86,6.3,38,945,25246,179497
ptpd/ptpd,71,307,-1,6.5,49,438,5582,25335
KqSMea8/AirplayServer,70,1532,1150,5.9,419,1793,89350,264972
DeaDBeeF-Player/deadbeef,70,1659,1147,6,419,1793,152323,624523
pineappleEA/pineapple-src,69,806,197,3.4,527,3171,394623,2411295
nihui/waifu2x-ncnn-vulkan,69,0,0,4.6,332,2372,1812,9596
0ad/0ad,69,0,0,5.7,246,1770,389427,1111052
uclouvain/openjpeg,68,841,384,5.3,283,1855,45046,164378
pbek/QOwnNotes,68,0,1105,3.5,614,7677,30100,166345
nihui/realsr-ncnn-vulkan,68,0,0,4.4,333,2370,1811,9451
nihui/realcugan-ncnn-vulkan,68,0,0,4.4,362,2532,1887,12058
vgmtrans/vgmtrans,67,95,122,4.3,135,1312,24482,150382
kosua20/MIDIVisualizer,67,0,432,5.6,205,1973,41460,169926
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,67,49,71,6.8,205,972,5598,36227
artclarke/humble-video,67,-1,1137,6.3,390,3100,393158,2253933
Aloshi/EmulationStation,67,-1,-1,6.4,52,1253,2352,79054
mstorsjo/fdk-aac,66,1738,1133,4.7,429,1786,59106,128102
lwip-tcpip/lwip,66,0,-1,7,1217,3688,44531,109508
liuyubobobo/Play-Leetcode,66,-1,0,7.2,85,4065,27260,124265
colobot/colobot,66,-1,314,7.1,261,2519,25469,134514
OGRECave/ogre,66,194,559,6.6,368,5853,124546,362637
MRPT/mrpt,66,-1,85,6.1,296,4751,135127,651762
LouisBrunner/valgrind-macos,66,-1,-1,5.9,1121,7830,141219,818252
DefTruth/lite.ai.toolkit,66,-1,80,3.8,21,1148,55222,174021
riscv-software-src/riscv-isa-sim,65,11,-1,6.6,5272,10393,14304,49643
nmap/ncrack,65,4,446,4.3,103,1075,32435,85130
mattgodbolt/zindex,65,-1,-1,6.6,170,1451,60781,114269
tfussell/xlnt,64,0,2840,5.4,567,5142,15192,59335
nihui/rife-ncnn-vulkan,64,0,0,4.4,355,2434,1898,12735
nihui/dain-ncnn-vulkan,64,0,0,4.4,337,2405,1853,10286
CoolProp/CoolProp,64,0,102,5.3,144,1519,13647,55377
CESNET/UltraGrid,64,302,0,5.2,199,2012,48022,138092
libtcod/libtcod,62,376,347,5.3,77,931,25970,68155
sysstat/sysstat,61,96,46,7.1,103,699,23625,49176
Murmele/Gittyup,61,-1,0,5.9,631,7111,13623,68832
wb2osz/direwolf,60,316,89,6.1,157,634,29351,53970
picolibc/picolibc,60,0,218,6,95,779,105121,366921
liblava/liblava,60,-1,331,5.5,544,5636,8156,17336
ComodoSecurity/openedr,60,617,213,5,258,2829,946466,4659303
AMReX-Codes/amrex,60,-1,114,6.5,146,1133,27813,255947
prusa3d/Prusa-Firmware-Buddy,59,0,421,5.2,921,8588,892847,1606973
kanryu/quickviewer,59,-1,1220,4.6,396,2967,40048,425308
chexiongsheng/build_xlua_with_libs,59,-1,-1,3.8,58,1819,34515,250521
amsynth/amsynth,59,-1,22,5.7,9,219,2108,9361
RoaringBitmap/CRoaring,59,0,425,8,57,883,7042,34049
zynaddsubfx/zynaddsubfx,58,1116,2,5,80,1994,8747,46890
torognes/vsearch,58,1419,127,6.5,69,339,6337,30445
libjpeg-turbo/libjpeg-turbo,58,130,192,7.6,138,769,18646,62524
cmusphinx/pocketsphinx,58,3500,215,6.3,149,1210,23226,57771
LibVNC/libvncserver,58,0,171,7.3,79,494,8206,43803
facebook/mysql-5.6,57,1627,185,8.3,93,1059,411217,1732574
bambulab/BambuStudio,57,0,46,4.8,333,2242,152672,802645
SoftFever/OrcaSlicer,57,0,128,4.3,333,2242,157538,819480
Embroidermodder/Embroidermodder,57,0,77,6.5,180,1754,38532,165224
niessner/VoxelHashing,56,0,0,5.2,12,420,142320,578128
libjxl/libjxl,56,484,-1,8.9,483,2685,17022,132627
airbus-cert/Yagi,56,-1,0,4.4,233,2806,1791,5873
unum-cloud/ucall,55,0,-1,7.9,740,5849,371,3656
glassechidna/zxing-cpp,55,405,674,6.6,65,578,8644,27844
dog-qiuqiu/MobileNet-Yolo,55,-1,161,5.5,70,755,6226,44630
Samsung/TizenRT,55,-1,0,6.4,673,7102,1534083,3518364
ProtonVPN/android-app,55,-1,2336,6.2,716,3701,222005,925366
AlexandreRouma/SDRPlusPlus,55,0,624,5.8,147,1605,23605,117230
schismtracker/schismtracker,54,601,276,5.8,183,1364,10301,58513
realm/realm-core,54,1810,0,5.7,545,7313,102963,641371
projectM-visualizer/projectm,54,0,0,6.3,77,613,19448,81861
parallel101/course,54,0,33,5.6,20,954,34071,136906
neka-nat/cupoch,54,0,461,5.1,245,1854,53671,240586
nativeformat/NFHTTP,54,-1,-1,6.2,304,2417,74732,134313
mariotaku/moonlight-tv,54,191,86,5.4,233,2077,1208,17643
dankamongmen/notcurses,54,669,-1,6.2,189,1085,7701,94158
ppwwyyxx/OpenPano,53,-1,348,5.6,29,280,14604,69720
monero-project/monero-gui,53,-1,0,6.4,650,4437,3106,34340
alliedmodders/sourcemod,53,527,85,6.5,133,625,146646,390860
zeromq/czmq,52,1372,202,5.7,92,814,22700,50657
skylersaleh/SkyEmu,52,0,74,5.6,615,4914,90039,923415
exult/exult,52,847,569,5.5,212,2531,32197,151071
USCiLab/cereal,52,0,237,5.6,2,23,10724,30813
Esenthel/EsenthelEngine,52,1765,622,5.6,350,1685,796886,3976058
yodaos-project/yodaos,51,-1,204,2.7,233,2097,675691,3233648
muse-sequencer/muse,51,12,0,5,622,5044,74806,265428
magiblot/tvision,51,572,218,5.6,31,820,5902,41405
kiddin9/openwrt-packages,51,108,42,4.8,82,337,26507,212354
geany/geany,51,1382,-1,6.4,556,5509,33366,224353
akumuli/Akumuli,51,-1,0,5.3,104,1301,10779,55667
Netflix/msl,51,-1,343,6.2,325,2628,36109,90802
thedmd/imgui-node-editor,50,-1,45,5.8,123,1165,12412,65649
seladb/PcapPlusPlus,50,1104,558,5.6,142,1379,27257,85987
linux-rdma/rdma-core,50,-1,0,7.1,235,3845,22721,166116
lethal-guitar/RigelEngine,50,260,365,5.5,165,1957,21774,102809
google/sandboxed-api,50,-1,-1,6.9,423,5147,8673,38389
Rubberduckycooly/Sonic-CD-11-Decompilation,50,-1,112,5.2,190,730,743,27123
RedisLabs/redisraft,50,0,381,6.9,99,868,6584,32917
AcademySoftwareFoundation/openexr,50,274,1433,8.1,254,1919,24841,225703
root-project/root,49,0,167,3.2,125,600,1249928,4720324
axiomatic-systems/Bento4,49,-1,606,5.9,110,1148,23036,61280
twitter/pelikan,48,224,280,5.2,404,1292,7384,38677
tats/w3m,48,-1,-1,5.3,235,1161,2058,60077
smasherprog/screen_capture_lite,48,13,186,7,85,1057,18040,70908
mitsuba-renderer/mitsuba3,48,88,7,6.5,420,4526,17440,69087
elfmz/far2l,48,-1,168,6,278,2966,42600,396601
davidmoreno/onion,48,43,0,7.3,82,440,7074,18025
chirlu/sox,48,0,-1,6.4,113,760,13152,41166
VladyslavUsenko/basalt-mirror,48,-1,-1,6.2,109,1290,13228,56357
LomoX-Offical/nginx-openresty-windows,48,637,451,3.2,152,809,159973,756975
DFHack/dfhack,48,-1,0,5.7,295,4736,34496,182458
osqp/osqp,47,0,55,6.2,54,670,5527,20622
can1357/NoVmp,47,-1,2,5.6,244,3440,2121,4247
Apress/Ray-Tracing-Gems-II,47,-1,-1,5.2,95,1274,72667,279470
ton-blockchain/ton,46,-1,0,5,610,12300,28656,285918
stella-emu/stella,46,-1,318,6.9,86,2400,167866,357067
openglonmetal/MGL,46,0,92,6.7,41,554,40163,228745
aetilius/pHash,46,0,162,7.1,2,15,10472,82539
ShadowsocksR-Live/shadowsocksr-native,46,921,1913,4.8,260,2548,2167,19689
SRombauts/SQLiteCpp,46,0,-1,6.3,456,3841,89868,163669
Azure/azure-iot-sdk-c,46,0,618,7.3,1064,3769,31174,215454
shadowsocksr-backup/shadowsocksr-libev,45,-1,211,6.2,100,1170,8570,60085
paullouisageneau/libdatachannel,45,0,-1,6.2,310,1930,2624,21391
dalerank/nanogui-sdl,45,-1,118,7.3,12,309,4718,49099
bytedance/terarkdb,45,0,245,4.9,357,4947,60741,321783
PureDarwin/PureDarwin,45,-1,-1,4.9,54,551,546186,1681709
David-Haim/concurrencpp,45,0,0,5.7,0,2379,488,16604
switch-iot/hin2n,44,-1,-1,4.7,82,560,11738,30264
openai/retro,44,1767,539,5.4,230,2355,250889,897543
lockedbyte/CVE-Exploits,44,-1,263,4.8,408,1754,103839,462830
helloexp/0day,44,-1,263,4.5,407,1752,114368,542301
angband/angband,44,-1,325,5.1,513,3680,68560,199220
LAStools/LAStools,44,23873,665,5.4,160,1029,11872,110721
vtil-project/VTIL-Core,43,-1,2,5.7,244,3386,11581,109262
pisa-engine/pisa,43,0,-1,6.7,88,2037,1043,21951
Speek-App/Speek,43,0,377,5.3,108,1733,24189,95459
BestImageViewer/geeqie,43,254,0,6.1,227,2751,11536,111375
ylmbtm/GameProject3,42,-1,148,4.8,828,16603,67595,359718
rism-digital/verovio,42,0,-1,5.9,679,6533,74100,256989
maplibre/maplibre-native,42,24,-1,6.3,388,4510,133228,361211
ladislav-zezula/StormLib,42,0,303,7.3,114,779,16684,48882
koying/SPMC,42,1284,50,4.8,61,471,177348,710344
jgaeddert/liquid-dsp,42,0,153,6.2,7,597,41229,113782
haka-security/haka,42,-1,0,5.7,62,605,2668,22664
