repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
etternagame/etterna,369,-1,3.8,1858,17805,308923,1064434
merryhime/dynarmic,364,177,5.5,191,4245,40450,225132
jupyter-xeus/cpp-terminal,353,153,5.7,29,322,1169,7093
veyon/veyon,346,0,4.9,333,1233,11657,45389
gphoto/libgphoto2,340,827,6.9,242,1733,31971,138065
alexbatalov/fallout1-ce,334,294,4.8,285,2488,8321,105664
KhronosGroup/COLLADA2GLTF,332,190,3.6,2754,15104,451,7894
falkTX/Carla,331,-1,3.4,194,1846,209884,785128
alexbatalov/fallout2-ce,329,320,5.1,340,2795,10857,120188
klaussilveira/qengine,327,488,3.9,917,7504,75142,426378
USBhost/MX_FFmpeg,327,1363,1.6,1315,7146,368156,1916109
ellson/MOTHBALLED-graphviz,323,-1,2.9,519,3320,33441,1062670
gammu/gammu,322,0,6.9,247,2051,18624,111693
FreeFem/FreeFem-sources,319,-1,3.3,598,3150,42048,277642
Skulltrail192/One-Core-Api,311,0,3.7,287,1986,1053801,6688806
skylicht-lab/skylicht-engine,307,-1,4.6,803,7901,205677,800016
pierreguillot/Camomile,305,968,4,308,4304,4493,15556
mangoszero/server,295,-1,3.9,1007,10319,41361,227353
adaptech-cz/Tesseract4Android,295,893,4,1598,8569,171861,445879
acl-dev/acl,295,674,4.4,526,9790,179456,508995
Stichting-MINIX-Research-Foundation/minix,288,383,2.4,2702,20852,1679506,5601445
DynamoRIO/drmemory,288,192,4.1,836,5557,28685,134505
freesurfer/freesurfer,286,1044,2.1,2210,10403,245457,1270108
micmacIGN/micmac,284,0,2.8,775,12374,244867,1627451
casadi/casadi,284,-1,5.2,388,4355,88550,188815
TASEmulators/fceux,276,0,3.2,231,3564,43476,251266
termux/termux-x11,270,0,4.7,927,5946,266,4109
OpenSmalltalk/opensmalltalk-vm,267,594,4.1,353,4610,948526,4300217
julius-speech/julius,266,353,3.7,183,1318,76584,175580
gongminmin/KlayGE,266,0,5.3,2073,16991,15402,186573
TheAssemblyArmada/Thyme,265,226,6.5,788,5791,37515,297893
wheybags/freeablo,260,3055,2.3,1334,9143,212090,975094
LiangliangNan/Easy3D,260,0,5,561,4130,121958,479470
openbabel/openbabel,254,96,5.9,853,3512,66058,306698
csound/csound,254,2,4.1,511,4210,42127,212659
groonga/groonga,247,-1,6.4,1259,4305,12922,613809
DarkflameUniverse/DarkflameServer,247,525,7.5,431,5521,88561,238534
simbody/simbody,246,-1,5.1,402,4220,118709,269208
audeering/opensmile,246,1686,3.8,442,3310,19017,101851
muhanzhang/SEAL,242,487,0.2,308,897,11981,75251
coronalabs/corona,239,-1,4.2,763,9054,340683,1046456
ring-lang/ring,238,2335,3.7,1097,6794,336930,2079531
seemoo-lab/nexmon,237,2003,4.5,3293,29808,1064582,5561438
trailofbits/cb-multios,235,-1,5,2172,35525,420695,6908805
pachterlab/kallisto,233,1502,5.1,328,1991,25210,120384
bluekitchen/btstack,233,898,4,765,17005,639020,1313752
xapian/xapian,232,1,5.2,1931,11135,42627,122617
Themaister/Granite,230,-1,5.8,2354,19087,17372,126986
vhelin/wla-dx,228,0,5.5,173,495,3866,60257
nature-lang/nature,226,517,3.7,116,1114,5695,30234
jlblancoc/suitesparse-metis-for-windows,226,345,4.6,241,1270,125585,415587
dethrace-labs/dethrace,226,464,4.8,396,5445,13703,201366
Hamlib/Hamlib,225,-1,6.4,884,3897,50441,251883
steveicarus/iverilog,224,938,6.6,412,5103,38080,174589
bminor/binutils-gdb,224,3616,5.8,396,4118,561137,3162172
openvenues/libpostal,213,-1,3.5,185,1184,6733,583235
containers/crun,212,608,7.7,277,1165,2714,27008
cfengine/core,212,-1,7.3,242,2867,20170,128513
KhronosGroup/Vulkan-Samples,212,0,7,1440,12687,19854,96727
OpenVisualCloud/SVT-HEVC,208,583,4.4,336,1211,18026,128202
thalium/icebox,206,595,2.9,1600,16464,1782023,5653522
adobe-type-tools/afdko,201,7,6,442,3782,22035,168895
surge-synthesizer/surge,200,13,5,597,5831,108601,347832
agraef/purr-data,199,1039,3.6,240,3219,128795,726583
ipc-sim/IPC,196,2,4.6,397,3356,2436,27097
BespokeSynth/BespokeSynth,195,881,5.9,209,3155,28682,178558
lammps/lammps,191,442,7,702,3650,246942,1213751
beefytech/Beef,191,179,3.6,279,1962,157785,701571
LLNL/RAJA,191,464,6.4,20,257,30952,92196
bjornbytes/lovr,190,0,5,584,6036,13532,127161
vermaseren/form,183,515,4.3,601,1513,31200,126488
eclipse-iceoryx/iceoryx,181,28,6.9,11,628,34958,122763
ablab/spades,181,1184,3.6,557,3284,230221,1051411
keith2018/SoftGLRender,176,612,4.2,773,6379,156601,752696
openxla/iree,175,1,5.8,5242,80059,73253,306597
wiredtiger/wiredtiger,172,137,5.7,1482,3959,79322,182562
pmq20/ruby-packer,172,402,3.4,273,1744,182644,1447379
adventuregamestudio/ags,172,218,4.9,580,7759,99627,327876
RasPlex/OpenPHT,172,596,1.9,296,2144,522916,2510453
Ettercap/ettercap,172,0,5.9,195,1157,19548,58324
samtools/htslib,171,1045,7,336,1630,17644,65418
mit-biomimetics/Cheetah-Software,169,77,3.9,2,380,36420,96346
etlegacy/etlegacy,169,185,6.2,923,7513,100601,365802
LabSound/LabSound,167,475,6.2,72,746,6518,39314
navit-gps/navit,166,0,5.6,275,2219,39948,183742
HarbourMasters/Shipwright,163,-1,5.9,1282,13438,21842,492304
flomesh-io/pipy,161,920,4.4,561,7253,236540,1077925
WolfireGames/overgrowth,161,516,4.1,779,4065,384416,2331673
SatDump/SatDump,156,263,5.2,857,6848,83874,414962
yasm/yasm,154,358,6.1,134,1122,13344,55793
saghul/txiki.js,154,0,5.2,988,8139,89181,216389
LLNL/sundials,153,398,6.2,252,2957,88272,284111
tcltk/tcl,152,1233,5.6,813,2896,116317,224399
powervr-graphics/Native_SDK,151,1268,2.7,1241,10578,43158,318505
kangjianwei/Data-Structure,150,159,3.4,76,2347,46388,103628
catsout/wallpaper-engine-kde-plugin,150,7,5.4,518,3484,50480,243623
ptitSeb/box64,149,2,4.2,1650,29167,37649,195427
yrnkrn/zapcc,147,1,3.2,4415,43165,894807,2602717
pthom/hello_imgui,147,868,5.7,531,4648,3527,29856
renard314/textfairy,146,79,2.3,972,4204,161955,405257
ddiakopoulos/libnyquist,146,155,5.2,50,266,35503,151182
adishavit/argh,146,57,5.1,25,35,652,6106
FundamentalFrequency/LMN-3-DAW,146,0,3.8,7,399,702,14720
qcad/qcad,145,2058,6.2,1279,9721,269844,1558707
nmwsharp/polyscope,145,171,5.8,461,5530,23305,248542
microsoft/msix-packaging,145,3628,4.3,1092,9825,156066,786352
kdave/btrfs-progs,145,-1,5,482,2002,19621,121798
Polidea/SiriusObfuscator,145,29,1.6,3182,27492,1166840,3908540
samba-team/samba,144,21,6.7,1544,13838,410468,1932823
eclipse/omr,142,0,5.8,386,3061,208282,791030
toggl-open-source/toggldesktop,141,65,2,677,8587,245078,1080983
google/tensorstore,141,287,8,2799,30174,64784,269150
ARM-software/vulkan_best_practice_for_mobile_developers,141,384,5,1087,8569,6555,21927
erich666/GraphicsGems,140,392,5.1,124,1103,15752,53724
bigartm/bigartm,140,1070,3.1,574,9836,85838,311660
OpenVSP/OpenVSP,139,60,5.6,944,5095,78792,439221
Try/OpenGothic,136,0,5.5,583,7044,2172,62230
metartc/metaRTC,135,147,4.8,46,1198,137785,160403
envytools/envytools,134,55,5.2,765,5224,11749,111821
punesemu/puNES,133,1512,3.9,836,8616,118651,724836
axmolengine/axmol,133,253,5.2,192,3057,361285,1564421
GoSSIP-SJTU/Armariris,131,1,2.5,3926,37118,720083,2092898
espeak-ng/espeak-ng,130,178,5.4,104,501,4981,45434
squid-cache/squid,129,-1,6.4,648,5258,49350,203796
artclarke/humble-video,128,1137,3.8,823,6515,393158,2253933
Yixin-Hu/TetWild,127,-1,4,191,1931,2254,9971
TorqueGameEngines/Torque3D,127,1166,4.3,1211,8396,636873,2399602
Sneeds-Feed-and-Seed/sneedacity,127,1093,4.8,365,3476,246869,888774
coin-or/Ipopt,126,314,5,87,792,24122,99396
RobLoach/raylib-cpp,126,-1,6.2,63,707,2907,5524
JoshMarler/react-juce,125,0,3.9,0,7,67544,215327
MaJerle/stm32-usart-uart-dma-rx-tx,124,9,4.8,225,1820,1749784,4546170
nfs-ganesha/nfs-ganesha,123,122,5,844,2934,66576,172487
OpenXRay/xray-16,123,69,4.4,980,16775,137455,805949
NVIDIA/Q2RTX,122,0,5.7,775,7322,20820,146048
MayaPosch/NymphCast,122,763,4.1,968,5952,193507,809904
soedinglab/hh-suite,121,34,4.1,83,331,16529,168548
pocl/pocl,121,-1,6.5,375,1177,26196,149039
mfem/mfem,120,-1,7.1,708,4041,62306,391120
thiagoralves/OpenPLC_v3,117,382,4.3,75,1001,73642,212647
KhronosGroup/KTX-Software,117,1858,4.5,799,4255,131681,479493
ampl/gsl,116,288,6.8,365,2537,64086,297929
RandyGaul/cute_framework,116,150,5.1,1847,5792,44687,314429
StanfordLegion/legion,115,-1,4.2,442,4754,68071,381993
pure-data/pure-data,114,904,7.5,205,2220,19369,125994
freebayes/freebayes,114,-1,3.9,260,1559,11005,130486
tenable/routeros,113,258,4.2,87,1391,2451,11473
facebookresearch/habitat-sim,113,35,8,874,8883,30552,114244
hanwckf/rt-n56u,112,288,2.5,219,2328,3308594,16228099
rsummers11/CADLab,111,140,0.2,102,714,49780,249583
Qihoo360/QConf,111,137,2.1,669,4131,70495,217831
Embroidermodder/Embroidermodder,111,-1,4.5,23,595,3550,18813
facebook/igl,110,-1,6.6,755,5292,12557,69969
eclipse/wakaama,110,1478,7.7,529,2617,3875,32475
DanBloomberg/leptonica,110,-1,5.4,975,3962,97325,198026
BeamMW/beam,110,65,5.6,683,8306,131043,531347
vengi-voxel/vengi,109,0,5,939,8232,139255,674805
ultimatepp/ultimatepp,109,-1,5.7,644,7867,220641,1223427
NVIDIAGameWorks/Path-Tracing-SDK,109,305,1.8,429,4532,65453,289820
ptitSeb/box86,108,0,4.8,339,5159,34948,148780
jerryuhoo/Fire,108,0,3.8,2,82,1840,10025
open5gs/open5gs,107,0,4.9,2490,15142,92403,1085643
nanomq/nanomq,106,1101,6.1,245,2805,1832,23859
tksuoran/erhe,105,13,4.8,388,5697,38154,340713
r-lyeh-archived/scriptorium,105,218,2.1,328,2946,430151,1651306
TASEmulators/desmume,105,-1,4.2,659,6100,121156,460995
PolygonTek/BlueshiftEngine,105,-1,2.1,390,2629,239889,904850
vgmstream/vgmstream,104,-1,4.4,292,1877,42661,146736
GNOME/libxml2,104,-1,5.5,541,3610,54679,200718
DiligentGraphics/DiligentCore,104,61,5.3,1572,11358,59412,257189
libnice/libnice,103,-1,3.8,1457,12273,13703,38175
sleuthkit/sleuthkit,102,526,6.9,396,2435,93681,196204
joncampbell123/dosbox-x,102,1123,6.7,716,5308,321751,1720174
MirrorYuChen/ncnn_example,102,265,3.5,568,2849,75208,458526
Cisco-Talos/pyrebox,102,112,2.1,412,2423,305189,1660669
tildearrow/furnace,101,265,4.8,1122,8661,137424,954425
mltframework/mlt,101,0,5.5,191,1677,23819,108273
gideros/gideros,101,880,3.5,308,2236,491005,1651535
acassen/keepalived,101,179,5.7,178,1365,11095,66979
FreeTDS/freetds,101,22,4.8,178,1024,17974,97200
BabylonJS/BabylonNative,100,0,6.6,366,3172,101831,436521
septag/rizz,99,362,3.2,311,2749,27876,196511
mgerdes/Open-Golf,99,78,2.5,258,2159,29148,160897
OpenBoardView/OpenBoardView,98,0,3.6,281,2547,72314,132862
ETLCPP/etl,98,21,5.8,3184,11923,68285,238902
symengine/symengine,97,2666,6,65,1315,14717,111382
raspberrypi/rpi-imager,97,732,5.6,858,5214,115869,413071
kohler/click,96,905,4.7,265,2829,66633,243252
GPUOpen-Tools/compressonator,96,21,4.6,205,1372,67072,306030
vifm/vifm,94,-1,5.9,118,3703,27710,173163
qhull/qhull,93,-1,6.9,270,1010,19938,57549
openvswitch/ovs,93,-1,5.8,616,8925,64520,307493
OGRECave/ogre-next,93,346,4.7,283,4772,161142,462467
raspberrypi/userland,92,168,5.7,381,2752,53506,146628
DanielSWolf/rhubarb-lip-sync,92,128,3.6,305,2450,129430,629649
yourWaifu/sleepy-discord,91,240,4.8,510,3593,4243,22936
steineggerlab/foldseek,91,0,5.5,629,3771,49084,418438
Matheus-Garbelini/esp32_bluetooth_classic_sniffer,91,724,2.7,272,5841,261435,520998
util-linux/util-linux,90,-1,7.6,597,4282,33222,168635
Rubberduckycooly/Sonic-1-2-2013-Decompilation,90,258,4.7,260,948,614,38258
phaag/nfdump,88,162,6.2,117,830,12721,63213
cgsecurity/testdisk,88,241,6.4,161,1303,27455,85419
y123456yz/reading-and-annotate-mongodb-3.6,87,12,1.4,740,2188,804371,2861087
wangfenjin/simple,87,0,4.3,478,4008,85419,161365
rbfx/rbfx,87,1442,5.6,998,8112,524359,2849751
proftpd/proftpd,86,311,6,263,1943,40319,244345
openocd-org/openocd,86,-1,5,659,5330,43459,244196
moai/moai-dev,86,748,2.7,540,4737,255370,996106
enginmanap/limonEngine,86,452,3.4,567,4453,21575,97625
nowar-fonts/Warcraft-Font-Merger,85,1044,3.8,134,1117,9970,49961
SapphireServer/Sapphire,85,19,5.5,179,6323,28208,204975
open-mpi/hwloc,84,43,6.3,317,1463,13451,60202
floe/backscrub,84,17,4.6,1050,5972,284,1622
HaxeFoundation/hashlink,84,0,5.1,252,2128,134401,362736
jmk-foofus/medusa,83,112,4,74,261,3521,18883
iondbproject/iondb,83,220,5.9,59,998,10421,18905
milkytracker/MilkyTracker,82,490,4.5,203,1853,23809,179443
monitoring-plugins/monitoring-plugins,81,91,6.2,95,375,18278,76305
esmini/esmini,81,271,5.2,169,1586,8962,79146
OpenMS/OpenMS,81,55,4.1,1126,10513,252634,988317
oNaiPs/droidVncServer,80,321,2.4,189,1215,92938,307057
liballeg/allegro5,80,537,6.2,224,2873,19404,148139
iqiyi/dpvs,80,155,6.2,148,1143,19469,116204
fhanau/Efficient-Compression-Tool,80,262,4.1,234,1148,6123,19169
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,80,74,6.3,217,1000,5736,38013
syoyo/tinygltf,79,238,6.6,28,231,37593,192691
projectchrono/chrono,79,0,4.8,202,2932,158038,495927
networkupstools/nut,78,342,6.8,374,1936,31443,112317
kiddin9/openwrt-packages,78,56,4.4,86,443,26316,214402
ermig1979/Simd,78,0,5,501,6238,35566,304873
POV-Ray/povray,78,578,3.5,220,1324,249411,984333
drowe67/codec2-dev,77,0,4.8,85,550,15994,130993
Blizzard/s2client-api,77,0,4.6,410,4759,1956,17002
su2code/SU2,76,84,5.3,59,419,284338,489604
varnishcache/varnish-cache,75,345,5.7,1341,2964,26848,109811
opentomb/OpenTomb,75,58,4,180,2546,69628,286954
galkahana/HummusJS,75,493,5.5,268,2453,78920,238635
godlikepanos/anki-3d-engine,74,623,4.6,789,8936,295811,1888744
alibaba/GaiaX,74,244,3.9,90,548,7909,88977
vittorioromeo/SSVOpenHexagon,73,0,3.4,404,4762,99868,229526
distcc/distcc,73,47,4.7,65,502,8508,27938
Gargaj/Bonzomatic,73,76,3,175,1985,41552,243925
yvt/openspades,72,119,4.7,516,3942,23492,133455
symforce-org/symforce,72,86,5.6,38,945,25366,182295
pineappleEA/pineapple-src,72,784,2.9,545,3919,399849,2443406
benikabocha/saba,72,-1,4.9,128,1694,51861,238063
ptpd/ptpd,71,26,4.6,49,438,5582,25335
shibatch/sleef,70,0,6.1,26,514,2761,50351
KqSMea8/AirplayServer,70,1150,3.6,419,1793,89350,264972
DeutscheKI/tevr-asr-tool,70,159,3.7,1121,7291,6,288
DeaDBeeF-Player/deadbeef,70,1147,5.6,419,1793,152600,627014
nihui/waifu2x-ncnn-vulkan,69,0,3.9,332,2372,1812,9596
0ad/0ad,69,0,3.8,246,1770,389376,1111475
uclouvain/openjpeg,68,384,4.7,283,1855,45046,164378
pbek/QOwnNotes,68,1105,3.6,614,7687,30138,166391
nihui/realsr-ncnn-vulkan,68,0,3.8,333,2370,1811,9451
nihui/realcugan-ncnn-vulkan,68,0,3.8,362,2532,1887,12058
DentonW/DevIL,68,308,4.8,268,1566,10392,65470
vgmtrans/vgmtrans,67,122,3.5,135,1312,24482,150382
kosua20/MIDIVisualizer,67,432,5,205,1973,41460,169933
LouisBrunner/valgrind-macos,67,-1,5.3,1123,7839,141769,820118
CESNET/UltraGrid,67,0,4.8,205,2101,48083,139818
Aloshi/EmulationStation,67,-1,4.5,52,1253,2352,79054
wseemann/FFmpegMediaPlayer,66,426,1.9,476,3666,61725,215299
mstorsjo/fdk-aac,66,1133,5.6,429,1786,59353,128590
liuyubobobo/Play-Leetcode,66,0,3.9,85,4067,27268,124301
colobot/colobot,66,314,6,261,2519,25469,134514
OGRECave/ogre,66,567,5.6,367,5868,124458,362483
MRPT/mrpt,66,93,6,300,4774,135545,658045
DefTruth/lite.ai.toolkit,66,80,2.5,21,1148,55222,174021
tsl0922/ImPlay,65,127,5,297,2568,27874,175733
riscv-software-src/riscv-isa-sim,65,-1,6.1,4988,10332,14276,49881
mattgodbolt/zindex,65,-1,4.8,170,1451,60781,114269
tfussell/xlnt,64,101,2.9,567,5142,15192,59335
nihui/rife-ncnn-vulkan,64,0,3.8,355,2434,1898,12735
nihui/dain-ncnn-vulkan,64,0,3.8,337,2405,1853,10286
lwip-tcpip/lwip,64,1,6.2,1227,3695,44575,109769
prusa3d/Prusa-Firmware-Buddy,63,421,1.9,865,9000,897935,1604070
libtcod/libtcod,62,347,4.3,77,931,25970,68155
sysstat/sysstat,61,46,6.4,103,700,23634,49311
Murmele/Gittyup,61,0,5.2,631,7119,13637,68995
liblava/liblava,60,323,5,547,5692,8187,17404
AMReX-Codes/amrex,60,159,6.2,142,1145,28044,258117
kanryu/quickviewer,59,1220,2.1,396,2967,40048,425308
chexiongsheng/build_xlua_with_libs,59,-1,3,58,1819,34515,250521
amsynth/amsynth,59,27,5,14,254,2091,9480
zynaddsubfx/zynaddsubfx,58,2,4.4,80,1994,8747,46902
picolibc/picolibc,58,215,5.7,98,786,108962,375141
linuxmint/warpinator,58,1425,4.9,379,5406,246128,953267
libjpeg-turbo/libjpeg-turbo,58,192,6.5,138,769,18652,62557
cmusphinx/pocketsphinx,58,215,4.8,149,1210,23226,57771
LibVNC/libvncserver,58,171,6.2,79,494,8173,43579
galkahana/PDF-Writer,57,956,5.9,335,3002,95422,293581
facebook/mysql-5.6,57,185,5.7,93,1059,411217,1732574
wb2osz/direwolf,56,87,6.1,172,690,32525,59145
niessner/VoxelHashing,56,0,2.4,12,420,142320,578128
airbus-cert/Yagi,56,0,3.8,233,2806,1791,5873
skylersaleh/SkyEmu,55,74,5.2,615,4914,90039,923494
paullouisageneau/libdatachannel,55,-1,6.1,309,1938,2483,21207
glassechidna/zxing-cpp,55,674,4.8,65,578,8644,27844
dog-qiuqiu/MobileNet-Yolo,55,161,3,70,755,6226,44630
diffblue/cbmc,55,47,5,777,6319,71893,495753
bambulab/BambuStudio,55,130,4.1,335,2270,156514,833406
SoftFever/OrcaSlicer,55,130,4.9,335,2270,162764,857063
Samsung/TizenRT,55,33,4.2,673,7102,1536579,3523584
ProtonVPN/android-app,55,2336,4.3,716,3701,222005,925366
AlexandreRouma/SDRPlusPlus,55,625,5.1,147,1605,23606,117249
schismtracker/schismtracker,54,271,5.2,183,1364,10328,58540
projectM-visualizer/projectm,54,0,6,78,600,19413,79477
parallel101/course,54,243,2.7,20,954,34071,136906
neka-nat/cupoch,54,461,5.1,245,1854,53671,240620
nativeformat/NFHTTP,54,-1,3.7,304,2417,74732,134313
dankamongmen/notcurses,54,-1,5.9,189,1085,7701,94158
torognes/vsearch,53,121,5,69,340,6362,30525
realm/realm-core,53,0,5.5,551,7411,100795,648131
ppwwyyxx/OpenPano,53,323,4.1,29,280,13904,63557
monero-project/monero-gui,53,0,6,664,4491,3106,34333
magiblot/tvision,53,220,4.8,31,828,5929,41875
alliedmodders/sourcemod,53,85,5,133,625,146658,390977
zeromq/czmq,52,202,4.8,92,814,22700,50657
openpilot/OpenPilot,52,0,2.4,14,530,280062,623416
exult/exult,52,569,5,212,2534,32229,151354
USCiLab/cereal,52,237,5,2,23,10724,30813
LAStools/LAStools,52,678,4.3,161,1076,12193,114166
yodaos-project/yodaos,51,227,2,233,2097,675691,3233648
muse-sequencer/muse,51,0,4.9,621,5042,74838,265738
mariotaku/moonlight-tv,51,86,4.9,233,2098,1244,17989
linux-rdma/rdma-core,51,0,6.7,234,3868,22756,166469
akumuli/Akumuli,51,0,3.2,104,1301,10779,55667
Netflix/msl,51,642,4.1,325,2628,36109,90802
turbolent/w2c2,50,663,4.6,54,524,2270,120361
thedmd/imgui-node-editor,50,45,5.1,123,1165,12412,65651
ofiwg/libfabric,50,223,5.4,260,3133,83286,370883
martijnvanbrummelen/nwipe,50,56,6.2,41,214,4953,16291
lethal-guitar/RigelEngine,50,365,4.7,165,1957,21774,102809
horsicq/XMachOViewer,50,1,5,667,10346,160,545
horsicq/DIE-engine,50,174,5,612,9916,327,988
google/sandboxed-api,50,240,6.8,424,5142,8664,38316
geany/geany,50,-1,6.3,566,5613,33843,227698
Rubberduckycooly/Sonic-CD-11-Decompilation,50,112,4.7,190,730,743,27126
RedisLabs/redisraft,50,498,5.7,99,868,6584,32917
AcademySoftwareFoundation/openexr,50,1436,9.1,254,1925,24849,225800
simsong/bulk_extractor,49,368,4.8,73,758,5787,31969
seladb/PcapPlusPlus,49,568,5.6,143,1390,27617,87898
libjxl/libjxl,49,-1,9,486,2744,17163,134476
axiomatic-systems/Bento4,49,606,5.1,110,1148,23036,61282
twitter/pelikan,48,280,4.8,404,1292,7384,38677
tats/w3m,48,-1,4.1,235,1161,2058,60077
smasherprog/screen_capture_lite,48,186,5.1,85,1057,18040,70908
mitsuba-renderer/mitsuba3,48,7,5.7,423,4537,17462,69324
logicalclocks/rondb,48,251,6.2,150,1709,1228032,3801805
elfmz/far2l,48,168,5.4,580,5079,42669,399248
davidmoreno/onion,48,0,5.8,82,440,7074,18025
chirlu/sox,48,-1,4.3,113,760,13152,41166
VladyslavUsenko/basalt-mirror,48,-1,3.9,109,1290,13228,56357
PCRE2Project/pcre2,48,233,6.2,66,198,15291,95310
LomoX-Offical/nginx-openresty-windows,48,451,0,152,809,159973,756975
DFHack/dfhack,48,0,5.3,299,4838,35481,180009
osqp/osqp,47,55,5.1,54,670,5527,20622
can1357/NoVmp,47,2,3.6,244,3440,2121,4247
Jaysmito101/TerraForge3D,47,14,5.6,301,3169,7733,35395
Apress/Ray-Tracing-Gems-II,47,140,2.5,95,1274,72667,279470
stella-emu/stella,46,319,6.9,87,2397,167864,356406
openglonmetal/MGL,46,92,5.2,41,563,33746,190445
aetilius/pHash,46,162,5.5,2,15,10472,82539
ShadowsocksR-Live/shadowsocksr-native,46,1913,3.9,260,2548,2167,19689
SRombauts/SQLiteCpp,46,-1,4.6,456,3841,89868,163669
Azure/azure-iot-sdk-c,46,618,6.9,1064,3769,31156,215438
shadowsocksr-backup/shadowsocksr-libev,45,168,3.9,100,1170,8570,60085
encryptogroup/ABY,45,-1,4.3,55,773,5468,19993
dalerank/nanogui-sdl,45,118,5.8,12,309,4718,49099
bytedance/terarkdb,45,245,4.3,357,4947,60741,321783
PureDarwin/PureDarwin,45,2,5.7,54,551,548479,1691980
David-Haim/concurrencpp,45,0,4.8,0,2379,488,16604
0xnobody/vmpattack,45,0,3.6,242,3401,1650,3186
switch-iot/hin2n,44,177,2.6,82,560,11738,30264
openai/retro,44,539,2.6,230,2355,250889,897543
lockedbyte/CVE-Exploits,44,263,1.9,408,1754,103839,462830
helloexp/0day,44,263,0.7,407,1752,114368,542301
StereoKit/StereoKit,44,319,5,73,1349,20664,177533
KhronosGroup/OpenCL-SDK,44,14,5.4,42,647,926,26794
vtil-project/VTIL-Core,43,1,5.2,244,3386,11581,109262
maplibre/maplibre-native,43,-1,6,392,4565,132790,363573
Speek-App/Speek,43,336,3.2,108,1733,24189,95459
ylmbtm/GameProject3,42,29,1.9,828,16603,67595,359718
rism-digital/verovio,42,-1,5.1,682,6540,74135,257191
ladislav-zezula/StormLib,42,303,5.7,114,779,16736,49068
koying/SPMC,42,50,2.4,61,471,177348,710344
jgaeddert/liquid-dsp,42,153,5.9,7,597,41262,114029
horsicq/XELFViewer,42,0,4.8,473,6614,165,522
hihkm/DanmakuFactory,42,14,4.1,18,71,1417,7853
haka-security/haka,42,0,3.7,62,605,2668,22664
gabonator/LA104,42,119,3.5,219,2417,97977,368466
decaf-emu/decaf-emu,42,1,4.5,492,5405,14231,186383
Koihik/LuaFormatter,42,0,4.5,34,805,208,8091
JaCzekanski/Avocado,42,471,4.4,206,1879,3273,36519
BestImageViewer/geeqie,42,-1,5.6,228,2752,11521,111231
soedinglab/MMseqs2,41,277,5.7,364,2148,42908,317218
paulftw/hiberlite,41,7,4.6,142,1222,36,2308
nmwsharp/geometry-central,41,900,5.2,116,1265,8314,31569
autobleem/AutoBleem,41,1,2,208,1948,88850,167026
Chatterino/chatterino2,41,0,5.8,106,3069,6357,81504
