repo, bugs, ossf score, complex functions, total functions
Cisco-Talos/pyrebox,102,4.8,412,2423
vgmstream/vgmstream,101,4.7,285,1855
util-linux/util-linux,100,7.7,597,4058
acassen/keepalived,100,6.6,170,1363
mgerdes/Open-Golf,99,5.1,258,2159
gwaldron/osgearth,98,5.2,26,211
OpenBoardView/OpenBoardView,98,6.5,281,2547
symengine/symengine,97,6.1,65,1315
syoyo/tinygltf,95,6.9,26,212
saghul/txiki.js,95,6.2,445,3681
raspberrypi/userland,94,6.4,381,2746
vifm/vifm,93,7.6,118,3665
DanielSWolf/rhubarb-lip-sync,93,4.5,305,2450
netdata/netdata,91,7,660,4987
exaloop/codon,91,5.8,422,4041
TorqueGameEngines/Torque3D,91,4.8,1018,7050
MayaPosch/NymphCast,91,5.7,587,3031
azerothcore/azerothcore-wotlk,89,6.3,1688,15805
patriciogonzalezvivo/glslViewer,87,5.6,152,1620
openocd-org/openocd,87,5.4,634,5093
cgsecurity/testdisk,86,7.4,161,1297
facebookresearch/habitat-sim,84,8.9,703,7586
Sigil-Ebook/Sigil,84,6.4,570,4325
milkytracker/MilkyTracker,82,6.3,202,1849
raspberrypi/rpi-imager,80,6.4,689,4219
oNaiPs/droidVncServer,80,5,189,1215
liballeg/allegro5,80,6.8,219,2856
Blizzard/s2client-api,80,6.5,410,4759
sysstat/sysstat,79,7.5,106,679
projectchrono/chrono,79,6.3,208,2965
panda3d/panda3d,79,4.3,11,399
networkupstools/nut,78,7.2,351,1851
confluentinc/librdkafka,78,8.8,335,1849
POV-Ray/povray,78,4.3,220,1324
curv3d/curv,77,5,204,2598
varnishcache/varnish-cache,76,6.2,1319,2924
su2code/SU2,76,6.1,59,419
openxla/iree,76,5.5,4195,65193
PJLab-ADG/SensorsCalibration,76,7.1,86,1090
wjakob/nanogui,75,6.9,29,861
opentomb/OpenTomb,75,5.8,180,2546
galkahana/HummusJS,75,5.4,268,2453
fogleman/Craft,75,6.4,225,2427
CloudCompare/CloudCompare,75,5.7,221,974
CGAL/cgal,75,5.8,3,14
ermig1979/Simd,73,5.4,472,5739
distcc/distcc,73,6.3,65,502
Siv3D/OpenSiv3D,73,4.6,734,8879
Gargaj/Bonzomatic,73,4.9,175,1985
yvt/openspades,72,5.8,516,3942
symforce-org/symforce,72,6.3,38,945
facebookincubator/velox,72,5.7,921,15367
pocoproject/poco,71,7,403,5006
nihui/waifu2x-ncnn-vulkan,71,4.5,332,2372
colmap/colmap,71,6.4,86,1415
nihui/realsr-ncnn-vulkan,70,4.4,333,2370
alibaba/AliOS-Things,70,5,701,5958
OGRECave/ogre,70,6.2,367,5819
DeaDBeeF-Player/deadbeef,70,6,419,1793
pineappleEA/pineapple-src,69,3.4,527,3169
lc-soft/LCUI,69,3.4,45,1001
colobot/colobot,69,5.7,263,2564
0ad/0ad,69,5.7,246,1770
uclouvain/openjpeg,68,6.2,283,1854
moai/moai-dev,68,5,522,4623
Aloshi/EmulationStation,68,6.4,52,1253
facebook/hermes,67,6.2,574,5016
MRPT/mrpt,67,6.1,331,5115
mstorsjo/fdk-aac,66,4.8,429,1786
DefTruth/lite.ai.toolkit,66,4.3,21,1148
sumatrapdfreader/sumatrapdf,65,5.3,389,3284
riscv-software-src/riscv-isa-sim,65,6.8,4724,10038
pbek/QOwnNotes,65,3.5,610,7642
liuyubobobo/Play-Leetcode,65,7.2,79,3832
LouisBrunner/valgrind-macos,65,5.9,1123,7840
tildearrow/furnace,64,5.6,920,7653
tfussell/xlnt,64,5.4,567,5147
root-project/root,63,4.5,1055,14745
danmar/cppcheck,63,6.1,489,2457
floooh/sokol,62,6.4,336,1389
arangodb/arangodb,61,5.9,276,2470
wb2osz/direwolf,60,6.4,157,634
tensorflow/tensorflow,60,7.8,1632,9137
ComodoSecurity/openedr,60,5.5,258,2829
unicorn-engine/unicorn,59,5.9,1095,17387
linux-nvme/nvme-cli,59,7,117,1343
libjpeg-turbo/libjpeg-turbo,59,7.6,138,772
godlikepanos/anki-3d-engine,59,2.9,903,8786
cmusphinx/pocketsphinx,58,6.3,149,1210
LibVNC/libvncserver,58,7.3,79,492
AlexandreRouma/SDRPlusPlus,58,5.5,146,1602
zynaddsubfx/zynaddsubfx,57,5.1,75,1948
facebook/mysql-5.6,57,8.4,93,1059
coolsnowwolf/lede,57,5.8,86,437
projectM-visualizer/projectm,56,6.7,61,573
Z3Prover/z3,56,7.2,755,13713
dog-qiuqiu/MobileNet-Yolo,55,5.5,70,755
RoaringBitmap/CRoaring,55,7.4,51,687
ProtonVPN/android-app,55,6.2,667,3584
schismtracker/schismtracker,54,5.9,182,1362
parallel101/course,54,7.1,20,954
dankamongmen/notcurses,54,6.7,189,1085
vesoft-inc/nebula,53,6.3,182,3489
rapid7/metasploit-payloads,53,7.7,373,2686
ppwwyyxx/OpenPano,53,5.7,29,280
nanocurrency/nano-node,53,6.3,554,7563
alliedmodders/sourcemod,53,6.3,133,625
WAVM/WAVM,53,5.5,113,3820
qgis/QGIS,52,7.2,2980,27134
capnproto/capnproto,52,7.3,271,4732
USCiLab/cereal,52,5.8,3,30
SRombauts/SQLiteCpp,52,7.5,438,3709
yodaos-project/yodaos,51,2.7,233,2097
stellar/stellar-core,51,8.1,764,6540
magiblot/tvision,51,5.6,32,805
libjxl/libjxl,51,7.2,462,2536
akumuli/Akumuli,51,5.6,104,1301
DFHack/dfhack,51,5.6,275,4544
thedmd/imgui-node-editor,50,4.6,123,1165
realm/realm-core,50,5.5,514,6880
linux-rdma/rdma-core,50,7.4,233,3810
iovisor/bcc,50,7.7,111,1277
geany/geany,50,6.9,530,5490
cemu-project/Cemu,50,6.2,478,5502
axiomatic-systems/Bento4,50,5.2,109,1147
SoftEtherVPN/SoftEtherVPN,50,5.3,339,4558
seladb/PcapPlusPlus,49,5.5,136,1311
openscad/openscad,49,7,182,2363
zeromq/czmq,48,5.5,92,811
twitter/pelikan,48,5.2,404,1292
ton-blockchain/ton,48,5.6,607,12214
opentoonz/opentoonz,48,5.8,375,2181
davidmoreno/onion,48,7.3,82,440
curl/curl,48,7,339,1888
libretro/RetroArch,47,6.3,354,2379
kiddin9/openwrt-packages,47,3.6,77,311
can1357/NoVmp,47,5.9,244,3440
ShadowsocksR-Live/shadowsocksr-native,47,5,260,2545
AcademySoftwareFoundation/openexr,47,7.9,242,1822
ylmbtm/GameProject3,46,4.8,824,16557
paullouisageneau/libdatachannel,46,6.3,308,1898
apache/arrow,46,7.5,296,3175
alibaba/AliSQL,46,6,895,6040
openai/retro,45,5.5,230,2355
nfrechette/acl,45,6.5,41,233
horsicq/DIE-engine,45,5.5,507,8964
bytedance/terarkdb,45,5.5,357,4947
PureDarwin/PureDarwin,45,5.3,54,551
helloexp/0day,44,4.8,407,1752
google/swiftshader,44,7.8,2575,23669
glfw/glfw,44,6.7,40,538
vtil-project/VTIL-Core,43,6,244,3386
ish-app/ish,43,6.4,29,787
cariboulabs/cariboulite,43,6.8,384,1230
jgaeddert/liquid-dsp,42,5.9,7,626
decaf-emu/decaf-emu,42,4.8,492,5405
alibaba/MNN,42,4.5,331,3737
AcademySoftwareFoundation/MaterialX,42,6.7,104,1202
soedinglab/MMseqs2,41,5.5,364,2148
alandefreitas/matplotplusplus,41,5.6,40,611
WebAssembly/wabt,41,6.7,87,1705
AtomicGameEngine/AtomicGameEngine,41,4.2,482,3786
0xnobody/vmpdump,41,5.6,241,3417
0vercl0k/wtf,41,4.7,80,995
universal-ctags/ctags,40,6,392,4093
pmoulon/CMVS-PMVS,40,5.1,65,299
mitsuba-renderer/mitsuba3,40,6.4,415,4427
loki-47-6F-64/sunshine,40,5.3,100,870
clangen/musikcube,40,6.7,275,3303
REDasmOrg/REDasm,40,3.9,158,2959
KhronosGroup/glslang,40,7.4,229,1344
vlm/asn1c,39,5.9,128,404
perilouswithadollarsign/cstrike15_src,39,4.8,144,1621
moosefs/moosefs,39,7.3,468,1976
dibyendumajumdar/ravi,39,4.4,575,5495
TheAlgorithms/C,39,6.8,18,448
vipshop/redis-migrate-tool,38,6.4,168,1135
grpc/grpc,38,7.3,747,12359
cmu-db/bustub,38,7.5,134,2100
xelatihy/yocto-gl,37,5.2,111,871
smilehao/xlua-framework,37,4.7,91,1274
pytorch/glow,37,7.4,389,4350
mapsme/omim,37,5.5,136,1702
cycfi/q,37,6.3,44,392
allinurl/goaccess,37,7.3,42,856
RavenSystem/esp-homekit-devices,37,7.3,404,3038
FirebirdSQL/firebird,37,4.6,89,978
ErosZy/WXInlinePlayer,37,4.8,116,802
saki4510t/UVCCamera,36,5.8,104,549
peng-zhihui/Peak,36,5.2,36,174
openbsd/src,36,5.5,153,3326
mixxxdj/mixxx,36,7.3,301,5017
jrouwe/JoltPhysics,36,6.2,164,1358
gosu/gosu,36,4.8,102,660
effekseer/Effekseer,36,5.2,38,806
cisco/openh264,36,6,328,1575
athena-team/athena,36,7.1,90,1321
apache/brpc,36,7.7,173,2457
Sunzxyong/Tiny,36,5,105,551
zdzhaoyong/GSLAM,35,6.4,15,372
protocolbuffers/protobuf,35,7.1,637,5578
koute/bytehound,35,3.4,164,1345
keystone-engine/keystone,35,4.9,152,2326
horsicq/XELFViewer,35,6.6,372,5590
doctest/doctest,35,5.7,25,413
akai-katto/dandere2x,35,5.3,1,144
InteractiveComputerGraphics/SPlisHSPlasH,35,5,261,2092
GNOME/glib,35,8.1,1453,12272
ARM-software/armnn,35,6.2,106,1340
wenet-e2e/wenet,34,6,121,1366
patrikhuber/eos,34,6,0,6
kungfu-origin/kungfu,34,3,180,1616
kripken/ammo.js,34,4.6,86,909
angband/angband,34,5.2,351,3252
RetroShare/RetroShare,34,7.1,161,3483
PixarAnimationStudios/OpenSubdiv,34,6.9,78,754
NVIDIA/libcudacxx,34,7.2,35,540
xiph/flac,33,5.7,123,754
tomhrr/dale,33,6.3,29,456
skyline-emu/skyline,33,6.8,329,4361
mindspore-ai/mindspore,33,5.6,2443,12884
karlstav/cava,33,6.3,13,48
erincatto/box2d,33,6.4,110,1279
IoLanguage/io,33,5.3,49,890
texstudio-org/texstudio,32,6.8,369,3653
chocolate-doom/chocolate-doom,32,7.4,288,3458
chenyahui/AnnotatedCode,32,4.8,356,2737
PowerDNS/pdns,32,7.3,257,2531
Blosc/c-blosc,32,7.4,179,1200
verilator/verilator,31,6.7,353,4096
uTox/uTox,31,5.8,24,292
ossrs/srs,31,6.5,59,855
linux-test-project/ltp,31,6.6,82,2278
ketoo/NoahGameFrame,31,6.7,197,2544
gperftools/gperftools,31,5.9,59,855
openvinotoolkit/openvino,30,6.3,1753,17866
musescore/MuseScore,30,5.6,445,4695
melonDS-emu/melonDS,30,5.7,168,1803
megai2/d912pxy,30,5.3,8,12
lakinduakash/linux-wifi-hotspot,30,5,3,42
jamulussoftware/jamulus,30,7.3,103,448
irontec/sngrep,30,7.8,25,278
facebook/redex,30,5.8,1,44
elfmz/far2l,30,5.8,225,2313
citusdata/citus,30,8.4,625,3507
apple/swift-llbuild,30,8.3,128,1685
ZDoom/gzdoom,30,5.1,164,1013
SanderMertens/flecs,30,6.3,750,4351
Ewenwan/MVision,30,4.8,38,277
DynamoRIO/dynamorio,30,5.6,577,4322
Chatterino/chatterino2,30,6.2,81,2115
rwengine/openrw,29,6.3,84,1029
pmp-library/pmp-library,29,6.1,179,1833
google/flatbuffers,29,8.8,136,1242
berthubert/googerteller,29,5,2,20
NatronGitHub/Natron,29,6.8,558,7124
KiCad/kicad-source-mirror,29,4.7,127,2766
xtaci/algorithms,28,6.7,0,70
xiph/opus,28,5.9,102,449
libressl/portable,28,5.5,512,4835
libgit2/libgit2,28,6.4,544,6672
dvorka/hstr,28,6.5,16,78
anhttran/3dmm_cnn,28,5.5,45,708
alibaba/GCanvas,28,6.1,31,400
Tencent/TNN,28,5.1,227,2137
zlib-ng/zlib-ng,27,6.3,57,383
tmux/tmux,27,6.6,248,1958
supertuxkart/stk-code,27,5.5,220,1182
mtcp-stack/mtcp,27,6.5,100,851
microsoft/EdgeML,27,6.5,54,819
ardera/flutter-pi,27,5.9,29,306
aiekick/ImGuiFileDialog,27,5.1,159,1782
JoeyDeVries/LearnOpenGL,27,7.4,8,367
InteractiveComputerGraphics/PositionBasedDynamics,27,4.3,177,1683
FLIF-hub/FLIF,27,6.2,49,269
ARMmbed/mbed-os,27,6.4,57,1081
zpl-c/zpl,26,6,0,46
zmap/zmap,26,6.9,25,202
swig/swig,26,7.2,290,1546
strukturag/libde265,26,5.8,65,525
paroj/gltut,26,4.8,59,1050
jemalloc/jemalloc,26,7.7,179,1605
jacksonliam/mjpg-streamer,26,6.5,17,82
apache/trafficserver,26,8.1,874,5650
LizardByte/Sunshine,26,6.5,57,671
LiteOS/LiteOS,26,6,182,1487
LibrePCB/LibrePCB,26,7.2,228,3859
FreeRDP/FreeRDP,26,8.4,276,1991
p-gen/smenu,25,6.8,38,202
merbanan/rtl_433,25,5.9,97,959
lighttransport/nanort,25,7.3,8,35
gnss-sdr/gnss-sdr,25,5.3,284,2918
cubefs/cubefs,25,4.6,225,3493
bitcoin/bitcoin,25,8.9,403,5629
Tencent/MMKV,25,7.6,40,1022
GarageGames/Torque2D,25,4.9,19,142
Blosc/bcolz,25,5.2,74,709
xoseperez/espurna,24,5.3,44,469
traildb/traildb,24,6.2,25,222
stepmania/stepmania,24,3.9,296,1890
ompl/ompl,24,7.1,141,1774
mpromonet/v4l2rtspserver,24,5.2,114,1328
mgba-emu/mgba,24,6.6,296,1890
lballabio/QuantLib,24,6.1,358,4084
kohler/gifsicle,24,6.2,41,320
ithewei/libhv,24,6.3,53,656
guanzhi/GmSSL,24,5.9,264,1605
felixguendling/cista,24,5.5,2,46
cycfi/elements,24,4.6,6,333
WayneD/rsync,24,6.8,171,716
OpenAtomFoundation/TencentOS-tiny,24,5.7,19,1153
OSGeo/PROJ,24,6.1,230,2375
openssh/openssh-portable,23,6.8,258,2007
openppl-public/ppl.nn,23,7,236,3618
istoreos/istoreos,23,7.3,22,262
iNavFlight/inav,23,6.3,484,4305
ccache/ccache,23,7.5,164,855
Project-OSRM/osrm-backend,23,5.8,124,1365
wondertrader/wondertrader,22,6.5,167,1869
taskflow/taskflow,22,5.6,170,1136
simongog/sdsl-lite,22,6.3,107,385
o0o0o0o0o0o0o/image-processing-from-scratch,22,6.4,43,720
ndrplz/self-driving-car,22,4.8,46,718
lizardfs/lizardfs,22,5.8,170,1859
guillaumeblanc/ozz-animation,22,4.7,550,2717
google/re2,22,7.7,59,621
fossephate/JoyCon-Driver,22,5.2,182,1284
danielkrupinski/Osiris,22,5.8,127,1183
apache/incubator-kvrocks,22,7.4,452,6110
anbox/anbox,22,6.2,19,640
TrueBlocks/trueblocks-core,22,6.3,279,3856
Tencent/ncnn,22,6.2,217,932
PurpleI2P/i2pd,22,6.8,114,1355
zeromq/libzmq,21,6.9,70,909
torproject/tor,21,7.6,2769,10267
sustrik/libdill,21,6.7,43,521
particle-iot/device-os,21,7.4,29,652
google/sentencepiece,21,6.9,51,751
facontidavide/PlotJuggler,21,6.3,100,3330
facebookresearch/nle,21,6.5,754,3260
apache/thrift,21,6.8,257,3089
BinomialLLC/basis_universal,21,5.9,223,1211
sustrik/libmill,20,6.4,22,337
stedolan/jq,20,6.1,130,905
okbob/pspg,20,6.6,68,265
microsoft/cpprestsdk,20,7.5,418,2191
gqrx-sdr/gqrx,20,5.9,19,450
eigenteam/eigen-git-mirror,20,6.4,46,720
brainflow-dev/brainflow,20,4.4,31,1213
aircrack-ng/aircrack-ng,20,7.9,167,928
Tencent/libco,20,6.5,2,90
SOCI/soci,20,6.5,26,771
LibreSprite/LibreSprite,20,6.6,545,4264
zlgopen/awtk,19,7,283,2067
warmcat/libwebsockets,19,7.4,150,1189
septag/sx,19,6,18,236
pioneerspacesim/pioneer,19,5.4,155,1906
pgbackrest/pgbackrest,19,5.8,670,2642
olikraus/u8g2,19,6,10,652
nlohmann/json,19,8.4,79,317
nanomsg/nng,19,6.3,95,1684
mitsuba-renderer/mitsuba2,19,6.7,187,2550
micropython/micropython,19,6.2,241,2242
ju1ce/April-Tag-VR-FullBody-Tracker,19,7,4,161
harfbuzz/harfbuzz,19,5.9,175,957
google/orbit,19,5.9,53,1134
arkdb/inception,19,6.4,20,435
abseil/abseil-cpp,19,8.7,48,1039
Syllo/nvtop,19,6.8,34,141
Snaipe/Criterion,19,6,75,475
Smorodov/Multitarget-tracker,19,5.2,104,971
OpenVPN/openvpn,19,5.7,456,1560
DaveGamble/cJSON,19,7.1,17,239
yuzu-emu/yuzu-mainline,18,5.1,83,376
yuzu-emu/yuzu,18,7.1,83,376
vinniefalco/LuaBridge,18,6.1,63,2602
pytorch/FBGEMM,18,6.9,147,904
pgRouting/pgrouting,18,8.4,99,455
martinus/robin-hood-hashing,18,6.5,31,154
marcobambini/gravity,18,5.9,81,751
k4zmu2a/SpaceCadetPinball,18,6.6,144,1313
glennrp/libpng,18,7.3,265,1683
flutter/codelabs,18,7.9,2565,11502
boazsegev/facil.io,18,6.4,26,486
signalwire/freeswitch,17,8.3,438,3651
sass/node-sass,17,5.5,58,782
recastnavigation/recastnavigation,17,6.3,121,1100
quickfix/quickfix,17,4.5,90,1447
prusa3d/PrusaSlicer,17,5.8,153,1053
openenclave/openenclave,17,7.1,13,180
nmap/nmap,17,6.9,119,950
libimobiledevice/ideviceinstaller,17,5,4,11
homenc/HElib,17,6.2,31,749
greenplum-db/gpdb,17,8,42,3396
facebook/zstd,17,8.1,451,2267
Meituan-Dianping/Logan,17,6.4,115,935
vcmi/vcmi,16,6.4,254,5487
tmate-io/tmate,16,4.6,133,1094
scanlime/fadecandy,16,6,25,298
openjdk/jfx,16,7.2,301,1464
nmap/ncrack,16,4.3,38,566
libcpr/cpr,16,7.1,144,993
foonathan/memory,16,6.2,38,260
cryfs/cryfs,16,6,91,2423
cisco/joy,16,5,94,725
audacity/audacity,16,6.5,39,577
Tracktion/tracktion_engine,16,5.1,0,38
TH3xACE/SUDO_KILLER,16,6.2,200,838
SVF-tools/SVF,16,6.3,136,1319
OpenIDC/mod_auth_openidc,16,6.2,245,529
MusicPlayerDaemon/MPD,16,7.4,26,2632
InoriRus/Kyty,16,4.3,333,2516
xournalpp/xournalpp,15,6.9,48,1618
wolkykim/qlibc,15,5.5,24,262
prabhuomkar/pytorch-cpp,15,5.6,1,105
posva/catimg,15,6.5,3,21
ossia/score,15,5.6,19,503
flightlessmango/MangoHud,15,6,124,1092
canonical/raft,15,7.1,51,455
algorand/go-algorand,15,6.1,54,492
ValveSoftware/vogl,15,6.7,354,2659
Samsung/rlottie,15,7.1,22,438
GarageGames/Torque3D,15,5,296,1995
zeldaret/botw,14,6.2,86,3358
westes/flex,14,6.3,30,199
werman/noise-suppression-for-voice,14,4.7,11,228
tensor-compiler/taco,14,5.3,74,1557
steemit/steem,14,4.8,336,4107
rubinius/rubinius,14,5.7,56,552
premake/premake-core,14,6.6,190,1363
o-oconnell/minixfromscratch,14,5.6,16,109
nanomsg/nanomsg,14,4.6,78,525
microsoft/SEAL,14,8.2,125,999
libsdl-org/SDL,14,6.5,396,2654
libevent/libevent,14,7.9,403,1588
letoram/arcan,14,5.7,18,186
esnet/iperf,14,8.3,38,244
cathugger/mkp224o,14,6.8,3,37
buaazp/zimg,14,5.5,39,343
bareos/bareos,14,7.4,20,591
TheTumultuousUnicornOfDarkness/CPU-X,14,5.4,27,350
NagyD/SDLPoP,14,7.3,80,706
Mbed-TLS/mbedtls,14,9.4,245,1697
LiquidPlayer/LiquidCore,14,4.4,112,1460
IntelLabs/control-flag,14,5.9,10,86
Harvey-OS/harvey,14,5.6,16,100
0intro/plan9,14,6.3,16,100
qtumproject/qtum,13,7.3,77,863
pangweiwei/slua,13,5.2,10,605
p-ranav/argparse,13,5.3,36,678
oneapi-src/oneDNN,13,8.2,1421,6824
ntop/PF_RING,13,5.1,280,1594
mariadb-corporation/MaxScale,13,5.2,62,207
linux-can/can-utils,13,6.1,48,207
joan2937/pigpio,13,7.4,82,396
janet-lang/janet,13,6.8,73,855
hunspell/hunspell,13,7.2,72,307
hackerschoice/gsocket,13,5.6,71,357
facebookresearch/ELF,13,7,15,245
electronicarts/EASTL,13,7,85,986
doxygen/doxygen,13,6,237,2876
digego/extempore,13,4.2,41,252
c3lang/c3c,13,5.5,252,1598
bitcoin-core/secp256k1,13,8.9,66,243
bcosorg/bcos,13,5.3,48,1280
arximboldi/immer,13,6.7,16,288
