repo, scan-build-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
micmacIGN/micmac,284,9,2.8,775,12385,245622,1630216
julius-speech/julius,277,356,3.7,195,1351,76584,175580
TASEmulators/fceux,276,0,3.6,231,3579,43702,253392
TheAssemblyArmada/Thyme,272,226,6.5,820,6017,37764,307242
termux/termux-x11,270,0,4.7,927,5946,266,4109
OpenSmalltalk/opensmalltalk-vm,267,594,4.3,353,4610,948575,4300364
LiangliangNan/Easy3D,264,0,4.9,570,4252,122980,494603
wheybags/freeablo,260,3065,2.3,1323,9084,212090,975094
openbabel/openbabel,255,96,5.8,853,3512,66068,306793
csound/csound,254,2,3.8,511,4210,42127,212659
Themaister/Granite,250,-1,5.8,2406,19599,17629,131320
simbody/simbody,246,-1,5,402,4220,118710,269215
audeering/opensmile,246,1686,3.1,442,3310,19017,101851
muhanzhang/SEAL,242,487,0.2,308,897,11981,75251
STJr/SRB2,242,266,3.3,814,6137,96612,434305
coronalabs/corona,239,-1,4.2,763,9060,340770,1046582
seemoo-lab/nexmon,237,2003,4.4,3293,29808,1064686,5561555
rockchip-linux/rknn-toolkit2,231,88,2.7,29,282,44389,89357
steveicarus/iverilog,228,949,5.6,415,5124,38770,175931
ring-lang/ring,227,2289,3.7,1080,6714,337075,2106376
nature-lang/nature,226,517,2.4,116,1114,5695,30234
dethrace-labs/dethrace,226,464,5.2,396,5445,13704,201368
Hamlib/Hamlib,226,-1,6.4,861,3928,50550,254872
openxla/iree,223,1,5.6,5225,81431,73793,305284
bminor/binutils-gdb,222,893,5.8,398,4127,563742,3161019
avrdudes/avrdude,216,221,5.9,276,1769,12928,100827
skylersaleh/SkyEmu,214,1679,4.8,2212,17913,201545,1657873
openvenues/libpostal,213,-1,4.1,185,1184,6733,583235
airockchip/rknn_model_zoo,212,483,2.7,324,1864,43639,120987
KhronosGroup/Vulkan-Samples,212,0,6.8,1444,12825,20318,100370
containers/crun,211,620,7.6,273,1172,2929,27902
OpenVisualCloud/SVT-HEVC,208,583,4.4,336,1211,18026,128202
surge-synthesizer/surge,203,13,4.8,599,5882,108769,349398
ipc-sim/IPC,196,2,4.6,397,3356,2436,27097
LLNL/RAJA,194,467,6.4,20,260,31153,93345
beefytech/Beef,191,29,3.6,279,1962,157791,701865
bjornbytes/lovr,189,0,5.3,584,6041,13535,127342
vermaseren/form,183,515,4.1,601,1513,31200,126488
eclipse-iceoryx/iceoryx,182,22,6.9,10,633,35181,124558
ablab/spades,181,1184,3.6,557,3284,230221,1051411
keith2018/SoftGLRender,176,612,4.6,773,6379,156601,752696
pmq20/ruby-packer,172,402,3.4,273,1744,182644,1447379
Ettercap/ettercap,172,0,5.9,195,1157,19548,58324
k2-fsa/sherpa-onnx,170,0,4.8,194,1248,4117,27527
google-deepmind/mujoco_mpc,170,7,6.9,607,4141,8215,21415
mit-biomimetics/Cheetah-Software,169,77,3.9,2,380,36420,96346
adventuregamestudio/ags,169,218,4.7,579,7770,81178,314825
HarbourMasters/Shipwright,169,19,5.9,1289,13542,22057,495222
LabSound/LabSound,168,475,6.2,72,746,6519,39319
navit-gps/navit,166,0,5.2,275,2219,39948,183742
axmolengine/axmol,166,863,4.3,471,5510,338572,1505530
flomesh-io/pipy,161,950,4.6,586,7626,276554,1152541
WolfireGames/overgrowth,161,498,3.9,779,4065,384416,2331673
SatDump/SatDump,158,263,4.8,891,7000,84281,422983
mfem/mfem,156,-1,7.1,635,4000,63607,396492
saghul/txiki.js,155,0,5.2,987,8181,89180,342227
ptitSeb/box64,155,0,4.1,1669,29094,38309,201806
yasm/yasm,154,358,5.6,134,1122,13344,55793
RasPlex/OpenPHT,154,694,1.9,282,2002,522916,2510453
LLNL/sundials,152,409,6.2,256,2992,88542,287695
kangjianwei/Data-Structure,150,159,3.4,76,2347,46388,103628
catsout/wallpaper-engine-kde-plugin,150,7,5.9,518,3484,50480,243623
yrnkrn/zapcc,147,1,3.2,4415,43165,894807,2602717
renard314/textfairy,146,79,2.3,972,4204,161955,405257
adishavit/argh,146,57,5.3,25,35,652,6106
FundamentalFrequency/LMN-3-DAW,146,-1,3.8,7,399,702,14720
qcad/qcad,145,2058,6.2,1279,9721,266785,1552474
microsoft/msix-packaging,145,3627,4.1,1092,9825,156066,786352
kdave/btrfs-progs,145,-1,5,485,2011,19713,122431
ddiakopoulos/libnyquist,145,155,5.2,50,266,35503,151182
Polidea/SiriusObfuscator,145,29,1.6,3182,27492,1166840,3908540
GuitarML/NeuralPi,142,0,4.7,1,41,214,2114
toggl-open-source/toggldesktop,141,57,2,677,8587,245078,1080983
google/tensorstore,141,0,7.9,2776,30544,64932,270906
Embroidermodder/Embroidermodder,141,434,4.6,658,5742,131899,477061
erich666/GraphicsGems,140,392,4.9,124,1103,15752,53725
bigartm/bigartm,140,1071,3.1,574,9836,85838,311660
OpenVSP/OpenVSP,139,60,4.4,944,5095,78792,439221
nmwsharp/polyscope,136,356,5.8,461,5543,23326,248666
Try/OpenGothic,136,0,5.5,583,7051,2183,62421
shaka-project/shaka-packager,135,0,6,1455,10975,14063,84900
thunder-engine/thunder,134,279,4.8,449,3875,220373,902546
punesemu/puNES,134,1519,3.8,846,8743,119084,727160
envytools/envytools,134,16,4.8,765,5224,11749,111821
metartc/metaRTC,131,148,3.4,46,1211,137792,160859
GoSSIP-SJTU/Armariris,131,1,2.5,3926,37118,720083,2092898
squid-cache/squid,128,-1,6.4,644,5260,49447,203931
Yixin-Hu/TetWild,127,-1,3.8,191,1931,2254,9971
Sneeds-Feed-and-Seed/sneedacity,127,1114,4.5,365,3476,246869,888774
jbehley/SuMa,126,49,4.1,172,2081,2720,14116
coin-or/Ipopt,126,314,5.1,87,792,24121,99399
RobLoach/raylib-cpp,126,-1,6.3,63,707,2931,5647
OpenXRay/xray-16,126,69,4.1,913,15912,137377,804664
JoshMarler/react-juce,125,-1,3.9,0,7,67544,215327
nfs-ganesha/nfs-ganesha,124,116,5,849,2941,66775,172987
NVIDIA/Q2RTX,124,0,6.1,778,7329,20840,146217
MaJerle/stm32-usart-uart-dma-rx-tx,124,9,4.2,225,1820,1749784,4546170
MayaPosch/NymphCast,122,742,4,968,5952,193511,809910
soedinglab/hh-suite,121,34,4.5,83,331,16529,168548
rburkholder/trade-frame,120,-1,4.3,437,6456,84710,229047
pocl/pocl,120,49,6.8,376,1184,26436,152426
thiagoralves/OpenPLC_v3,117,382,4.1,75,1001,73642,212648
ptitSeb/box86,117,0,4.9,356,5081,35253,151097
StanfordLegion/legion,117,-1,3.9,442,4764,68304,384440
RandyGaul/cute_framework,117,150,5.1,1847,5793,44687,314431
KhronosGroup/KTX-Software,117,1860,4.5,799,4254,131683,479517
pure-data/pure-data,114,904,5.7,205,2220,19369,125994
nanomq/nanomq,114,1192,6,254,2953,1927,25132
freebayes/freebayes,114,-1,3.9,260,1559,11005,130486
vengi-voxel/vengi,113,0,5,968,8436,141376,691144
tenable/routeros,113,258,4.2,87,1391,2451,11473
rsummers11/CADLab,111,140,0.2,102,714,49780,249583
Qihoo360/QConf,111,137,2.1,669,4131,70495,217831
facebook/igl,110,-1,6.6,756,5304,12794,71178
eclipse/wakaama,110,1478,7.7,529,2621,3879,32544
TorqueGameEngines/Torque3D,109,1287,4.4,946,6715,611379,2336603
ultimatepp/ultimatepp,108,-1,5.5,645,7866,220692,1225153
jerryuhoo/Fire,108,0,3.8,2,82,1840,10025
pthom/hello_imgui,106,-1,4.9,374,3277,4684,36082
GNOME/libxml2,106,-1,5.2,526,3597,54769,198210
jlblancoc/suitesparse-metis-for-windows,105,258,4.9,278,910,261579,1190819
TASEmulators/desmume,105,-1,3.8,659,6100,121189,461223
PolygonTek/BlueshiftEngine,105,-1,2.1,390,2629,239889,904850
vgmstream/vgmstream,104,-1,4.3,297,1901,42977,147404
tksuoran/erhe,104,13,5.5,386,5706,38189,340949
DiligentGraphics/DiligentCore,104,61,5.3,1560,11352,59751,257631
libnice/libnice,103,-1,4.7,1457,12273,13697,38160
sleuthkit/sleuthkit,102,525,6.9,396,2436,93685,196218
joncampbell123/dosbox-x,102,1123,6.7,716,5308,322128,1722072
MirrorYuChen/ncnn_example,102,252,3.5,568,2849,75208,458526
mltframework/mlt,101,0,5.3,191,1677,23821,108286
gideros/gideros,101,881,3.6,308,2236,491027,1652221
FreeTDS/freetds,101,22,4.8,178,1024,17975,97205
tildearrow/furnace,100,265,4.6,1147,8795,138365,964353
septag/rizz,99,362,3.2,311,2749,27876,196511
mgerdes/Open-Golf,99,78,2.5,258,2159,29148,160897
acassen/keepalived,99,182,5.8,178,1368,11104,67086
ETLCPP/etl,99,21,5.8,3435,12938,70014,249939
OpenBoardView/OpenBoardView,98,0,3.6,281,2547,72314,132862
symengine/symengine,97,-1,5.9,65,1315,14719,111407
shader-slang/slang,97,0,5.6,674,9762,63007,328045
GPUOpen-Tools/compressonator,97,21,4.9,206,1369,67717,323156
kohler/click,96,905,4.7,265,2829,66633,243252
vifm/vifm,94,-1,6,119,3705,27716,173225
qhull/qhull,93,-1,6.2,270,1010,19938,57549
OGRECave/ogre-next,93,356,4.7,283,4772,161207,462556
raspberrypi/userland,92,168,4.3,381,2752,53506,146628
Matheus-Garbelini/esp32_bluetooth_classic_sniffer,91,724,2.7,272,5841,261435,520998
Rubberduckycooly/Sonic-1-2-2013-Decompilation,90,258,4.7,260,950,618,38288
phaag/nfdump,88,154,6.2,117,841,12818,63507
cgsecurity/testdisk,88,241,6.4,160,1307,28306,85639
y123456yz/reading-and-annotate-mongodb-3.6,87,12,1.4,740,2188,804371,2861087
openocd-org/openocd,86,-1,4.6,664,5365,44204,246482
moai/moai-dev,86,749,2.7,540,4737,255370,996106
enginmanap/limonEngine,86,452,3.4,567,4453,21575,97625
nowar-fonts/Warcraft-Font-Merger,85,1044,3.8,134,1117,9970,49961
SapphireServer/Sapphire,85,0,5.9,179,6323,28208,204988
open-mpi/hwloc,84,43,6,317,1465,13476,60209
floe/backscrub,84,17,4.6,1050,5972,284,1622
xaos-project/XaoS,83,0,5,61,584,2246,26738
jmk-foofus/medusa,83,112,4.6,74,261,3521,18893
iondbproject/iondb,83,220,5.9,59,998,10421,18905
HaxeFoundation/hashlink,83,0,5.1,252,2127,134406,362861
milkytracker/MilkyTracker,82,490,4.5,203,1853,23809,179443
monitoring-plugins/monitoring-plugins,81,91,6.1,95,375,18281,76303
OpenMS/OpenMS,81,55,4.2,1124,10521,252907,989524
oNaiPs/droidVncServer,80,321,2.4,189,1215,92938,307057
liballeg/allegro5,80,537,6.1,224,2873,19406,148155
fhanau/Efficient-Compression-Tool,80,262,4.1,234,1148,6125,19169
syoyo/tinygltf,79,238,6.3,28,231,37604,192715
kiddin9/openwrt-packages,78,56,4.4,86,443,26316,214402
POV-Ray/povray,78,578,3.5,220,1324,249411,984333
Blizzard/s2client-api,77,0,4.6,410,4759,1956,17002
su2code/SU2,76,84,5.1,59,419,284338,489604
ermig1979/Simd,76,0,5,453,5446,31794,266268
varnishcache/varnish-cache,75,345,5.7,1342,2969,26872,109963
opentomb/OpenTomb,75,58,4,180,2546,69628,286954
galkahana/HummusJS,75,493,5.5,268,2453,78920,238635
alibaba/GaiaX,74,244,3.9,90,548,7910,89004
vittorioromeo/SSVOpenHexagon,73,0,3.4,404,4762,99868,229526
Gargaj/Bonzomatic,73,76,3,175,1985,41552,243925
yvt/openspades,72,119,4.7,516,3942,23492,133455
symforce-org/symforce,72,86,5.6,38,945,25366,182292
benikabocha/saba,72,-1,4.5,128,1694,51861,238063
ptpd/ptpd,71,26,4.6,49,438,5582,25335
shibatch/sleef,70,0,6.6,26,514,2761,50437
KqSMea8/AirplayServer,70,1150,3.6,419,1793,89350,264972
nihui/waifu2x-ncnn-vulkan,69,0,3.9,332,2372,1812,9596
0ad/0ad,69,0,3.8,246,1770,390892,1114544
vgmtrans/vgmtrans,68,122,4.7,156,1436,14104,83641
nihui/realsr-ncnn-vulkan,68,0,3.8,333,2370,1811,9451
nihui/realcugan-ncnn-vulkan,68,0,3.8,362,2532,1887,12058
kosua20/MIDIVisualizer,67,432,3.9,205,1973,41460,169933
artclarke/humble-video,67,1137,3.8,390,3100,393158,2253933
LouisBrunner/valgrind-macos,67,-1,4.5,1123,7839,141769,820118
Aloshi/EmulationStation,67,-1,4.5,52,1253,2352,79054
wseemann/FFmpegMediaPlayer,66,426,1.9,476,3666,61725,215299
mstorsjo/fdk-aac,66,1133,5.2,429,1786,59353,128597
liuyubobobo/Play-Leetcode,66,143,,,,,
OGRECave/ogre,66,562,5.9,367,5875,124445,362271
CESNET/UltraGrid,66,0,4.9,205,2107,47736,140109
tsl0922/ImPlay,65,127,5,297,2568,27874,175801
riscv-software-src/riscv-isa-sim,65,-1,6.2,4988,10349,14285,49997
mattgodbolt/zindex,65,-1,4.8,170,1451,60781,114269
colobot/colobot,65,11,6.9,261,2527,25470,134625
tfussell/xlnt,64,101,2.9,567,5142,15192,59335
nihui/rife-ncnn-vulkan,64,0,3.8,355,2434,1898,12735
nihui/dain-ncnn-vulkan,64,0,3.8,337,2405,1853,10286
lwip-tcpip/lwip,64,120,5.4,1227,3699,44591,109793
NVIDIAGameWorks/Path-Tracing-SDK,64,280,1.9,224,2325,65871,289759
LAStools/LAStools,63,709,5.2,221,1521,12224,115490
libtcod/libtcod,62,347,4.1,77,931,25970,68155
sysstat/sysstat,61,46,6.4,103,700,23634,49311
Murmele/Gittyup,61,0,5.3,632,7120,13647,69050
ComodoSecurity/openedr,60,252,2.9,258,2829,945841,4659928
liblava/liblava,59,322,5,548,5705,8187,17406
kanryu/quickviewer,59,1220,2.1,396,2967,40048,425308
amsynth/amsynth,59,27,5,14,254,2091,9480
zynaddsubfx/zynaddsubfx,58,2,4.8,80,1994,8747,46902
picolibc/picolibc,58,214,5.5,99,801,104207,369054
cmusphinx/pocketsphinx,58,215,5.7,149,1210,23226,57773
STMicroelectronics/STM32CubeH7,58,0,5.1,303,819,773460,5872623
LibVNC/libvncserver,58,171,6.6,79,494,8173,43579
galkahana/PDF-Writer,57,929,5.9,336,3015,95409,293920
wb2osz/direwolf,56,87,5.9,172,690,32525,59145
niessner/VoxelHashing,56,0,2.4,12,420,142320,578128
airbus-cert/Yagi,56,0,3.8,233,2806,1791,5873
Samsung/TizenRT,56,0,4.2,673,7102,1601655,3611329
RoaringBitmap/CRoaring,56,21,8,58,947,8146,40224
paullouisageneau/libdatachannel,55,-1,5.9,310,1942,2483,21525
glassechidna/zxing-cpp,55,674,4.8,65,578,8644,27844
dog-qiuqiu/MobileNet-Yolo,55,161,3,70,755,6226,44630
SoftFever/OrcaSlicer,55,130,5.4,335,2274,168230,878726
ProtonVPN/android-app,55,2336,4.3,716,3701,222005,925366
torognes/vsearch,54,123,5,69,341,6363,30543
schismtracker/schismtracker,54,271,5.2,183,1364,10328,58542
realm/realm-core,54,0,5.3,552,7457,101239,651146
projectM-visualizer/projectm,54,0,6.2,77,612,18788,76361
neka-nat/cupoch,54,461,5.1,245,1854,53674,240661
mariotaku/moonlight-tv,54,271,4.9,234,2111,1265,18199
dankamongmen/notcurses,54,-1,6.4,189,1085,7698,94156
ppwwyyxx/OpenPano,53,323,3.9,29,280,13904,63557
magiblot/tvision,53,221,4.8,30,828,5949,42095
openpilot/OpenPilot,52,0,2.4,14,530,280062,623416
exult/exult,52,603,5.2,221,2535,32635,161109
USCiLab/cereal,52,237,5,2,23,10724,30813
seladb/PcapPlusPlus,51,561,5.7,179,1406,27949,88967
muse-sequencer/muse,51,0,4.6,621,5042,74838,265894
Netflix/msl,51,642,4.4,325,2628,36109,90802
AlexandreRouma/SDRPlusPlus,51,624,5.2,148,1621,23801,118996
AcademySoftwareFoundation/openexr,51,1437,8,258,1937,25076,227113
turbolent/w2c2,50,663,4.4,54,524,2270,120463
thedmd/imgui-node-editor,50,49,5.1,123,1166,11600,60634
martijnvanbrummelen/nwipe,50,56,6.2,41,214,4960,16327
geany/geany,50,-1,6.4,567,5613,33843,227701
akumuli/Akumuli,50,0,3.2,104,1300,10779,55667
Rubberduckycooly/Sonic-CD-11-Decompilation,50,112,4.9,190,730,743,27126
RedisLabs/redisraft,50,498,5.7,99,868,6584,32917
strato-emu/strato,49,1,6,411,5466,9747,46562
axiomatic-systems/Bento4,49,606,5.5,110,1148,23036,61282
SIPp/sipp,49,31,6,69,532,5244,31471
twitter/pelikan,48,280,4.8,404,1292,7384,38677
tats/w3m,48,-1,4.1,235,1161,2058,60077
smasherprog/screen_capture_lite,48,186,4.8,85,1057,18040,70908
never-lang/never,48,39,5.6,54,763,3159,31606
mitsuba-renderer/mitsuba3,48,7,5.8,425,4582,18010,71608
libjxl/libjxl,48,-1,8.2,486,2734,17179,135904
elfmz/far2l,48,164,5,583,5111,42807,399928
davidmoreno/onion,48,0,5.8,82,440,7074,18025
chirlu/sox,48,-1,4.3,113,760,13152,41166
VladyslavUsenko/basalt-mirror,48,-1,3.9,109,1290,13228,56357
PCRE2Project/pcre2,48,233,6.2,66,198,15366,96164
LomoX-Offical/nginx-openresty-windows,48,451,0,152,809,159973,756975
can1357/NoVmp,47,2,3.6,244,3440,2121,4247
KhronosGroup/OpenCL-SDK,47,14,5.6,47,661,1143,28478
Jaysmito101/TerraForge3D,47,14,5.6,301,3169,7733,35395
Azure/azure-iot-sdk-c,47,647,7.2,1065,3769,31176,215541
Apress/Ray-Tracing-Gems-II,47,140,2.5,95,1274,72667,279470
stella-emu/stella,46,325,6.8,89,2402,167978,356944
openglonmetal/MGL,46,92,4.8,41,563,33746,190445
horsicq/XMachOViewer,46,2,5,613,9532,160,545
aetilius/pHash,46,162,5.5,2,15,10472,82539
ZDoom/gzdoom,46,337,5,183,1333,115921,653222
ZDoom/Raze,46,337,3.7,183,1330,115325,660526
ShadowsocksR-Live/shadowsocksr-native,46,1913,4,260,2548,2167,19689
SRombauts/SQLiteCpp,46,-1,4.6,456,3841,89868,163669
shadowsocksr-backup/shadowsocksr-libev,45,168,3.9,100,1170,8570,60085
encryptogroup/ABY,45,-1,4.3,55,773,5468,19993
dalerank/nanogui-sdl,45,118,5.8,12,309,4718,49099
switch-iot/hin2n,44,177,2.3,82,560,11738,30264
lockedbyte/CVE-Exploits,44,263,1.9,408,1754,103839,462830
holzschu/ios_system,44,0,4,344,1911,131047,466552
helloexp/0day,44,263,0.5,407,1752,114368,542301
StereoKit/StereoKit,44,-1,5,73,1349,20664,177533
vtil-project/VTIL-Core,43,2,5.2,244,3386,11581,109262
rism-digital/verovio,43,-1,5.5,700,6651,74871,262405
quickjs-ng/quickjs,43,0,6.1,212,1519,4661,74096
Speek-App/Speek,43,338,3.2,108,1733,24189,95459
ylmbtm/GameProject3,42,29,1.9,828,16603,67595,359718
mixxxdj/mixxx,42,32,5.8,298,5098,37990,256121
ladislav-zezula/StormLib,42,303,5.9,114,779,16763,49135
jgaeddert/liquid-dsp,42,153,5.8,7,597,41322,114208
gabonator/LA104,42,119,2.1,219,2417,97977,368466
decaf-emu/decaf-emu,42,1,4.3,492,5405,14231,186383
NVlabs/flip,42,168,5.1,2,18,3824,21625
Koihik/LuaFormatter,42,0,4.4,34,805,208,8091
JaCzekanski/Avocado,42,471,4.3,206,1879,3273,36519
solodon4/Mach7,41,166,4.3,373,1092,32958,76242
paulftw/hiberlite,41,7,4.6,142,1222,36,2308
nmwsharp/geometry-central,41,900,5.1,116,1265,8314,31569
autobleem/AutoBleem,41,1,2,208,1948,88850,167026
0xnobody/vmpdump,41,0,3.6,241,3417,743,2258
0vercl0k/wtf,41,1259,4.3,80,997,55907,186504
turesnake/tprPix,40,90,3.1,49,886,144617,349647
pmoulon/CMVS-PMVS,40,292,3,65,299,91258,434614
pisa-engine/pisa,40,-1,6.6,88,2034,1216,21039
loki-47-6F-64/sunshine,40,107,3.3,100,870,4803,41902
cmu-db/bustub,40,735,6.9,133,2148,54431,209346
clangen/musikcube,40,-1,4,279,3329,178738,314856
KiCad/kicad-source-mirror,40,385,4.4,199,2515,288360,1250122
moosefs/moosefs,39,1259,4.5,468,1976,9313,93901
google/fuzztest,39,399,5.3,102,2117,12190,49851
dibyendumajumdar/ravi,39,212,4.2,575,5495,15673,107075
vipshop/redis-migrate-tool,38,-1,4.4,168,1135,3023,23474
ofiwg/libfabric,38,222,5.9,235,2721,70450,329896
mabeijianxi/FFmpeg4Android,38,543,1.9,244,1059,182769,1081583
hihkm/DanmakuFactory,38,14,4,18,71,1417,7858
freeorion/freeorion,38,158,4.9,601,6056,22809,185797
Mauler125/r5sdk,38,0,5.1,837,7190,254579,1017821
AcademySoftwareFoundation/MaterialX,38,-1,6.3,102,1200,25623,135880
xelatihy/yocto-gl,37,0,3.8,111,871,36546,166626
perilouswithadollarsign/cstrike15_src,37,154,1.9,144,1621,753503,3324645
markaren/threepp,37,541,5.7,108,1598,18291,147714
danoon2/Boxedwine,37,548,4.4,349,2442,132460,955884
cycfi/q,37,0,4.7,44,408,3344,14696
anrieff/libcpuid,37,48,3.9,8,95,2198,7410
angband/angband,37,326,4.7,519,3693,72791,207090
ErosZy/WXInlinePlayer,37,277,1.5,116,802,28763,127981
peng-zhihui/Peak,36,0,1.6,36,174,65596,605842
lfortran/lfortran,36,0,5.9,50,680,8241,113795
larryli/PuTTY,36,0,3.5,266,2631,35590,137231
keystone-engine/keystone,36,747,4.4,153,2429,27442,105217
chjj/mako,36,1100,4.1,144,2371,13113,250266
buaacyw/GaussianEditor,36,58,2.4,30,1316,25347,98615
athena-team/athena,36,362,5.9,90,1321,5434,22839
Sunzxyong/Tiny,36,-1,2.4,105,551,14354,43889
NoMoreFood/putty-cac,36,0,3.8,264,2645,48049,168153
GPSBabel/gpsbabel,36,12,5.8,181,1526,31730,141189
DynamoRIO/dynamorio,36,14,5.1,684,4895,180759,508754
zdzhaoyong/GSLAM,35,7,4.4,15,372,17465,56697
wjakob/nori,35,0,4,145,2057,1494,4099
wez/atomicparsley,35,189,4.5,47,236,3515,19970
smilehao/xlua-framework,35,93,1.9,91,1274,39734,127019
sctplab/usrsctp,35,-1,4.6,260,817,15046,82520
karlstav/cava,35,33,5.9,16,56,637,5134
facebook/SPARTA,35,102,7.5,1,58,3607,16398
effekseer/Effekseer,35,104,5.2,37,766,20809,219010
dinhvh/libetpan,35,146,4.8,177,2255,23264,107410
akai-katto/dandere2x,35,11,3.2,1,144,2929,14753
RickdeJager/stegseek,35,375,4,16,364,5646,13569
RetroShare/RetroShare,35,139,6,163,3482,31627,149036
RavenSystem/esp-homekit-devices,35,845,3.8,411,2902,252395,1238158
NVIDIA/MatX,35,616,6.3,122,2366,16517,24894
MethanePowered/MethaneKit,35,-1,4.1,185,1941,11578,56295
InteractiveComputerGraphics/SPlisHSPlasH,35,0,4.4,262,2092,68646,324097
FirebirdSQL/firebird,35,316,5,89,978,218285,1457161
openMSX/openMSX,34,-1,4.4,373,5293,38760,229486
kungfu-origin/kungfu,34,14,1.9,180,1616,155991,354971
kripken/ammo.js,34,-1,4.1,86,909,51036,301358
cariboulabs/cariboulite,34,88,3.7,84,819,6178,28499
PixarAnimationStudios/OpenSubdiv,34,267,4.8,78,754,36086,138108
PacktPublishing/Learn-LLVM-12,34,0,4.4,32,611,234,11064
NVIDIA/libcudacxx,34,4,4.9,35,540,122854,650273
NVIDIA/cccl,34,4,7.5,35,540,175342,764222
GNOME/glib,34,-1,6.6,1563,13166,163991,527488
ARM-software/armnn,34,5,4.3,108,1363,33237,342620
root-project/root,33,203,3.3,135,803,1314549,5023278
robotastic/trunk-recorder,33,0,7.7,73,640,51699,184749
OpenMined/TenSEAL,33,-1,4.7,138,1265,1160,8973
Mq-b/Loser-HomeWork,33,0,5.3,12,149,345,5370
IoLanguage/io,33,380,4.5,49,890,11470,38943
xiph/flac,32,255,5.2,126,758,15728,61143
mhogomchungu/zuluCrypt,32,0,4.8,69,1382,10638,48421
introlab/odas,32,496,4.8,15,439,11032,19417
dresden-elektronik/deconz-rest-plugin,32,0,5.9,794,4596,30600,160249
acados/acados,32,81,5.9,97,749,38814,694902
YavorGIvanov/sam.cpp,32,237,4.3,185,1318,1767,9010
wmbusmeters/wmbusmeters,31,212,6.2,95,1142,7066,52427
uTox/uTox,31,22,4.8,24,292,3418,37287
qicosmos/rest_rpc,31,151,6,4,225,51522,197258
lakinduakash/linux-wifi-hotspot,31,6,5.4,3,42,437,1581
ketoo/NoahGameFrame,31,315,4.8,197,2544,51628,228696
karimnaaji/vectiler,31,66,3.5,3,27,1818,15615
justinmeza/lci,31,-1,4.8,19,183,3951,49666
