repo, scan-build-bugs, bai-bugs, infer-bugs, ossf-score, complex-functions, total-functions, lines-of-code, lines-of-comments
BestImageViewer/geeqie,43,254,0,6.1,226,2749,11494,111158
AtomicGameEngine/AtomicGameEngine,41,-1,673,4.2,482,3786,510603,1662416
0xnobody/vmpdump,41,-1,1,5.6,241,3417,743,2258
Chatterino/chatterino2,40,452,0,6.2,106,3023,5819,78929
ClimbSnail/HoloCubic_AIO,38,-1,92,3.9,183,1304,133253,908937
AcademySoftwareFoundation/MaterialX,38,0,-1,7,102,1210,25659,136309
ARM-software/armnn,34,0,1,6.2,107,1353,32935,337537
Blosc/c-blosc,33,441,689,6.6,180,1200,29264,90271
CppMicroServices/CppMicroServices,31,662,27,7,103,1515,120475,501423
ArcticaProject/vcxsrv,31,509,17,4.6,84,725,436655,1650849
DroneBridge/DroneBridge,30,0,13,4.7,42,451,34240,86331
DaehwanKimLab/hisat2,26,-1,561,7.2,81,306,22159,98565
Auburn/FastNoise2,26,123,13,5.8,262,3650,939,12454
Blosc/bcolz,25,0,433,5.2,74,709,17803,53211
ARM-software/astc-encoder,25,30,183,6.3,42,204,15842,81604
BinomialLLC/basis_universal,21,31,734,5.8,223,1211,20660,120364
BenLangmead/bowtie2,19,4272,366,5.1,126,279,18917,61139
BitcoinUnlimited/BitcoinUnlimited,15,274,103,6.2,49,238,30539,173879
BobLChen/VulkanDemos,14,339,164,5,205,1544,118226,705902
0intro/plan9,14,0,125,6.3,16,100,207411,1543345
CongducPham/LowCostLoRaGw,13,6,28,5.6,84,396,56741,270140
Bitcoin-ABC/bitcoin-abc,13,-1,110,6.2,60,289,44767,218942
BTCGPU/BTCGPU,12,282,75,6.6,35,154,24006,137025
AntiMicroX/antimicrox,12,314,0,5.3,88,1194,8328,50609
BitFunnel/NativeJIT,11,0,0,6.2,18,227,25441,105781
AprilRobotics/apriltag,11,0,138,7.3,28,243,4722,174200
Cockatrice/Cockatrice,10,54,0,6.2,36,1291,3758,63851
BrunoLevy/learn-fpga,10,-1,10,7.2,60,534,24587,100845
BehaviorTree/Groot,10,172,7,5.9,20,529,353,11617
Bareflank/hypervisor,10,0,6,4.8,2,47,66543,90247
Ai-Thinker-Open/GPRS_C_SDK,8,-1,261,4.6,16,215,57519,302035
7thSamurai/steganography,8,-1,214,6.2,17,149,5265,17722
Crypto-toolbox/HFT-Orderbook,7,-1,34,6.3,0,41,326,1569
ChunelFeng/caiss,7,-1,0,5.5,11,330,5771,27999
Alex313031/thorium,7,-1,3,5.5,1,18,117363,931059
AcademySoftwareFoundation/openvdb,7,0,146,7.5,17,288,45047,299956
CoSMoSoftware/OBS-studio-webrtc,6,2374,172,5,50,461,54615,314988
BlueBrain/HighFive,6,0,319,7.5,36,491,2946,10123
BartVandewoestyne/Effective-Modern-Cpp,6,-1,-1,5.8,0,31,2079,3351
ArthurSonzogni/Diagon,6,22,151,4.7,49,976,443,5870
Almamu/linux-wallpaperengine,6,7,39,6,8,203,8032,22223
AlbrechtL/welle.io,6,10,13,6.2,21,364,18919,102388
AngoraFuzzer/Angora,5,-1,-1,6.5,30,499,4884,26409
AcademySoftwareFoundation/OpenColorIO,5,572,7,8.4,366,2894,24176,189000
BlitterStudio/amiberry,4,0,83,5.5,6,313,76775,827754
AlexandreRouma/SDRPlusPlus,4,0,624,6,5,110,23605,117242
Cocos-BCX/cocos-mainnet,3,126,47,5.9,34,85,41364,190147
Cisco-Talos/clamav,3,6707,80,7.5,32,145,38263,211096
CandyConfident/HighPerformanceConcurrentServer,3,-1,13,5.9,16,86,96,2965
Benjamin-Dobell/Heimdall,3,-1,0,5,0,10,1419,7088
ArkScript-lang/Ark,3,0,0,5.2,14,202,2997,8465
AndroidAdvanceWithGeektime/Chapter01,3,-1,0,5.5,8,144,34983,99851
CrowCpp/Crow,2,0,169,5.9,4,43,2564,28439
CaoWGG/TensorRT-CenterNet,2,0,0,5.4,14,149,9651,50851
BowenFu/matchit.cpp,2,-1,4,4.3,0,64,261,6710
AliveToolkit/alive2,2,2,-1,6.5,45,977,1273,25668
Ableton/link,2,-1,32,7.1,2,33,4312,24738
86Box/86Box,2,-1,11,6,4,10,47111,488159
0x90/wifi-arsenal,2,7,7,4.8,5,79,10649,24217
DaanDeMeyer/reproc,1,0,6,5.2,9,53,782,3963
ColdGrub1384/Pyto,1,256,26,5,4,53,548405,915407
CobaltFusion/DebugViewPP,1,0,26,3.7,4,299,9130,54654
CLIUtils/CLI11,1,0,812,6.4,0,56,2447,21602
CE-Programming/CEmu,1,-1,3,5.2,2,17,1015,25014
AshampooSystems/boden,1,-1,8,4.9,9,250,1688,21917
AsPJT/DungeonTemplateLibrary,1,0,40,6.3,0,10,5731,17901
AirGuanZ/Atrc,1,-1,11,5.5,0,19,13364,87207
AcademySoftwareFoundation/xstudio,1,0,6,5.5,9,53,13301,131266
834810071/muduo_study,1,-1,-1,6,14,544,2017,11220
3cky/mbusd,1,24,6,5,3,44,1072,2642
DrTimothyAldenDavis/SuiteSparse,0,34,14,6,59,463,240212,1138921
Dobiasd/FunctionalPlus,0,0,0,5.5,0,5,7365,27924
DinoZ1729/Ray,0,-1,1,6.8,0,4,30,419
DeepRec-AI/DeepRec,0,-1,0,6.7,2,56,293998,1530875
Dav1dde/glad,0,-1,2,5.8,2,25,1347,6853
DanielChappuis/reactphysics3d,0,0,126,5.1,20,296,22571,39467
DPDK/dpdk,0,-1,630,5.6,3010,30935,410191,1935716
DNedic/lockfree,0,-1,162,6.5,7,436,861,1287
DISTORTEC/distortos,0,-1,4,4.9,9,190,154491,1338561
DBraun/DawDreamer,0,-1,0,4.9,6,185,125453,456602
CppCon/CppCon2018,0,-1,-1,6,0,20,238,1520
CppCon/CppCon2016,0,-1,2,6,0,8,187,2509
CppCon/CppCon2015,0,-1,2,6,0,8,1409,4677
Corvusoft/restbed,0,-1,0,6.8,130,386,1939,16400
CopernicaMarketingSoftware/AMQP-CPP,0,0,22,7.8,0,82,15942,10199
ComputationalRadiationPhysics/picongpu,0,-1,14,8.1,0,16,61975,147611
CodingHanYa/workspace,0,0,5,7.3,0,17,217,974
ChunelFeng/CGraph,0,-1,53,6.3,2,164,4081,8101
ChaiScript/ChaiScript,0,0,121,6.3,1,26,6099,27654
CVCUDA/CV-CUDA,0,-1,0,6.7,1,11,31510,85458
CNugteren/CLBlast,0,-1,123,5.8,11,449,10111,64331
CCob/lsarelayx,0,-1,0,5.2,4,30,2240,17323
Beckhoff/ADS,0,0,142,6.5,6,155,1896,8227
BambooTracker/BambooTracker,0,-1,1,5.4,1,11,14406,67598
AxioDL/metaforce,0,3,1,4.4,1,1,8825,203123
AustinBrunkhorst/CPP-Reflection,0,-1,3,6.4,3,100,1861,10421
AsyncAlgoTrading/aat,0,-1,14,5.4,2,34,7546,52373
Artelnics/opennn,0,0,490,7.1,112,2259,69888,412221
ArmageddonGames/ZQuestClassic,0,-1,0,3.7,152,964,47367,493139
AmokHuginnsson/replxx,0,0,60,5.1,10,214,1473,7633
Amanieu/asyncplusplus,0,0,10,6.7,1,11,1087,2997
Alia5/GlosSI,0,-1,0,5.8,0,14,639,23131
AlexeyAB/object_threadsafe,0,-1,-1,5.3,6,46,58050,131018
ARM-software/ComputeLibrary,0,0,1,6.4,0,4,157880,715247
AOMediaCodec/libavif,0,0,148,8.1,75,299,3847,25648
256dpi/arduino-mqtt,0,-1,0,4.2,0,16,871,1792
2013fangwentao/Multi_Sensor_Fusion,0,-1,-1,6.2,2,23,1523,5429
DualSPHysics/DualSPHysics,-1,0,-1,5.2,-1,-1,33306,78434
Drive-Trust-Alliance/sedutil,-1,329,61,6,-1,-1,2967,9107
DragonFlyBSD/DragonFlyBSD,-1,0,-1,7.6,-1,-1,2436207,9709103
Dovyski/cvui,-1,-1,-1,6.3,-1,-1,1586,2532
DoubangoTelecom/ultimateALPR-SDK,-1,-1,-1,5.8,-1,-1,2090,11627
Dor1s/libfuzzer-workshop,-1,-1,-1,6.4,-1,-1,1274,8774
Dooskington/GameLad,-1,-1,-1,6.4,-1,-1,2734,9772
Dobiasd/frugally-deep,-1,-1,-1,6.4,-1,-1,720,7613
DmitryUlyanov/Multicore-TSNE,-1,0,-1,6.6,-1,-1,180,855
DigitalInBlue/Celero,-1,-1,-1,5.4,-1,-1,2720,7645
Dice-Developer-Team/Dice,-1,-1,0,4.8,-1,-1,14411,137024
DerrickWood/kraken2,-1,-1,-1,7.1,-1,-1,611,4557
Denvi/Candle,-1,-1,-1,5.5,-1,-1,695,8503
DeepGraphLearning/graphvite,-1,-1,-1,6.4,-1,-1,708,3669
DeNA/HandlerSocket-Plugin-for-MySQL,-1,0,-1,6.3,-1,-1,3308,9195
DamRsn/NeuralNote,-1,0,-1,7.1,-1,-1,569,4213
DaedalusX64/daedalus,-1,0,-1,5.6,-1,-1,29026,123315
DadSchoorse/vkBasalt,-1,0,-1,5.7,-1,-1,3932,31595
DTolm/VkFFT,-1,-1,-1,6.7,-1,-1,7793,62624
DLR-RM/3DObjectTracking,-1,-1,-1,6.4,-1,-1,6530,53250
DISTRHO/Cardinal,-1,-1,-1,4.1,-1,-1,21149,100713
DDoSolitary/LxRunOffline,-1,-1,-1,4.4,-1,-1,12,3377
CytopiaTeam/Cytopia,-1,-1,-1,5.9,-1,-1,19579,80306
Cxbx-Reloaded/Cxbx-Reloaded,-1,-1,-1,5,-1,-1,36414,127618
CristianHenzel/ClipIt,-1,0,-1,6.3,-1,-1,873,3563
CppCon/CppCon2020,-1,-1,0,5.8,-1,-1,1861,23542
CoretechR/OMOTE,-1,0,-1,4.3,-1,-1,101168,448040
CopernicaMarketingSoftware/PHP-CPP,-1,0,-1,6.6,-1,-1,11290,7038
Cogmasters/concord,-1,0,-1,7,-1,-1,8419,26826
ClusterLabs/pacemaker,-1,0,-1,8.8,-1,-1,35399,132644
Chlumsky/msdfgen,-1,-1,-1,6,-1,-1,377,6864
Chlumsky/msdf-atlas-gen,-1,-1,-1,5.6,-1,-1,192,3721
Chion82/kcptun-raw,-1,0,-1,6.2,-1,-1,225,2561
ChenYingpeng/caffe-yolov3,-1,-1,-1,6,-1,-1,130,985
ChenLittlePing/LearningVideo,-1,-1,-1,5,-1,-1,20970,10430
ChaoqinRobotics/LINS---LiDAR-inertial-SLAM,-1,-1,-1,6,-1,-1,602,4803
CelestiaProject/Celestia,-1,-1,-1,5.2,-1,-1,15035,130005
CedricGuillemet/ImGuizmo,-1,-1,-1,7.4,-1,-1,12250,54207
CastXML/CastXML,-1,0,0,6.5,-1,-1,544,5158
CasparCG/server,-1,-1,-1,4.7,-1,-1,15461,95308
CarVac/filmulator-gui,-1,-1,-1,5.3,-1,-1,7649,24398
Canjie-Luo/Text-Image-Augmentation,-1,0,-1,6.4,-1,-1,147,1012
COVESA/vsomeip,-1,-1,-1,6.4,-1,-1,10749,80420
COMBINE-lab/salmon,-1,-1,-1,6.4,-1,-1,56379,227116
CMU-Perceptual-Computing-Lab/MonocularTotalCapture,-1,-1,-1,5.4,-1,-1,2770,18099
CCob/BOF.NET,-1,0,-1,4.3,-1,-1,8009,74341
CCNYRoboticsLab/imu_tools,-1,-1,-1,5.1,-1,-1,937,2808
CCExtractor/ccextractor,-1,0,-1,4.4,-1,-1,74879,236074
ByConity/ByConity,-1,-1,48,6.5,-1,-1,109661,889718
Bumblebee-Project/Bumblebee,-1,0,-1,6.3,-1,-1,1237,2763
BrutPitt/glChAoS.P,-1,-1,-1,4.8,-1,-1,48029,175721
BruceWind/AESJniEncrypt,-1,0,-1,6.2,-1,-1,138,551
BrightXiaoHan/CMakeTutorial,-1,0,0,6.3,-1,-1,6,481
BrianSidebotham/arm-tutorial-rpi,-1,-1,-1,4.6,-1,-1,1788,8233
BradyBrenot/huestacean,-1,-1,-1,4.5,-1,-1,3557,18424
Bodmer/TFT_eSPI,-1,0,-1,7.4,-1,-1,9841,282814
BlindMindStudios/StarRuler2-Source,-1,-1,-1,5.8,-1,-1,78403,325105
BlazingDB/blazingsql,-1,-1,-1,4,-1,-1,6838,40334
BitMaker-hub/NerdMiner_v2,-1,0,-1,5.8,-1,-1,10234,300086
BitMEX/api-connectors,-1,-1,-1,4.7,-1,-1,9023,58965
Bforartists/Bforartists,-1,-1,-1,6.7,-1,-1,469956,2595275
BertaBescos/DynaSLAM,-1,-1,-1,6.4,-1,-1,7372,25321
BehaviorTree/BehaviorTree.CPP,-1,-1,-1,6.4,-1,-1,11980,74873
Beep6581/RawTherapee,-1,-1,-1,4.6,-1,-1,33094,280878
BeamMW/beam,-1,-1,65,6.9,-1,-1,131035,531202
BastilleResearch/gr-lora,-1,-1,-1,6.2,-1,-1,531,1442
BabylonJS/BabylonNative,-1,-1,0,6.8,-1,-1,101787,436150
BYVoid/uchardet,-1,0,-1,6.3,-1,-1,2981,5201
BUPTLdy/Caffe_Code_Analysis,-1,0,-1,6,-1,-1,12684,56965
BRL-CAD/brlcad,-1,-1,916,4.4,-1,-1,1429132,4482797
Axosoft/nsfw,-1,0,-1,4.8,-1,-1,53,2357
Avnu/OpenAvnu,-1,0,-1,6.8,-1,-1,20595,68864
Autodesk/Aurora,-1,-1,-1,6.4,-1,-1,8549,27536
AutoRally/autorally,-1,-1,-1,5.4,-1,-1,4256,9249
Ascotbe/Kernelhub,-1,0,-1,5.2,-1,-1,28306,96345
Artikash/Textractor,-1,-1,-1,5.7,-1,-1,14711,17118
ArduPilot/apm_planner,-1,0,-1,5.5,-1,-1,213267,600156
AravisProject/aravis,-1,0,-1,5.7,-1,-1,10044,37810
Apress/ray-tracing-gems,-1,-1,-1,5.6,-1,-1,16430,113926
AppImageCommunity/AppImageUpdate,-1,-1,-1,4.4,-1,-1,297,2171
ApolloAuto/apollo-platform,-1,-1,-1,5.2,-1,-1,60467,129305
Aorimn/dislocker,-1,0,-1,7.1,-1,-1,3766,8711
Ansem-SoD/Picofly,-1,-1,-1,6.5,-1,-1,265,4590
Angelo1211/SoftwareRenderer,-1,-1,-1,6.4,-1,-1,2064,7830
Angelo1211/HybridRenderingEngine,-1,-1,-1,4.6,-1,-1,46003,125793
AngelMonica126/GraphicAlgorithm,-1,-1,-1,5.8,-1,-1,12749,60482
Andersbakken/rtags,-1,0,-1,5.7,-1,-1,2259,24137
Ancurio/mkxp,-1,0,-1,6.5,-1,-1,4421,28152
AlphaQi/MTCNN-light,-1,-1,-1,6.4,-1,-1,78,1278
AloneMonkey/iOSREBook,-1,0,-1,5.2,-1,-1,22207,58053
AlexeyAB/Yolo_mark,-1,-1,-1,6.5,-1,-1,57,792
AlexFanw/HUSTER-CS,-1,-1,2,5.2,-1,-1,44432,195361
AlexAltea/orbital,-1,-1,-1,6.4,-1,-1,2719,97428
Aleph-One-Marathon/alephone,-1,217,-1,5.4,-1,-1,27010,203248
Al1ex/WindowsElevation,-1,0,-1,5.2,-1,-1,9608,59634
Aegisub/Aegisub,-1,0,-1,5.5,-1,-1,36554,263244
Adlik/Adlik,-1,-1,-1,4.8,-1,-1,1397,18594
AcademySoftwareFoundation/OpenShadingLanguage,-1,-1,-1,9,-1,-1,18675,102301
AcademySoftwareFoundation/OpenRV,-1,0,-1,8.4,-1,-1,55809,428304
AaronMR/Learning_ROS_for_Robotics_Programming_2nd_edition,-1,-1,-1,5.8,-1,-1,168,2890
ASDAlexander77/TypeScriptCompiler,-1,-1,-1,5.6,-1,-1,7088,75591
ASDAlexander77/TypeScript2Cxx,-1,-1,0,5.2,-1,-1,404,17229
ARM-software/CMSIS-FreeRTOS,-1,0,-1,5.4,-1,-1,59333,89131
APRIL-ZJU/lidar_IMU_calib,-1,-1,-1,6.4,-1,-1,520,2307
ANYbotics/kindr,-1,-1,-1,6.5,-1,-1,5244,11648
ANYbotics/grid_map,-1,-1,-1,6.5,-1,-1,6561,17772
ANYbotics/elevation_mapping,-1,-1,-1,6.5,-1,-1,1391,3036
ANTsX/ANTs,-1,-1,0,5.9,-1,-1,21439,130210
AIRLegend/aitrack,-1,-1,-1,5.9,-1,-1,620,4647
ACINQ/phoenix,-1,0,-1,6,-1,-1,79674,140275
9miao/CrossApp,-1,-1,-1,5.2,-1,-1,140248,378603
8bitbubsy/ft2-clone,-1,-1,-1,6.2,-1,-1,47959,103614
4paradigm/OpenMLDB,-1,-1,0,5.5,-1,-1,63705,273632
4lex4/scantailor-advanced,-1,-1,-1,5.7,-1,-1,9636,66683
386bsd/386bsd,-1,0,-1,6,-1,-1,275429,913341
188080501/JQTools,-1,0,-1,5.8,-1,-1,15983,57591
15172658790/Blog,-1,0,-1,4.8,-1,-1,10388,48708
0vercl0k/wtf,-1,0,1260,4.8,-1,-1,56035,186022
0ldsk00l/nestopia,-1,0,-1,6.2,-1,-1,28378,141472
