repo, bugs, ossf score, complex functions, total functions
ETLCPP/etl,191,6,6132,23557
git/git,187,1.6,1273,15922
containers/crun,187,5.8,247,1067
PX4/PX4-Autopilot,184,2.1,2,381
Kitware/ParaView,180,9,7183,50816
BespokeSynth/BespokeSynth,179,10,189,3099
bjornbytes/lovr,178,6.4,538,5674
Ettercap/ettercap,172,6.4,195,1157
mit-biomimetics/Cheetah-Software,169,9.2,2,380
SchedMD/slurm,169,10,1830,8653
aseprite/aseprite,167,6,1121,10994
kbengine/kbengine,165,8.8,1866,10232
WolfireGames/overgrowth,161,7,779,4065
wiredtiger/wiredtiger,160,10,1368,3620
google/tensorstore,158,7.3,2500,27678
BoomingTech/Piccolo,158,7,547,8248
davisking/dlib,153,6.5,764,6657
KhronosGroup/Vulkan-Samples,153,6,1412,11323
kangjianwei/Data-Structure,150,10,76,2347
WerWolv/ImHex,150,5.6,1132,10486
eclipse-iceoryx/iceoryx,148,4.4,3,551
adishavit/argh,146,10,25,35
microsoft/msix-packaging,145,10,1092,9807
toggl-open-source/toggldesktop,143,5.8,677,8587
eclipse/omr,143,5.6,394,3071
acl-dev/acl,143,10,261,4871
cuberite/cuberite,142,10,956,9774
hoffstadt/DearPyGui,141,7.3,1118,10156
TTimo/doom3.gpl,141,10,118,526
erich666/GraphicsGems,140,10,124,1103
julius-speech/julius,139,10,98,825
tesseract-ocr/tesseract,138,5.6,292,2530
GoSSIP-SJTU/Armariris,133,10,3926,37118
grpc/grpc,132,7,746,12357
espeak-ng/espeak-ng,131,6,104,501
lxc/lxc,130,9.5,440,2244
NVIDIA/Q2RTX,129,6.4,735,7036
leo-arch/clifm,126,5.6,154,1030
coin-or/Ipopt,126,10,88,791
MaJerle/stm32-usart-uart-dma-rx-tx,124,7.3,225,1820
emscripten-core/emscripten,121,8.8,123,1243
bytecodealliance/wasm-micro-runtime,119,5.8,469,5340
OpenXRay/xray-16,119,6.7,939,16617
Kitware/CMake,118,8.2,9545,83592
mfem/mfem,114,5.6,739,3851
freebsd/freebsd-src,114,0,1182,8026
DanBloomberg/leptonica,114,6,957,3934
tunabrain/tungsten,111,10,135,1999
duckdb/duckdb,111,6.2,468,4154
Qihoo360/QConf,111,10,669,4131
versatica/mediasoup,109,4.3,1238,11514
TASEmulators/desmume,107,6,665,6074
joncampbell123/dosbox-x,106,9.2,579,4160
gcc-mirror/gcc,106,8.5,166,1249
microsoft/onnxruntime,105,3.3,775,9159
mgerhardy/vengi,105,6,1179,8112
mltframework/mlt,104,4.4,182,1615
Cisco-Talos/pyrebox,102,9.5,412,2423
util-linux/util-linux,100,9,597,4057
acassen/keepalived,100,6,170,1363
mgerdes/Open-Golf,99,10,258,2159
gwaldron/osgearth,98,7,26,211
symengine/symengine,97,6,65,1314
syoyo/tinygltf,95,6.4,26,212
vifm/vifm,94,10,119,3655
DanielSWolf/rhubarb-lip-sync,93,6,305,2450
CGAL/cgal,92,6.5,9,120
exaloop/codon,91,5.6,422,4041
azerothcore/azerothcore-wotlk,91,4.4,1676,15769
TorqueGameEngines/Torque3D,91,5.6,1018,7050
MayaPosch/NymphCast,91,10,587,3031
cgsecurity/testdisk,86,10,161,1297
facebookresearch/habitat-sim,84,8.7,699,7536
milkytracker/MilkyTracker,82,10,202,1849
OGRECave/ogre,82,5.6,367,5824
liballeg/allegro5,80,6,219,2856
Blizzard/s2client-api,80,10,410,4759
lballabio/QuantLib,79,7,356,4071
confluentinc/librdkafka,78,10,334,1851
POV-Ray/povray,78,6,220,1324
curv3d/curv,77,4.9,204,2598
varnishcache/varnish-cache,76,5.6,1314,2914
su2code/SU2,76,6.7,59,419
PJLab-ADG/SensorsCalibration,76,10,86,1090
wjakob/nanogui,75,10,29,861
galkahana/HummusJS,75,7.5,268,2453
fogleman/Craft,75,10,225,2427
CloudCompare/CloudCompare,75,6,221,974
catsout/wallpaper-engine-kde-plugin,74,10,274,1740
ermig1979/Simd,73,5.6,482,5871
distcc/distcc,73,9.3,65,502
Gargaj/Bonzomatic,73,6.4,175,1985
symforce-org/symforce,72,6.4,38,945
colmap/colmap,72,9.3,108,1568
tdlib/td,70,7,614,9324
DeaDBeeF-Player/deadbeef,70,5.6,419,1793
lc-soft/LCUI,69,4.4,45,1001
uclouvain/openjpeg,68,6,283,1854
moai/moai-dev,68,10,522,4613
facebookincubator/velox,68,0.5,918,15281
Aloshi/EmulationStation,68,10,52,1253
MRPT/mrpt,67,6.2,331,5116
DefTruth/lite.ai.toolkit,66,8.2,21,1148
sumatrapdfreader/sumatrapdf,65,7.3,389,3284
liuyubobobo/Play-Leetcode,65,10,79,3815
LouisBrunner/valgrind-macos,65,6,1123,7840
tfussell/xlnt,64,7.5,567,5147
floooh/sokol,62,6,336,1389
danmar/cppcheck,62,6.2,489,2436
arangodb/arangodb,61,6.7,276,2470
Z3Prover/z3,61,9.3,759,13777
wb2osz/direwolf,60,9.4,157,634
tensorflow/tensorflow,60,4.9,1344,8698
linux-nvme/nvme-cli,60,7,116,1339
ComodoSecurity/openedr,60,9.5,258,2829
unicorn-engine/unicorn,59,6,1095,17387
godlikepanos/anki-3d-engine,59,4.5,903,8786
libjpeg-turbo/libjpeg-turbo,58,6,138,772
cmusphinx/pocketsphinx,58,6.7,149,1210
LibVNC/libvncserver,58,6,79,492
AlexandreRouma/SDRPlusPlus,58,6,146,1602
facebook/mysql-5.6,57,10,93,1059
coolsnowwolf/lede,57,9.8,86,437
dog-qiuqiu/MobileNet-Yolo,55,10,70,755
RoaringBitmap/CRoaring,55,6,50,686
ProtonVPN/android-app,55,9.3,667,3584
vesoft-inc/nebula,53,6.2,182,3512
alliedmodders/sourcemod,53,6.4,133,625
WAVM/WAVM,53,9.3,113,3820
facebook/hermes,52,4.8,575,5007
alibaba/AliOS-Things,52,9.2,684,5871
USCiLab/cereal,52,6,3,30
SRombauts/SQLiteCpp,52,6,438,3709
magiblot/tvision,51,6.4,32,805
libjxl/libjxl,51,6.7,454,2667
akumuli/Akumuli,51,9.3,104,1301
DFHack/dfhack,51,6.4,271,4478
thedmd/imgui-node-editor,50,6.4,123,1165
linux-rdma/rdma-core,50,10,233,3809
axiomatic-systems/Bento4,50,6.8,109,1147
SoftEtherVPN/SoftEtherVPN,50,6.5,339,4558
ton-blockchain/ton,49,4.4,603,12168
AcademySoftwareFoundation/openexr,49,7,242,1824
twitter/pelikan,48,3.3,404,1292
davidmoreno/onion,48,10,82,440
curl/curl,48,6.2,339,1873
libretro/RetroArch,47,8.7,354,2379
can1357/NoVmp,47,10,244,3440
ShadowsocksR-Live/shadowsocksr-native,47,6.4,260,2545
apache/arrow,46,5.2,286,3135
alibaba/AliSQL,46,10,895,6040
bytedance/terarkdb,45,6,357,4947
Sigil-Ebook/Sigil,45,6,292,1496
helloexp/0day,44,7,407,1752
glfw/glfw,44,9.4,40,538
vtil-project/VTIL-Core,43,6,244,3386
cariboulabs/cariboulite,43,10,384,1230
jgaeddert/liquid-dsp,42,5.3,7,626
AcademySoftwareFoundation/MaterialX,42,6.2,101,1143
alandefreitas/matplotplusplus,41,6,40,611
WebAssembly/wabt,41,6,87,1698
AtomicGameEngine/AtomicGameEngine,41,7.5,482,3786
0xnobody/vmpdump,41,10,241,3417
0vercl0k/wtf,41,5.9,80,996
mitsuba-renderer/mitsuba3,40,10,414,4422
cmu-db/bustub,40,6,135,2108
clangen/musikcube,40,10,275,3303
TheAlgorithms/C,40,4.4,18,442
REDasmOrg/REDasm,40,4.4,158,2959
KhronosGroup/glslang,40,5.3,229,1344
vlm/asn1c,39,10,128,404
generalized-intelligence/GAAS,39,0,122,1227
dibyendumajumdar/ravi,39,6,575,5495
vipshop/redis-migrate-tool,38,10,168,1135
brainflow-dev/brainflow,38,5.6,59,1385
xelatihy/yocto-gl,37,6.4,111,871
mindspore-ai/mindspore,37,6.2,2427,12824
mapsme/omim,37,8.5,136,1702
allinurl/goaccess,37,5.6,42,856
RavenSystem/esp-homekit-devices,37,10,404,3038
FirebirdSQL/firebird,37,5.6,89,978
ErosZy/WXInlinePlayer,37,9.8,116,802
mixxxdj/mixxx,36,9.2,301,5016
gosu/gosu,36,7,102,660
effekseer/Effekseer,36,5.6,38,806
cycfi/q,36,4.8,48,409
cisco/openh264,36,5.6,328,1575
athena-team/athena,36,10,90,1321
apache/trafficserver,36,6,1558,9830
apache/brpc,36,5.6,173,2457
Sunzxyong/Tiny,36,10,105,551
SerenityOS/jakt,36,6.8,435,2288
koute/bytehound,35,6.2,164,1345
keystone-engine/keystone,35,7,152,2326
jrouwe/JoltPhysics,35,7,164,1338
doctest/doctest,35,6,25,412
akai-katto/dandere2x,35,9.5,1,144
InteractiveComputerGraphics/SPlisHSPlasH,35,7,261,2092
GNOME/glib,35,9.3,1449,12258
ARM-software/armnn,35,7,106,1353
xiph/flac,34,6,122,747
kungfu-origin/kungfu,34,6.2,180,1616
kripken/ammo.js,34,4.2,86,909
PixarAnimationStudios/OpenSubdiv,34,10,78,754
karlstav/cava,33,6,13,48
google/swiftshader,33,6.7,2575,23667
erincatto/box2d,33,6.4,110,1279
angband/angband,33,7,352,3252
IoLanguage/io,33,5.6,49,890
texstudio-org/texstudio,32,9.5,368,3652
chocolate-doom/chocolate-doom,32,5.6,288,3458
chenyahui/AnnotatedCode,32,8,356,2737
PowerDNS/pdns,32,0,257,2529
Blosc/c-blosc,32,7,179,1200
wenet-e2e/wenet,31,5.1,121,1366
verilator/verilator,31,6,50,811
uTox/uTox,31,6.4,24,292
linux-test-project/ltp,31,9.8,82,2278
ketoo/NoahGameFrame,31,9.3,197,2544
irontec/sngrep,31,10,25,278
gperftools/gperftools,31,10,59,855
megai2/d912pxy,30,10,8,12
lakinduakash/linux-wifi-hotspot,30,6,3,42
jamulussoftware/jamulus,30,7.3,103,448
facebook/redex,30,4.2,1,44
elfmz/far2l,30,6.4,224,2308
apple/swift-llbuild,30,8.8,128,1685
ZDoom/gzdoom,30,6,164,1013
google/flatbuffers,29,9.2,136,1242
berthubert/googerteller,29,6.4,2,20
alibaba/MNN,29,4.2,222,1946
NatronGitHub/Natron,29,10,558,7124
KiCad/kicad-source-mirror,29,6.7,127,2766
DynamoRIO/dynamorio,29,6,575,4304
xtaci/algorithms,28,10,0,70
xiph/opus,28,10,102,449
microsoft/EdgeML,28,8.2,54,819
libressl/portable,28,4.9,512,4831
libgit2/libgit2,28,4.9,544,6672
dvorka/hstr,28,6.4,16,78
alibaba/GCanvas,28,8.2,31,400
Tencent/TNN,28,5.8,227,2137
tmux/tmux,27,9.6,248,1957
supertuxkart/stk-code,27,6,220,1182
ardera/flutter-pi,27,6.4,29,306
aiekick/ImGuiFileDialog,27,6.4,156,1776
JoeyDeVries/LearnOpenGL,27,10,8,367
InteractiveComputerGraphics/PositionBasedDynamics,27,7,177,1683
FLIF-hub/FLIF,27,10,49,269
ARMmbed/mbed-os,27,6.7,57,1081
swig/swig,26,8.2,290,1546
strukturag/libde265,26,7.3,65,525
jemalloc/jemalloc,26,10,179,1605
jacksonliam/mjpg-streamer,26,9.3,17,82
LizardByte/Sunshine,26,7.7,57,671
LiteOS/LiteOS,26,10,182,1487
FreeRDP/FreeRDP,26,9.8,275,1991
merbanan/rtl_433,25,6,96,951
lighttransport/nanort,25,10,8,35
cubefs/cubefs,25,3.3,225,3493
anhttran/3dmm_cnn,25,10,45,708
Tencent/MMKV,25,10,40,1022
GarageGames/Torque2D,25,10,19,142
Blosc/bcolz,25,8.2,74,709
xoseperez/espurna,24,6,41,461
traildb/traildb,24,9.3,25,222
mgba-emu/mgba,24,9.3,296,1890
kohler/gifsicle,24,10,41,320
ithewei/libhv,24,6.4,53,654
guanzhi/GmSSL,24,6,263,1604
felixguendling/cista,24,4.9,2,46
cycfi/elements,24,6.4,6,333
WayneD/rsync,24,6.4,171,716
SanderMertens/flecs,24,6,735,4243
OpenAtomFoundation/TencentOS-tiny,24,9.8,19,1153
OSGeo/PROJ,24,5.6,230,2374
istoreos/istoreos,23,10,22,262
iNavFlight/inav,23,6,484,4305
ccache/ccache,23,8.9,162,852
Project-OSRM/osrm-backend,23,4.2,124,1365
wondertrader/wondertrader,22,10,167,1867
taskflow/taskflow,22,6.4,174,1137
lizardfs/lizardfs,22,9.2,170,1859
guillaumeblanc/ozz-animation,22,6.4,550,2717
google/re2,22,5.3,59,621
fossephate/JoyCon-Driver,22,10,182,1284
bitcoin/bitcoin,22,9.3,395,5600
anbox/anbox,22,6,19,640
TrueBlocks/trueblocks-core,22,5.2,291,3891
Tencent/ncnn,22,7.6,213,796
PurpleI2P/i2pd,22,5.6,114,1351
sustrik/libdill,21,10,43,521
microsoft/cpprestsdk,21,10,539,3290
google/sentencepiece,21,6,51,751
facontidavide/PlotJuggler,21,6.7,100,3330
facebookresearch/nle,21,5.6,754,3260
apache/incubator-kvrocks,21,6.7,520,6323
BinomialLLC/basis_universal,21,10,223,1211
sustrik/libmill,20,10,22,337
eigenteam/eigen-git-mirror,20,10,46,720
aircrack-ng/aircrack-ng,20,5.6,167,928
Tencent/libco,20,10,2,90
SOCI/soci,20,6.4,26,771
warmcat/libwebsockets,19,10,150,1189
mitsuba-renderer/mitsuba2,19,10,187,2550
micropython/micropython,19,7.6,241,2241
harfbuzz/harfbuzz,19,7,175,956
arkdb/inception,19,10,20,435
apache/thrift,19,7.7,257,3084
abseil/abseil-cpp,19,10,48,1034
Syllo/nvtop,19,8.2,34,141
Snaipe/Criterion,19,7.3,75,475
OpenVPN/openvpn,19,4.9,459,1557
DaveGamble/cJSON,19,6,17,239
vinniefalco/LuaBridge,18,6.4,63,2602
martinus/robin-hood-hashing,18,9.4,31,154
marcobambini/gravity,18,6.4,81,751
k4zmu2a/SpaceCadetPinball,18,10,143,1313
glennrp/libpng,18,9.3,265,1683
flutter/codelabs,18,7.6,2565,11502
boazsegev/facil.io,18,10,26,486
signalwire/freeswitch,17,9.3,438,3651
sass/node-sass,17,7,58,782
libimobiledevice/ideviceinstaller,17,6,4,11
homenc/HElib,17,6,31,749
greenplum-db/gpdb,17,7.5,42,3382
facebook/zstd,17,9.2,446,2258
Meituan-Dianping/Logan,17,7,115,935
tmate-io/tmate,16,5.6,133,1094
openjdk/jfx,16,9.3,301,1464
libcpr/cpr,16,7,144,993
foonathan/memory,16,4.9,38,260
cryfs/cryfs,16,6.4,91,2423
cisco/joy,16,10,94,725
audacity/audacity,16,5.6,39,577
Tracktion/tracktion_engine,16,6,0,38
TH3xACE/SUDO_KILLER,16,9.3,200,838
SVF-tools/SVF,16,5.6,136,1295
MusicPlayerDaemon/MPD,16,9.5,27,2615
InoriRus/Kyty,16,6,333,2516
wolkykim/qlibc,15,6.4,24,262
westes/flex,15,6.4,30,199
canonical/raft,15,6,51,454
algorand/go-algorand,15,1.2,54,492
ValveSoftware/vogl,15,10,354,2659
Samsung/rlottie,15,10,22,438
werman/noise-suppression-for-voice,14,6,11,228
tensor-compiler/taco,14,6.4,74,1557
microsoft/SEAL,14,10,125,999
libevent/libevent,14,6,403,1588
letoram/arcan,14,6,18,186
esnet/iperf,14,10,38,244
cathugger/mkp224o,14,9.3,3,37
buaazp/zimg,14,10,39,343
bareos/bareos,14,6.5,20,591
TheTumultuousUnicornOfDarkness/CPU-X,14,5.6,26,331
NagyD/SDLPoP,14,10,80,706
LiquidPlayer/LiquidCore,14,7.5,112,1460
IntelLabs/control-flag,14,6.4,10,86
Harvey-OS/harvey,14,6,16,100
0intro/plan9,14,10,16,100
martinus/nanobench,13,9.4,0,37
mariadb-corporation/MaxScale,13,6.2,62,207
linux-can/can-utils,13,6.4,48,207
libsdl-org/SDL,13,6,393,2640
joan2937/pigpio,13,10,82,396
janet-lang/janet,13,9,73,855
hunspell/hunspell,13,10,72,307
hackerschoice/gsocket,13,9.3,71,357
facebookresearch/ELF,13,10,15,245
electronicarts/EASTL,13,6.4,85,986
doxygen/doxygen,13,8.4,235,2864
digego/extempore,13,6,41,252
c3lang/c3c,13,5.6,254,1599
bcosorg/bcos,13,9.3,48,1280
arximboldi/immer,13,6.7,16,288
Bitcoin-ABC/bitcoin-abc,13,6.2,60,289
Bionus/imgbrd-grabber,13,6.8,249,2371
wangyu-/UDPspeeder,12,10,19,217
treefrogframework/treefrog-framework,12,7.1,42,345
toitlang/toit,12,4.2,451,3770
microsoft/mimalloc,12,10,6,273
memcached/memcached,12,6,114,576
lz4/lz4,12,9.2,43,369
lbryio/lbrycrd,12,9.3,35,154
facebook/yoga,12,4.5,43,807
erwincoumans/tiny-differentiable-simulator,12,6.4,27,299
boostorg/beast,12,5.7,69,973
bitcoin-core/secp256k1,12,9.3,66,243
XRPLF/rippled,12,5.6,30,108
Tencent/xLua,12,6,32,1483
Roblox/luau,12,6,613,4540
RavenProject/Ravencoin,12,5.6,53,237
GarageGames/Torque3D,12,10,268,1793
vergecurrency/verge,11,6,63,269
taglib/taglib,11,6.4,31,605
sylefeb/Silice,11,6,126,3447
microsoft/snmalloc,11,6,7,103
microsoft/ShaderConductor,11,10,1649,17914
metacall/core,11,4.2,23,702
lucasb-eyer/pydensecrf,11,10,4,10
kripken/BananaBread,11,10,14,74
kingToolbox/WindTerm,11,10,1097,6147
jonas/tig,11,6.4,50,642
ggerganov/imtui,11,6.4,118,788
duncanthrax/scream,11,6.4,4,15
dogecoin/dogecoin,11,6.4,53,746
avast/retdec,11,5.6,125,3653
Sapd/HeadsetControl,11,6,3,71
PDAL/PDAL,11,6.7,75,1700
Mbed-TLS/mbedtls,11,9.3,236,1620
HardySimpson/zlog,11,10,16,169
Haivision/srt,11,6.2,59,619
FASTSHIFT/X-TRACK,11,9.8,191,1346
ElementsProject/elements,11,9.3,84,886
BitFunnel/NativeJIT,11,10,18,227
AprilRobotics/apriltag,11,6,28,243
minetest/minetest,10,6.7,10,494
memononen/nanosvg,10,10,13,117
litehtml/litehtml,10,6.4,100,909
libsndfile/libsndfile,10,6,76,1090
letscontrolit/ESPEasy,10,9.3,12,58
kuba--/zip,10,6.4,20,76
kkos/oniguruma,10,6,100,594
ggerganov/ggwave,10,6.4,99,793
ceres-solver/ceres-solver,10,6,248,1983
atomvm/AtomVM,10,6.7,18,339
andlabs/libui,10,10,0,274
Tencent/sluaunreal,10,10,15,742
SuperTux/supertux,10,6,106,2802
Provenance-Emu/Provenance,10,10,133,853
KwaiAppTeam/KOOM,10,10,7,367
BrunoLevy/learn-fpga,10,8.9,60,534
Bareflank/hypervisor,10,6.4,2,47
wangyu-/tinyfecVPN,9,10,11,109
taviso/ctypes.sh,9,10,22,269
madMAx43v3r/chia-plotter,9,5.6,119,1566
leela-zero/leela-zero,9,7,20,221
hzqst/VmwareHardenedLoader,9,10,72,929
horsicq/DIE-engine,9,6,114,2887
gsliepen/tinc,9,6,101,786
google/zopfli,9,10,47,319
dariomanesku/cmftStudio,9,10,1,4
capstone-engine/capstone,9,6,72,954
beark/ftl,9,10,0,72
badaix/snapcast,9,6,20,324
arvidn/libtorrent,9,6,211,2262
ariya/phantomjs,9,6.4,16,304
VirusTotal/yara,9,6,95,678
PortAudio/portaudio,9,6,39,225
LeelaChessZero/lc0,9,9.3,42,409
Genivia/ugrep,9,8.6,101,286
xiph/rnnoise,8,10,6,45
wqking/eventpp,8,6.4,1,93
wangyu-/udp2raw,8,9.3,24,292
tinyproxy/tinyproxy,8,6.4,12,185
miniupnp/miniupnp,8,6.4,42,192
meyerd/n2n,8,10,13,137
meganz/sdk,8,10,492,5736
lightvector/KataGo,8,10,165,1187
intel/linux-sgx,8,8.7,126,992
idealvin/coost,8,5.6,33,390
fmtlib/fmt,8,9.3,8,428
flameshot-org/flameshot,8,6,16,883
dgiese/dustcloud,8,8.8,20,192
aws/aws-iot-device-sdk-embedded-C,8,7,282,1743
apple/swift-corelibs-libdispatch,8,10,34,516
VowpalWabbit/vowpal_wabbit,8,0.3,145,1614
Studio3T/robomongo,8,9.3,247,1453
Smorodov/Multitarget-tracker,8,6,43,467
PrismLauncher/PrismLauncher,8,7,124,2393
OpenEtherCATsociety/SOEM,8,6.4,36,143
JSBSim-Team/jsbsim,8,7,88,1192
7thSamurai/steganography,8,10,17,149
yahoojapan/NGT,7,10,22,210
winscp/winscp,7,10,29,613
twitter/vireo,7,10,16,286
tezc/sc,7,4.9,52,651
libuv/libuv,7,7,110,1024
libharu/libharu,7,6.4,30,722
kpu/kenlm,7,6.4,18,487
irungentoo/toxcore,7,9.3,47,763
hyperrealm/libconfig,7,6.4,4,127
hpjansson/chafa,7,10,86,879
h2o/h2o,7,6.4,92,424
google/brotli,7,7,32,298
ggerganov/whisper.cpp,7,7,34,227
gbdev/rgbds,7,1.1,60,420
fetlang/fetlang,7,6.4,9,128
eranpeer/FakeIt,7,6,4,199
dealii/dealii,7,6.7,815,5965
boost-ext/di,7,4.8,3,479
babelouest/ulfius,7,6,41,225
asmuth/clip,7,10,9,456
alibaba/ilogtail,7,4.5,179,1160
ValveSoftware/GameNetworkingSockets,7,6,123,713
PCSX2/pcsx2,7,7.6,17,135
EliasOenal/multimon-ng,7,6.4,43,147
Cockatrice/Cockatrice,7,5.9,36,1285
Awesome-HarmonyOS/HarmonyOS,7,10,138,1088
AcademySoftwareFoundation/openvdb,7,6,17,284
wasm3/wasm3,6,4.9,107,1044
vstakhov/libucl,6,10,60,241
tidalcycles/Tidal,6,6,6,345
percona/percona-xtrabackup,6,7,18,138
microsoft/winget-cli,6,6.2,97,436
microsoft/LightGBM,6,5.6,49,461
microsoft/AirSim,6,6.7,28,530
meganz/MEGAcmd,6,10,335,3064
madler/zlib,6,6,29,209
lief-project/LIEF,6,6.7,60,2139
libssh2/libssh2,6,5.6,88,448
libexpat/libexpat,6,7.3,27,296
lexborisov/myhtml,6,10,43,607
jonasmr/microprofile,6,6,14,170
TheAlgorithms/C-Plus-Plus,6,4.4,17,996
Tessil/robin-map,6,5.3,0,3
Tencent/mars,6,9.3,227,1335
RainerKuemmerle/g2o,6,4.9,39,580
KDE/krita,6,10,1,3
KDE/heaptrack,6,8.2,0,3
ArthurSonzogni/Diagon,6,6,50,971
libfive/libfive,5,10,21,201
lede-project/source,5,5.6,9,104
lava/matplotlib-cpp,5,9.3,0,15
jmpews/Dobby,5,5.7,14,85
jedisct1/libsodium,5,6,23,408
jarro2783/cxxopts,5,6,2,5
ivmai/bdwgc,5,10,7,57
immortalwrt/immortalwrt,5,10,9,104
google/highway,5,10,15,214
google/draco,5,5.6,36,367
gnuradio/gnuradio,5,6,114,1979
gamelinux/passivedns,5,10,13,58
facebook/hhvm,5,0,123,892
eclipse/mosquitto,5,5.6,200,745
dev-cafe/cmake-cookbook,5,9.2,0,55
dblalock/bolt,5,9.5,17,65
crownengine/crown,5,6,7,150
cisco/libsrtp,5,6,21,227
c-ares/c-ares,5,10,52,616
bingoogolapple/BGAQRCode-Android,5,10,2,6
asterisk/asterisk,5,9.3,19,75
ammarahm-ed/react-native-mmkv-storage,5,4.8,8,182
ZLMediaKit/ZLToolKit,5,6,7,364
OpenRCT2/OpenRCT2,5,6,646,6838
NASA-SW-VnV/ikos,5,9.3,0,4
LongSoft/UEFITool,5,6,49,486
Lienol/openwrt,5,10,9,100
KDE/ghostwriter,5,4.5,49,329
FEX-Emu/FEX,5,6,0,55
Entware/Entware,5,6.7,9,104
CodingGay/BlackDex,5,10,12,85
AngoraFuzzer/Angora,5,9.3,30,499
AcademySoftwareFoundation/OpenColorIO,5,6.7,363,2828
xiph/LPCNet,4,10,15,93
vivien/i3blocks,4,10,3,117
troldal/OpenXLSX,4,9.5,26,498
tizonia/tizonia-openmax-il,4,9.2,57,417
opentx/opentx,4,6,152,1816
mmorise/World,4,10,0,221
mikke89/RmlUi,4,6.4,82,1090
microsoft/verona,4,9.3,1,114
microsoft/napajs,4,10,0,66
logrotate/logrotate,4,7.5,14,64
libusb/libusb,4,6,14,199
kgabis/parson,4,6.4,4,108
jpmens/jo,4,9.3,9,66
jlblancoc/nanoflann,4,10,1,34
intel/pcm,4,5.6,82,781
ihhub/fheroes2,4,1.6,250,2808
google/marl,4,10,1,54
ggreer/the_silver_searcher,4,10,18,72
fragglet/c-algorithms,4,10,1,148
foonathan/type_safe,4,6,2,49
facebook/rocksdb,4,8.3,595,6869
emilk/loguru,4,10,1,26
eclipse/paho.mqtt.embedded-c,4,10,2,99
dougbinks/enkiTS,4,10,3,103
coqui-ai/STT,4,5.3,6,145
blechschmidt/massdns,4,9.3,6,57
amadvance/snapraid,4,6,51,400
alexa/avs-device-sdk,4,9.3,2,33
albertlauncher/albert,4,9.3,7,264
abishekvashok/cmatrix,4,10,1,6
YosysHQ/nextpnr,4,6.5,7,299
XiaoMi/mace,4,6.2,26,380
ValveSoftware/openvr,4,10,16,517
RPCS3/rpcs3,4,10,12,191
BehaviorTree/BehaviorTree.CPP,4,6,10,281
weolar/miniblink49,3,10,0,9
vroland/epdiy,3,7,4,342
uTensor/uTensor,3,9.3,1,90
transmission/transmission,3,7,86,1419
the-tcpdump-group/libpcap,3,10,39,387
tevador/RandomX,3,10,12,236
strasdat/Sophus,3,6,13,38
nghttp2/nghttp2,3,6.7,112,1527
mobile-shell/mosh,3,6,24,287
miek/inspectrum,3,6.4,2,60
