repo, scan-build-bugs, ossf-score, bai-bugs, complex-functions, total-functions, lines-of-code, lines-of-comments
intel/linux-vpu-driver,1,6.5,0,32,2174,15407,37378
intel/compile-time-init-build,1,6.2,-1,5,458,1439,8538
intel/cloud-client-ai-service-framework,1,5.9,4,1,15,1839,28976
intel/yarpgen,0,6.3,886,15,228,1003,8251
intel/thermal_daemon,0,7.4,2,30,335,2669,13803
intel/safestringlib,0,6.1,0,19,84,7320,14965
intel/safe-arithmetic,0,5.4,318,0,7,98,3864
intel/pti-gpu,0,6.3,-1,4,63,527,31517
intel/pailliercryptolib,0,6.5,0,0,69,1437,6298
intel/oneAPI-Ultrasound-Beamforming-Library,0,6.1,0,3,24,2411,16424
intel/libvirt-tdx,0,6,-1,1311,12759,89836,577539
intel/libipt,0,7.6,444,17,486,9973,40005
intel/ipmctl,0,6.6,0,2,11,26669,82166
intel/intel-qs,0,5.4,249,21,180,4647,16252
intel/igsc,0,7.6,0,25,92,2014,17715
intel/hexl-fpga,0,5.5,11,2,69,1278,10780
intel/gna,0,6.3,0,0,5,5726,50182
intel/crypto-api-toolkit,0,6.2,0,4,219,21768,51359
intel/compute-benchmarks,0,6.4,-1,137,393,19532,56209
intel/cm-compiler,0,5,122,0,28,1389781,3815126
intel/aubstream,0,7.2,0,4,127,1203,12963
intel/SGXDataCenterAttestationPrimitives,0,8.2,-1,18,336,32848,97907
intel/Intel-Vector-Data-Streaming-Library,0,5.7,3,5,130,11405,52309
intel/BDTK,0,7,0,0,9,16107,68236
intel/zephyr-ia,-1,6.4,0,-1,-1,854,4168
intel/zephyr,-1,5.4,0,-1,-1,333297,1235954
intel/x86-simd-sort,-1,6.7,0,-1,-1,432,4787
intel/vpu-nn-cost-model,-1,7.2,0,-1,-1,3365,5860
intel/vmtaint,-1,4.7,273,-1,-1,11,344
intel/uintr-linux-kernel,-1,6.1,0,-1,-1,3867604,23342355
intel/torch-ccl,-1,6.6,-1,-1,-1,488,3138
intel/ros_openvino_toolkit,-1,5.5,0,-1,-1,4329,9339
intel/ros2_openvino_toolkit,-1,6.3,0,-1,-1,3885,9683
intel/ros2_grasp_library,-1,6.5,0,-1,-1,870,2507
intel/pse-fw,-1,6.4,0,-1,-1,6674,21774
intel/openvino-plugins-for-obs-studio,-1,6.4,0,-1,-1,479,4532
intel/openlldp,-1,7.3,0,-1,-1,9801,49215
intel/opencl-clang,-1,7.4,0,-1,-1,376,1154
intel/ocm,-1,6.7,0,-1,-1,358,2410
intel/numatop,-1,6.2,0,-1,-1,3966,14996
intel/metrics-library,-1,6.5,0,-1,-1,12270,33085
intel/metrics-discovery,-1,7,0,-1,-1,17059,1249160
intel/media-lab,-1,5.6,0,-1,-1,3810,41588
intel/media-analytics,-1,5,0,-1,-1,1413,8719
intel/mainline-tracking,-1,6.9,0,-1,-1,3635876,21477433
intel/mOS,-1,7.3,0,-1,-1,3587053,21090959
intel/lms,-1,6.2,0,-1,-1,34251,168282
intel/linux-libusbi3c,-1,5.1,0,-1,-1,6710,18470
intel/linux-intel-lts,-1,7.2,0,-1,-1,3230849,17451297
intel/libyami,-1,7,0,-1,-1,13755,54594
intel/libxcam,-1,6.7,-1,-1,-1,9690,70127
intel/libva-utils,-1,7.1,0,-1,-1,12005,83863
intel/libaji_client,-1,6.4,0,-1,-1,6405,11334
intel/ledmon,-1,6.8,0,-1,-1,3462,7739
intel/kernel-fuzzer-for-xen-project,-1,5.6,0,-1,-1,838,4876
intel/irqbalance,-1,6.4,-1,-1,-1,855,5251
intel/ipu6-camera-hal,-1,6.2,0,-1,-1,32093,106011
intel/iotg-dpdk-ref-app,-1,6.3,0,-1,-1,146,1812
intel/intel-vaapi-driver,-1,6.3,0,-1,-1,17368,309992
intel/idxd-driver,-1,5.9,0,-1,-1,3223393,18179479
intel/iaa-plugin-rocksdb,-1,6.5,0,-1,-1,20,563
intel/gvt-linux,-1,7.3,0,-1,-1,3923767,23855733
intel/gvk,-1,7.2,0,-1,-1,6177,25248
intel/grub-tdx,-1,6.4,0,-1,-1,44993,265150
intel/gits,-1,7.2,0,-1,-1,11211,153222
intel/fpga-runtime-for-opencl,-1,7.6,0,-1,-1,14773,73685
intel/fineibt_llvm,-1,3.7,-1,-1,-1,1666719,5658968
intel/eth-psm3-fi,-1,5.8,0,-1,-1,25044,87199
intel/eth-mpi-apps,-1,6.1,0,-1,-1,28026,58183
intel/ecfw-zephyr,-1,7,0,-1,-1,5417,15583
intel/dsa-perf-micros,-1,6.4,0,-1,-1,236,5649
intel/double-batched-fft-library,-1,7.3,0,-1,-1,1634,15722
intel/compute-samples,-1,6.6,0,-1,-1,1230,16594
intel/compute-runtime,-1,5.5,0,-1,-1,69301,834392
intel/cassian,-1,7.3,0,-1,-1,6308,40195
intel/amx-linux,-1,6.1,0,-1,-1,3583411,21061568
intel/aji_openocd,-1,3.7,421,-1,-1,47154,231354
intel/ad-rss-lib,-1,6.1,0,-1,-1,10910,51363
intel/QATzip,-1,9.2,0,-1,-1,3884,15571
intel/QAT_Engine,-1,9.2,0,-1,-1,13519,64716
intel/OpenVINO-optimization-for-PointPillars,-1,6.4,0,-1,-1,266,724
intel/GPGMM,-1,6.3,0,-1,-1,5369,17034
intel/ARM_NEON_2_x86_SSE,-1,6.7,0,-1,-1,1133,13405
